experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,rebased_NFA,cond_1b
terminal_rule_selected_full_path,70,0,local_loglinear,1,1.0667190368697315,0.03505682266854772,0.9932766422755183,1.0681534236050094,0.0,0.0
terminal_rule_selected_full_path,70,0,local_loglinear,2,1.083364371299011,0.034768048914073375,0.9850947192320787,1.0880550532784021,-0.006302320371681243,0.8809449773838521
terminal_rule_selected_full_path,70,0,local_loglinear,3,1.10050617573145,0.03448801604974626,0.9771604547428103,1.1103198549605557,-0.012094331771392769,0.8815266747310999
terminal_rule_selected_full_path,70,0,local_loglinear,4,1.1180545029724822,0.034218051916325314,0.9695114709625504,1.1349030306302932,-0.01733796428497446,0.8817370608346887
terminal_rule_selected_full_path,70,0,local_loglinear,5,1.1359354436448321,0.03395902344500268,0.9621723309417423,1.1617768929211354,-0.022008478241864807,0.881494735318605
terminal_rule_selected_full_path,70,0,local_loglinear,6,1.1540886322725397,0.03371143494370142,0.9551573234048734,1.1909289976239965,-0.02609250519345634,0.8807531034085896
terminal_rule_selected_full_path,70,0,local_loglinear,7,1.1724653386413668,0.03347550553787406,0.9484726569064315,1.2223608253321285,-0.029586335056806076,0.8794884891456433
terminal_rule_selected_full_path,70,0,local_loglinear,8,1.191026930560612,0.033251231333434855,0.9421182211139875,1.256086828825368,-0.0324943777467525,0.8776925934991658
terminal_rule_selected_full_path,70,0,local_loglinear,9,1.2097435721445462,0.03303843606322753,0.9360890217914465,1.2921337236225294,-0.03482776135971876,0.8753675627056656
terminal_rule_selected_full_path,70,0,local_loglinear,10,1.228593115731806,0.03283681216872436,0.9303763447805233,1.3305399895566343,-0.0366030660785102,0.8725226865792644
terminal_rule_selected_full_path,70,0,local_loglinear,11,1.2475601341951,0.032645954275050945,0.9249687044597766,1.3713555332037308,-0.037841183649788994,0.8691721662937173
terminal_rule_selected_full_path,70,0,local_loglinear,12,1.2666350541007503,0.032465386600429934,0.9198526203455146,1.4146414696613998,-0.03856629474414918,0.8653335976645696
terminal_rule_selected_full_path,70,0,local_loglinear,13,1.285813424410229,0.032294584626046195,0.9150132310713087,1.4604700682560636,-0.03880498225785423,0.8610269035435668
terminal_rule_selected_full_path,70,0,local_loglinear,14,1.3050952442116197,0.032132992880469044,0.910434798279956,1.5089247783660478,-0.03858544954825543,0.8562736154123383
terminal_rule_selected_full_path,70,0,local_loglinear,15,1.3244843778729691,0.03198003900293784,0.9061011050832387,1.5601003695895717,-0.037936853825772394,0.8510963567433524
terminal_rule_selected_full_path,70,0,local_loglinear,16,1.3439880465208411,0.03183514477293918,0.90199576856661,1.6141031791209495,-0.036888745510186546,0.8455184671854942
terminal_rule_selected_full_path,70,0,local_loglinear,17,1.363616375395766,0.03169773481508449,0.8981024864273935,1.6710514465513018,-0.03547059981300323,0.8395637290597642
terminal_rule_selected_full_path,70,0,local_loglinear,18,1.383381990669077,0.031567243402640346,0.8944052297414763,1.7310757318684034,-0.03371143197162813,0.8332561461868672
terminal_rule_selected_full_path,70,0,local_loglinear,19,1.4032996695245759,0.03144311959411473,0.890888388499917,1.7943194268698963,-0.03163949069387475,0.8266197641193092
terminal_rule_selected_full_path,70,0,local_loglinear,20,1.4233860407561374,0.03132483098431482,0.8875368778889198,1.8609393644442627,-0.029282021278613225,0.8196785074609217
terminal_rule_selected_full_path,70,0,local_loglinear,21,1.4436593163528533,0.031211866508331656,0.8843362177360631,1.931106507166231,-0.026665084218335838,0.8124560255094441
terminal_rule_selected_full_path,70,0,local_loglinear,22,1.4641390721291152,0.031103738227106065,0.8812725831013382,2.0050067478486318,-0.023813429084890755,0.8049755595377333
terminal_rule_selected_full_path,70,0,local_loglinear,23,1.4848460489388682,0.030999982571982113,0.8783328395394929,2.0828417924904326,-0.02075040711311208,0.7972598008168847
