t,cum_VA_row_equity_Y,cum_VA_us_liability_Y,cum_VA_total_Y,cum_CA_row_equity_Y,cum_CA_us_liability_Y,cum_CA_bond_Y,cum_CA_total_Y,Y_US
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734434524784418
2,0.00042868166098122454,-0.00014493276521284989,0.00028374889576837463,0.029873183401285187,0.001649414811815645,-0.020942909990034054,0.010579688223066777,1.926634705676019
3,0.0008551897964070915,-0.00027399970816940097,0.0005811900882376905,0.05482544924024569,0.0028410091688104025,-0.03734502899666224,0.020321429412393857,2.1393061827643614
4,0.0012605847568752098,-0.0003851332454400511,0.0008754515114351586,0.07520369211796284,0.003570262689100526,-0.04945246693904558,0.029321487868017783,2.375030141692742
5,0.0016273462088143835,-0.0004790577713347362,0.0011482884374796468,0.09138887154358999,0.0038423778777353238,-0.057567430410157695,0.037663819011167624,2.636777710163716
6,0.0019399224238081107,-0.000558710808624295,0.0013812116151838152,0.10382938140154965,0.0036872099081799756,-0.062095690616067074,0.04542090069366257,2.9279766230233344
7,0.002185415233787932,-0.0006285482734903437,0.0015568669602975883,0.11304669247689335,0.003165811795081912,-0.06355842219789473,0.052654082074080545,3.2525910159693647
8,0.002354196388934303,-0.0006937300163021041,0.0016604663726321987,0.11961065453325893,0.0023653849875987965,-0.06256237845250824,0.05941366106834949,3.615217080353957
9,0.0024402807430977547,-0.0007593032170836031,0.0016809775260141517,0.12409466093189718,0.0013852125509363259,-0.05974086093549522,0.06573901254733829,4.021197929227018
10,0.0024413823103371832,-0.0008295484073907821,0.0016118339029464008,0.12702830990610633,0.00032034889683793245,-0.05568959866521104,0.07165906013773322,4.4767617881042945
11,0.002358672480794122,-0.0009076004369368906,0.0014510720438572309,0.12886273845997281,-0.0007505365545670916,-0.05091898089577579,0.07719322100962994,4.98918852413766
12,0.0021963162624087282,-0.0009953527572305,0.0012009635051782276,0.1299549258206113,-0.0017704541724421216,-0.04583171201314889,0.0823527596350203,5.567010620555879
13,0.0019608797612872,-0.0010935700987334763,0.0008673096625537233,0.13056880143453947,-0.002703468321275972,-0.04072296739160124,0.08714236572166226,6.220256074108939
14,0.0016606972185507602,-0.0012021069854511455,0.0004585902330996145,0.13088688311248603,-0.0035307299783112786,-0.035794397579898406,0.09156175555427634,6.960742436747151
15,0.001305261699544185,-0.0013201472000947696,-1.4885500550584614e-5,0.13102618834662755,-0.004245557158033738,-0.031173482880013995,0.0956071483085798,7.802433409680828
16,0.0009046814044539487,-0.0014464139182266045,-0.0005417325137726559,0.131054136487245,-0.00484901447436049,-0.026932580289981675,0.09927254172290284,8.761872140365115
17,0.00046922170626840094,-0.0015793312282522914,-0.001110109521983891,0.13100229823282292,-0.005346560712231451,-0.023104967080575477,0.102550770440016,9.858708783350178
18,8.936957668056503e-6,-0.0017171374819649763,-0.0017082005242969201,0.1308773559701725,-0.005745790557032769,-0.01969719976700033,0.10543436564613941,11.116344135493344
19,-0.0004666152872360505,-0.0018579602541292778,-0.002324575541365329,0.13066945165123528,-0.00605505708226701,-0.016698145560853007,0.10791624900811526,12.562716460459447
20,-0.0009485863162870181,-0.001999864871658377,-0.002948451187945396,0.13035840048236363,-0.0062827131060405415,-0.014085390569409153,0.10999029680691395,14.231265272825798
21,-0.0014289854381547254,-0.002140887234352949,-0.003569872672507675,0.12991828378815848,-0.006436744720229313,-0.011829733802578138,0.11165180526535103,16.16211418594074
22,-0.001900777607022242,-0.002279059082218225,-0.004179836689240466,0.129320856529423,-0.006524628287368341,-0.009898348205313056,0.11289788003674157,18.403525395061965
23,-0.002357936372330328,-0.002412430947756288,-0.004770367320086617,0.12853808747383913,-0.006553303015004167,-0.008257018814743429,0.1137277656440915,21.013691549348916
24,-0.0027954586324548626,-0.0025390958016421597,-0.005334554434097023,0.12754405168833258,-0.006529196743068413,-0.006871731893160527,0.11414312305210361,24.0629473492351
25,-0.0032093473115789406,-0.002657214827510746,-0.005866562139089687,0.1263163234711714,-0.00645827070723071,-0.005709795688931042,0.11414825707500963,27.63650411972595
26,-0.003596564593790337,-0.002765045546840801,-0.006361610140631139,0.12483696377474106,-0.006346070517789065,-0.004740601576405755,0.1137502916805462,31.837837040347353
27,-0.0039549598083266245,-0.002860972010956322,-0.006815931819282948,0.12309316957520318,-0.006197776890209529,-0.003936104547648651,0.11295928813734499,36.79288810372658
28,-0.004283174645064677,-0.0029435362967350494,-0.0072267109417997275,0.1210776338291532,-0.006018255325322258,-0.003271078018272287,0.11178830048555864,42.655290169922125
