t,VA_row_equity_Y,VA_us_liability_Y,VA_total_Y,CA_row_equity_Y,CA_us_liability_Y,CA_bond_Y,CA_total_Y,Y_US
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734434524784418
2,0.00042868166098122454,-0.00014493276521284989,0.00028374889576837463,0.029873183401285187,0.001649414811815645,-0.020942909990034054,0.010579688223066777,1.926634705676019
3,0.00046912399040542645,-0.00014347491573980453,0.0003256490746656219,0.027922001583412404,0.0013555650345846995,-0.018484083541668906,0.010793483076328199,2.1393061827643614
4,0.0004902733461801237,-0.00013832826411688655,0.00035194508206323717,0.025819719900710494,0.0010112263327052577,-0.015813966936206635,0.011016979297209116,2.375030141692742
5,0.000491897140735319,-0.00013215592103379574,0.00035974121970152326,0.023650497217127427,0.0006265279152262558,-0.013024009435165991,0.011253015697187693,2.636777710163716
6,0.00047442226360174336,-0.00012729723673865907,0.0003471250268630843,0.021529496372299273,0.00022697178251584058,-0.010253569970934118,0.011502898183880996,2.9279766230233344
7,0.000439100532830641,-0.0001255978014972156,0.0003135027313334254,0.01957966879205189,-0.00015340797842331886,-0.007659992416323232,0.01176626839730534,3.2525910159693647
8,0.0003879902669812434,-0.00012822857558154204,0.00025976169139970133,0.017903164177134934,-0.00048287855344563514,-0.005379213946707713,0.012041071676981586,3.615217080353957
9,0.0003237644348793904,-0.00013561230501459725,0.00018815212986479312,0.01655991907847227,-0.000741362753061159,-0.0034947911946423076,0.012323765130768802,4.021197929227018
10,0.00024942921224023083,-0.00014751334081536467,0.00010191587142486618,0.015561759487130013,-0.0009239017702772284,-0.002028082226611549,0.012609775490241235,4.4767617881042945
11,0.00016803827561335976,-0.00016325281535012998,4.7854602632297786e-6,0.01488117992718158,-0.0010379832391906791,-0.0009491178422701647,0.012894078845720736,4.98918852413766
12,8.245974668282691e-5,-0.0001819557667976508,-9.94960201148239e-5,0.014467361715829366,-0.0010978187815259737,-0.00019781395519577065,0.013171728979107622,5.567010620555879
13,-4.7814290650807455e-6,-0.00020274835366640575,-0.0002075297827314865,0.01426161992665736,-0.001118945583985825,0.00029554125106879663,0.013438215593740331,6.220256074108939
14,-9.158342630583896e-5,-0.00022487127950113192,-0.0003164547058069709,0.01420803921148159,-0.0011148576199545702,0.0005964454336410817,0.013689627025168101,6.960742436747151
15,-0.00017628706823018855,-0.0002477180401409048,-0.0004240051083710933,0.014258785940572977,-0.0010957062458511995,0.0007595781472111637,0.013922657841932942,7.802433409680828
16,-0.00025765209342746886,-0.0002708249054329523,-0.0005284769988604212,0.014375521104453278,-0.0010683524786272757,0.0008273573606262849,0.014134525986452288,8.761872140365115
17,-0.00033480881819322056,-0.00029383897038691583,-0.0006286477885801364,0.01452866942389974,-0.001037026292989922,0.0008312126054976301,0.014322855736407446,9.858708783350178
18,-0.0004071998675816004,-0.0003164821530177418,-0.0007236820205993421,0.014695858484562929,-0.001004107103198968,0.0007938123067435584,0.01448556368810752,11.116344135493344
19,-0.00047452331391763166,-0.00033852047073874603,-0.0008130437846563777,0.014860284654028852,-0.0009707916398781031,0.000731273610128353,0.014620766624279101,12.562716460459447
20,-0.0005366794733406229,-0.0003597417048168222,-0.0008964211781574451,0.015009326477489163,-0.0009375829424094152,0.0006549760863255005,0.014726719621405248,14.231265272825798
21,-0.0005937244477951635,-0.00037994140938571317,-0.0009736658571808765,0.01513348790919057,-0.0009046122395109211,0.0005729090298176667,0.014801784699497314,16.16211418594074
22,-0.0006458318656100993,-0.00039891583802657366,-0.0010447477036366727,0.015225644207273164,-0.000871830743371089,0.0004906128443916841,0.01484442630829376,18.403525395061965
23,-0.0006932593745239726,-0.00041645981636556135,-0.001109719190889534,0.015280516253605743,-0.0008391160480005835,0.0004118294044210438,0.014853229610026204,21.013691549348916
24,-0.0007363198701903433,-0.0004323680145381601,-0.0011686878847285034,0.015294305914594481,-0.0008063280442307678,0.00033895780216079214,0.014826935672524506,24.0629473492351
25,-0.0007753573395363715,-0.00044643851785552047,-0.001221795857391892,0.015264441250877725,-0.0007733361445733519,0.0002733822856362098,0.014764487391940584,27.63650411972595
26,-0.0008107239575159097,-0.00045847778489033615,-0.001269201742406246,0.015189389739618168,-0.0007400356360696103,0.00021572733123836175,0.014665081434786918,31.837837040347353
27,-0.000842759507024864,-0.0004683066327649565,-0.0013110661397898206,0.015068518233157855,-0.0007063580480051631,0.00016606052396292317,0.014528220709115618,36.79288810372658
