T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,Q_US_over_e_W,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,23,22,7,2.6419912222648994,2.7468257367355315,1.1930125531096192,0.1688779486347552,0.991497906504724,0.008502093495275975,1.0520873278103051,1.1367424861064204,0.925528288657463,0.87105938500993,0.8673388085394387,0.004280471718311085,0.7686184715452208,1.5123596761426046,2.208974123436947,1.9056656918323369e-10
30,29,0,local_loglinear,24,23,6,2.628943209936288,2.734083844869252,1.1890519915182898,0.16898865571778243,0.9872479533456114,0.01275204665438856,1.0523016616973737,1.139090572916107,0.9238085949596169,0.8678661662124469,0.8622991153715807,0.006435304317490703,0.7679865884034567,1.535700429569134,2.212191503970344,2.5037928353061134e-10
30,29,0,local_loglinear,25,24,5,2.613332865493821,2.7186203629434327,1.184155822538572,0.1691829548713553,0.982514169437046,0.017485830562954052,1.052491811209805,1.1415308294026518,0.9220003385809213,0.8647806049483083,0.857163580472942,0.008847062781898674,0.7672759903556661,1.5593925803875166,2.2158180841545545,3.629029073688153e-10
30,29,0,local_loglinear,26,25,4,2.595345103699168,2.7006291509078233,1.178388251590629,0.16945818712436647,0.9773388360776931,0.02266116392230688,1.0526575089401184,1.1440652088014678,0.9201027186578737,0.8617901193463292,0.8519382418707431,0.011497721845761255,0.7664902490824214,1.5834656778392675,2.2198385543883448,5.783312771758545e-10
30,29,0,local_loglinear,27,26,3,2.5751544657626857,2.680293999951272,1.1718083562053383,0.16981286755567476,0.9717652538443629,0.028234746155637147,1.0527972698061452,1.1466972127574013,0.9181126962666457,0.858881319213608,0.8466285917442697,0.01436865091918127,0.7656329630763289,1.607955786727669,2.224237598678074,9.94122059993715e-10
30,29,0,local_loglinear,28,27,2,2.552923679310131,2.6577874361310605,1.1644682078275022,0.17024724152024032,0.965840476031672,0.034159523968328,1.052907331463555,1.1494331486460063,0.9160231133962377,0.856038685713728,0.8412395562489836,0.01743910239234242,0.7647082167055119,1.6329106618631335,2.228997482858103,1.7996101287529383e-9
30,29,0,local_loglinear,29,28,1,2.528801219637214,2.633268825833558,1.1564094148910915,0.17076440995418352,0.9596205514728189,0.04037944852718112,1.0529796167664223,1.152284560304587,0.9138190799745549,0.8532420667454416,0.8357754280205334,0.020683339824558028,0.7637214200240723,1.6583998696185227,2.234093625582855,3.3626902766237487e-9
30,29,0,local_loglinear,30,29,0,2.5029168333091367,2.606880993075212,1.1476566140546438,0.17137254595191,0.9531805111779535,0.04681948882204645,1.0529978234614503,1.1552729185737989,0.9114710528845351,0.8504619145445395,0.8302397096618779,0.02406516484077062,0.7626808845436508,1.6845345447713995,2.239486246849006,1.3116486360967873e-7
35,34,0,local_loglinear,28,27,7,2.5529757330755456,2.657826221115778,1.164540334122715,0.1702246955611093,0.9657322598615214,0.03426774013847855,1.0529475768696248,1.1493862529779415,0.9160955023966452,0.8560887867099051,0.8412416019416085,0.017495195478896552,0.764692125906625,1.6327299970991995,2.229080441133897,1.3487877403644257e-11
35,34,0,local_loglinear,29,28,6,2.528900312722452,2.63334270492091,1.1565472012850693,0.1707208705315525,0.9594134730566496,0.04058652694335041,1.0530571757312375,1.1521938921029162,0.9139583041958848,0.8533382133678842,0.8357793310736763,0.020791347383832176,0.7636904847521235,1.6580463730283954,2.234253667942479,6.004474314929859e-11
35,34,0,local_loglinear,30,29,5,2.503105265138689,2.6070215814841036,1.147919606908396,0.17128846116651772,0.9527845533409208,0.047215446659079174,1.0531472142430691,1.1550976709430605,0.9117386700150165,0.8506463475685458,0.8302471533440876,0.024273037846368667,0.7626214255620622,1.6838431096666904,2.239794985205676,1.5917810343028672e-10
35,34,0,local_loglinear,31,30,4,2.4757310126930427,2.5790111510606586,1.1387066680814228,0.1719268214461271,0.945876808373147,0.05412319162685297,1.0532174992810113,1.1581000525155372,0.9094356718085731,0.8480038279526241,0.8246489788841629,0.027927334224876282,0.7614865627102284,1.7101539579008993,2.24569997425588,3.53815474885004e-10
35,34,0,local_loglinear,32,31,3,2.446908486242715,2.5494501364923394,1.1289531677349303,0.17263610794999473,0.9387216834994566,0.061278316500543384,1.0532670001712292,1.1612046266653622,0.9070468511617129,0.845400799089694,0.8189883338713742,0.03174099395875685,0.7602875409676955,1.7370179307333422,2.2519642042891963,7.337633792607267e-10
