experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,rebased_NFA,cond_1b
terminal_rule_selected_full_path,137,0,local_loglinear,1,1.0599016809375605,0.03518071833520762,0.9967870194975489,1.0605827696246342,0.0,0.0
terminal_rule_selected_full_path,137,0,local_loglinear,2,1.0775853119138288,0.034865995968722786,0.9878698857804787,1.080893690520829,-0.007029550992818535,0.8659612072193414
terminal_rule_selected_full_path,137,0,local_loglinear,3,1.095752628014387,0.034562187797476475,0.9792619875951668,1.1036754830119047,-0.013480793479788688,0.8684146325895251
terminal_rule_selected_full_path,137,0,local_loglinear,4,1.1143363102595618,0.03427010308532147,0.970986254084108,1.1289065030039527,-0.01932577710444024,0.8702989686253066
terminal_rule_selected_full_path,137,0,local_loglinear,5,1.1332791342463269,0.03399023661653238,0.9630567041350837,1.1565799060814137,-0.024546929863208694,0.8716524246165539
terminal_rule_selected_full_path,137,0,local_loglinear,6,1.1525333081461338,0.033722820911364935,0.9554799258220061,1.1867031241602304,-0.02913607196980132,0.8725114431434734
terminal_rule_selected_full_path,137,0,local_loglinear,7,1.172059722776271,0.033467874195534514,0.9482564355401442,1.2192973637647053,-0.03309332524056107,0.8729103961218128
terminal_rule_selected_full_path,137,0,local_loglinear,8,1.1918271803011482,0.03322524296488182,0.9413818840049846,1.2543971802953489,-0.036425987042224654,0.8728814152101778
terminal_rule_selected_full_path,137,0,local_loglinear,9,1.2118116163555621,0.032994639213282995,0.9348481110430179,1.2920501286576327,-0.03914740836482652,0.8724543320482913
terminal_rule_selected_full_path,137,0,local_loglinear,10,1.2319953418364027,0.03277567238064886,0.9286440507850507,1.3323165039970235,-0.041275913661211784,0.8716566959894406
terminal_rule_selected_full_path,137,0,local_loglinear,11,1.2523663369644416,0.03256787611406613,0.92275648989854,1.3752691981532277,-0.04283379510884307,0.870513835153567
terminal_rule_selected_full_path,137,0,local_loglinear,12,1.2729175783194957,0.0323707307565896,0.9171707047700384,1.4209936417329025,-0.043846386042076246,0.8690489629398097
terminal_rule_selected_full_path,137,0,local_loglinear,13,1.293646441890437,0.03218368152111183,0.9118709764315017,1.4695878755898977,-0.04434123871935879,0.8672832920425859
terminal_rule_selected_full_path,137,0,local_loglinear,14,1.3145541604313906,0.032006153251571336,0.906841008794521,1.5211627264591707,-0.04434739972419515,0.8652361628484746
terminal_rule_selected_full_path,137,0,local_loglinear,15,1.3356453309892908,0.03183756231326186,0.9020642655424191,1.575842080787513,-0.043894781116962225,0.8629251811303724
terminal_rule_selected_full_path,137,0,local_loglinear,16,1.356927491946181,0.031677325781555236,0.8975242304773982,1.6337632827393302,-0.0430136317451494,0.8603663473908072
terminal_rule_selected_full_path,137,0,local_loglinear,17,1.378410759540518,0.03152486846387839,0.8932046064765542,1.6950776514472352,-0.0417340990168397,0.8575741796936477
terminal_rule_selected_full_path,137,0,local_loglinear,18,1.4001074959953042,0.03137962842871096,0.8890894721468103,1.7599510879952205,-0.04008586455415036,0.8545618419513841
terminal_rule_selected_full_path,137,0,local_loglinear,19,1.422032048682287,0.031241060787933126,0.8851633889914383,1.8285648303392619,-0.038097861958831004,0.8513412509682396
terminal_rule_selected_full_path,137,0,local_loglinear,20,1.4442005242610987,0.031108640433497155,0.8814114789490859,1.9011163224138339,-0.035798055377586846,0.8479231810078919
terminal_rule_selected_full_path,137,0,local_loglinear,21,1.4666306018186606,0.030981863842742544,0.8778194755443719,1.9778202127722293,-0.03321327379277766,0.8443173604885154
terminal_rule_selected_full_path,137,0,local_loglinear,22,1.489341371824599,0.0308602502479374,0.8743737570248927,2.05890947614783,-0.030369089973054878,0.8405325661134047
terminal_rule_selected_full_path,137,0,local_loglinear,23,1.5123532399290702,0.030743341833728028,0.8710613519556273,2.1446367293840565,-0.027289751127839768,0.8365766919774177
terminal_rule_selected_full_path,137,0,local_loglinear,24,1.5356878171894068,0.030630703978074707,0.8678699460454498,2.235275646351149,-0.02399812830002189,0.8324568344535614
terminal_rule_selected_full_path,137,0,local_loglinear,25,1.5593678698672764,0.03052192474526752,0.8647878677825797,2.331122592174446,-0.020515705180826578,0.8281793524042383
terminal_rule_selected_full_path,137,0,local_loglinear,26,1.5834172802192605,0.030416614265130724,0.8618040708453701,2.4324984288644096,-0.016862584582473517,0.8237499283268596
terminal_rule_selected_full_path,137,0,local_loglinear,27,1.6078610325862688,0.030314403873676045,0.8589081097541544,2.5397505336500483,-0.013057513791676157,0.8191736217377861
terminal_rule_selected_full_path,137,0,local_loglinear,28,1.6327251992021723,0.030214945317657723,0.8560901173336352,2.653255010593405,-0.009117917669350894,0.8144549269004042
terminal_rule_selected_full_path,137,0,local_loglinear,29,1.6580369852470254,0.030117909428131688,0.8533407671303976,2.773419220860835,-0.005059954836739638,0.8095978060699119
terminal_rule_selected_full_path,137,0,local_loglinear,30,1.683824747499209,0.030022985188950954,0.8506512470202767,2.9006845210287735,-0.0008985678297232038,0.8046057392244961
terminal_rule_selected_full_path,137,0,local_loglinear,31,1.7101180525555622,0.02992987851644435,0.8480132246325895,3.0355293481045456,0.003352453993102848,0.7994817582576977
terminal_rule_selected_full_path,137,0,local_loglinear,32,1.736947746807421,0.029838311065063905,0.8454188135101438,3.1784726449837435,0.007680409554145011,0.7942284796105878
terminal_rule_selected_full_path,137,0,local_loglinear,33,1.7643460293324853,0.029748019146250262,0.8428605424770906,3.3300776480899463,0.012073622662880841,0.7888481386314428
