T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,binding_continuation_date,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
137,136,local_loglinear,135,134,95,94,false,0.09434302206687106,0.018983612818938535,0.22607822774379763,0.020198365152317876,4.010018721517188,1.3568712723247138,true,true
137,136,local_loglinear,135,134,96,95,false,0.0905509940139575,0.018630268026506063,0.21576217796235433,0.019756872310123033,3.8154945814051713,1.2915883994451802,true,true
137,136,local_loglinear,135,134,97,96,false,0.08682123385519314,0.018271633940944196,0.20564879974274689,0.019316184562836593,3.6266691348756486,1.2282058961880529,true,true
137,136,local_loglinear,135,134,98,97,false,0.083159460364401,0.01790815819145148,0.19575390651884855,0.018876569647447192,3.4435930701174815,1.1667409263532742,true,true
137,136,local_loglinear,135,134,99,98,false,0.0795710979826954,0.017540322159959206,0.18609232746820856,0.01843830690615302,3.2663088369936695,1.1072079192373763,true,true
137,136,local_loglinear,135,134,100,99,false,0.07606122629677686,0.017168637858047474,0.1766777653161882,0.018001686113596958,3.0948497732666227,1.0496182772024711,true,true
137,136,local_loglinear,135,134,101,100,false,0.0726345345688992,0.01679364432932843,0.16752267071871238,0.01756700613656329,2.9292392930848288,0.9939801038315061,true,true
137,136,local_loglinear,135,134,102,101,false,0.0692952820286827,0.01641590361131574,0.15863813525210088,0.01713457343996695,2.7694901557164133,0.9402979586787713,true,true
137,136,local_loglinear,135,134,103,102,false,0.06604726495595471,0.01603599635328447,0.15003380580801076,0.01670470045624849,2.6156038311511622,0.8885726441733025,true,true
137,136,local_loglinear,135,134,104,103,false,0.06289379067666362,0.01565451711086944,0.14171782069738253,0.016277703839377825,2.4675699777079227,0.8388010297420188,true,true
137,136,local_loglinear,135,134,105,104,false,0.05983765972359727,0.015272069539880934,0.13369677055114906,0.015853902626384624,2.3253660440880086,0.7909759173223875,true,true
137,136,local_loglinear,135,134,106,105,false,0.05688115525804009,0.014889261436768445,0.12597568146381496,0.015433616334553946,2.1889570066045017,0.7450859518693879,true,true
137,136,local_loglinear,135,134,107,106,false,0.05402604013652664,0.014506699788038292,0.11855802104546508,0.015017163020913337,2.0582952481093497,0.7011155790573632,true,true
137,136,local_loglinear,135,134,108,107,false,0.0512735616422374,0.014124985981654261,0.11144572698174941,0.014604857333055108,1.9333205824027464,0.6590450514673039,true,true
137,136,local_loglinear,135,134,109,108,false,0.04862446254545555,0.0137447111327462,0.10463925423812807,0.01419700858147335,1.8139604247684074,0.6188504835042757,true,true
137,136,local_loglinear,135,134,110,109,false,0.04607899860776819,0.01336645172112483,0.0981376406599301,0.013793918860240697,1.7001301050353457,0.5805039538720226,true,true
137,136,local_loglinear,135,134,111,110,false,0.043636961417741954,0.012990765552341913,0.09193858759620012,0.013395881243684,1.5917333170384749,0.5439736535898422,true,true
137,136,local_loglinear,135,134,112,111,false,0.041297705743808796,0.012618188096153407,0.08603855294296618,0.013003178083432905,1.4886626949913406,0.5092240764138798,true,true
