T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,Q_US_over_e_W,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,1,0,29,1.8901678313037162,1.9403612229421892,0.906495185575314,0.20859957981904168,0.8761960342164987,0.12380396578350128,,,,0.9967870194975489,0.9337836851161863,0.0652923148876943,0.7454800772873249,1.0599016809375605,2.331535287067304,1.4385464361577594e-11
30,29,0,local_loglinear,2,1,28,1.975646808183075,2.0298378997365614,0.9377968877670639,0.20320507284525097,0.8921365634962873,0.10786343650371266,1.0398130356575166,1.109641184299132,0.9370714158507734,0.9878698857804787,0.9336475050616719,0.056452031101244,0.7493925019821268,1.0775853119138288,2.310105976853435,8.704611592333116e-10
30,29,0,local_loglinear,3,2,27,2.0568655473342874,2.115032983101668,0.9675963367839989,0.19846672526247533,0.907154154410322,0.09284584558967801,1.0408510000703133,1.1098776538759065,0.9378069703768349,0.9792619875951668,0.9331339948481145,0.04825040634362443,0.7528321553153103,1.095752628014387,2.2915092581587935,1.510138936482579e-11
30,29,0,local_loglinear,4,3,26,2.1334270501436787,2.1955205927312305,0.9957507620826066,0.1943005459390854,0.9211689790313984,0.07883102096860162,1.0418324245073733,1.1102221713612235,0.9383999449677728,0.970986254084108,0.9322574166490485,0.04070333706688293,0.755845845984557,1.1143363102595618,2.275399485057946,6.804612867019944e-11
30,29,0,local_loglinear,5,4,25,2.2050203127968544,2.2709619270357666,1.022147274181834,0.19063514651171637,0.9341208230918643,0.06587917690813572,1.042758876924645,1.1106782356557465,0.938848753355645,0.9630567041350837,0.9310332686021787,0.033817281958049165,0.758475812843969,1.1332791342463269,2.261479328613506,1.102014068821173e-9
30,29,0,local_loglinear,6,5,24,2.2714163800182234,2.3411019551352608,1.0467017062869575,0.18740970361341763,0.9459677123597272,0.05403228764027279,1.0436320559352623,1.1112472351202805,0.939153793100147,0.9554799258220061,0.9294778538154913,0.027590773411079135,0.7607599601063894,1.1525333081461338,2.2494929484413464,1.8515267363542256e-11
30,29,0,local_loglinear,7,6,23,2.3324626695661284,2.40576425502939,1.0693568037167978,0.18457226465414503,0.9566842603179402,0.04331573968205982,1.0444537569305032,1.1119290875239092,0.939316876093544,0.9482564355401442,0.9276079161920683,0.02201582789785942,0.762732154125845,1.172059722776271,2.2392200828674595,9.008339591858506e-10
30,29,0,local_loglinear,8,7,22,2.3880761210335546,2.464844544843354,1.0900799484565769,0.18207834248871443,0.9662598707881517,0.033740129211848324,1.0452258313166438,1.1127227176081878,0.9393407852437583,0.9413818840049846,0.9254403390280612,0.017079218674762718,0.764422554182782,1.1918271803011482,2.2304709433821452,1.571188456414364e-11
30,29,0,local_loglinear,9,8,21,2.4382356428139906,2.5183033797784256,1.1088605992113667,0.17988974677885128,0.974696871939952,0.025303128060047975,1.0459501660223909,1.113626422254604,0.9392289416991396,0.9348481106609922,0.9229919003958746,0.012763608439646301,0.7658579510831246,1.211811617252459,2.223081839198384,7.828597232682896e-10
30,29,0,local_loglinear,10,9,20,2.4829742623138844,2.566158428338065,1.1257075957355223,0.17797361074869072,0.9820086552445972,0.01799134475540276,1.0466286676018766,1.1146381369935479,0.93898515838054,0.9286440499116478,0.9202790789779525,0.009048540609580324,0.7670620983732365,1.2319953439669737,2.216911441092824,1.54882598039286e-11
30,29,0,local_loglinear,11,10,19,2.522371306088342,2.6084766713176526,1.1406464395496139,0.17630158276329366,0.9882178968446466,0.01178210315535344,1.0472632345559503,1.1157556253526677,0.938613447926764,0.9227564888568188,0.9173179038724901,0.005911283633574335,0.7680560296478884,1.2523663396320353,2.2118375839898263,1.0482158974149053e-9
30,29,0,local_loglinear,12,11,18,2.556544847210346,2.6453667744590623,1.1537166524407958,0.1748491496216393,0.9933548722318061,0.006645127768193926,1.0478557531533785,1.1169766226094187,0.9381178906908868,0.9171707035295091,0.9141238417037012,0.0033275527905987506,0.7688583516524093,1.2729175816368072,2.2077545557113387,2.0256175742879426e-11
30,29,0,local_loglinear,13,12,17,2.585644605620161,2.6769718434051564,1.164969271010932,0.1735950735883754,0.9974559235244836,0.0025440764755163547,1.0484080728890992,1.118298928400809,0.9375025284056606,0.9118709731374588,0.910711715392367,0.0012721045895126987,0.7694855149493276,1.293646450668058,2.204570780397557,1.0120781005779154e-9
30,29,0,local_loglinear,14,13,16,2.60984540911387,2.70346268249713,1.1744645328643886,0.17252091838635505,1.0005620596149718,0.0005620596149717993,1.048922007761269,1.1197204787227013,0.9367712993494643,0.9068410032410452,0.9070956488884392,0.00028076575746768806,0.7699520564474793,1.31455417562986,2.202206861704443,1.9584457219647038e-11
30,29,0,local_loglinear,15,14,15,2.6293412937452296,2.7250316584709138,1.1822697718293331,0.1716106544137054,1.0027177335479946,0.0027177335479946496,1.0493993135197588,1.1212393844349255,0.9359279812032537,0.9020642548249339,0.9032890334485733,0.0013568300669957178,0.7702708193861467,1.3356453608787082,2.2005939077730283,1.0058031502794904e-9
30,29,0,local_loglinear,16,15,14,2.6443402616936704,2.7418871970627134,1.1884575460395888,0.17085032419320048,1.0039697577499915,0.0039697577499915315,1.0498416927327054,1.1228539652079252,0.9349761636530359,0.8975242098223161,0.8993045109562816,0.001981604251919275,0.7704531468281625,1.3569275507026874,2.199672119763259,1.9320572973622544e-11
30,29,0,local_loglinear,17,16,13,2.6550597067536064,2.7542489409382993,1.1931039903853478,0.17022776350516033,1.004366390785185,0.00436639078518497,1.0502507749358108,1.124562760737617,0.933919218743235,0.8932045673260427,0.8951539710854977,0.0021801048164419162,0.770509055568199,1.378410873242707,2.1993895794572653,9.9836833754245e-10
30,29,0,local_loglinear,18,17,12,2.6617224736404315,2.7623435402850305,1.1962873971284098,0.16973236368921668,1.003956548745998,0.003956548745998045,1.0506281234890387,1.1263645459745153,0.932760292610284,0.8890893975512718,0.8908485589418034,0.0019766553737362302,0.770447387453112,1.4001077170852392,2.199701228423518,1.9020895716930874e-11
30,29,0,local_loglinear,19,18,11,2.6645535234983817,2.766401062123931,1.198087001241797,0.16935487415175532,1.0027891703170768,0.0027891703170768167,1.0509752164754218,1.1282583310515946,0.9315022876860648,0.8851632447192915,0.8863986909805317,0.0013947539023321937,0.7702759453981733,1.4220324847823294,2.200567984414636,9.912268089781515e-10
30,29,0,local_loglinear,20,19,10,2.6637771460394966,2.766651959606758,1.1985819629971384,0.1690872339996576,1.0009126880340455,0.000912688034045539,1.0512934519375652,1.130243371986454,0.9301478584120066,0.8814112017479323,0.8818140767186202,0.0004569750475097445,0.7700016115610793,1.4442013791131683,2.2019559943457527,1.870604121643075e-11
30,29,0,local_loglinear,21,20,9,2.6596146733060118,2.763324566544946,1.1978505151129615,0.1689224350915391,0.9983746378223105,0.0016253621776894933,1.0515841231450376,1.1323191738092204,0.9286993874769575,0.8778189434251276,0.8771037447439918,0.0008150771832315662,0.769630455478161,1.4666322758184203,2.2038359739640407,6.984710669468715e-11
30,29,0,local_loglinear,22,21,8,2.6522826240384707,2.756643044843777,1.1959692569201674,0.1688544096504134,0.9952213704623674,0.004778629537632639,1.0518484092631128,1.1344855153907123,0.9271589588350632,0.8743727333390222,0.8722760710672566,0.002400784031147879,0.769167831077528,1.4893446563282666,2.206182631521156,1.277518352817527e-10
30,29,0,local_loglinear,23,22,7,2.6419912222648994,2.7468257367355315,1.1930125531096192,0.1688779486347552,0.991497906504724,0.008502093495275975,1.0520873278103051,1.1367424861064204,0.925528288657463,0.87105938500993,0.8673388085394387,0.004280471718311085,0.7686184715452208,1.5123596761426046,2.208974123436947,1.9056656918323369e-10
30,29,0,local_loglinear,24,23,6,2.628943209936288,2.734083844869252,1.1890519915182898,0.16898865571778243,0.9872479533456114,0.01275204665438856,1.0523016616973737,1.139090572916107,0.9238085949596169,0.8678661662124469,0.8622991153715807,0.006435304317490703,0.7679865884034567,1.535700429569134,2.212191503970344,2.5037928353061134e-10
30,29,0,local_loglinear,25,24,5,2.613332865493821,2.7186203629434327,1.184155822538572,0.1691829548713553,0.982514169437046,0.017485830562954052,1.052491811209805,1.1415308294026518,0.9220003385809213,0.8647806049483083,0.857163580472942,0.008847062781898674,0.7672759903556661,1.5593925803875166,2.2158180841545545,3.629029073688153e-10
30,29,0,local_loglinear,26,25,4,2.595345103699168,2.7006291509078233,1.178388251590629,0.16945818712436647,0.9773388360776931,0.02266116392230688,1.0526575089401184,1.1440652088014678,0.9201027186578737,0.8617901193463292,0.8519382418707431,0.011497721845761255,0.7664902490824214,1.5834656778392675,2.2198385543883448,5.783312771758545e-10
30,29,0,local_loglinear,27,26,3,2.5751544657626857,2.680293999951272,1.1718083562053383,0.16981286755567476,0.9717652538443629,0.028234746155637147,1.0527972698061452,1.1466972127574013,0.9181126962666457,0.858881319213608,0.8466285917442697,0.01436865091918127,0.7656329630763289,1.607955786727669,2.224237598678074,9.94122059993715e-10
30,29,0,local_loglinear,28,27,2,2.552923679310131,2.6577874361310605,1.1644682078275022,0.17024724152024032,0.965840476031672,0.034159523968328,1.052907331463555,1.1494331486460063,0.9160231133962377,0.856038685713728,0.8412395562489836,0.01743910239234242,0.7647082167055119,1.6329106618631335,2.228997482858103,1.7996101287529383e-9
30,29,0,local_loglinear,29,28,1,2.528801219637214,2.633268825833558,1.1564094148910915,0.17076440995418352,0.9596205514728189,0.04037944852718112,1.0529796167664223,1.152284560304587,0.9138190799745549,0.8532420667454416,0.8357754280205334,0.020683339824558028,0.7637214200240723,1.6583998696185227,2.234093625582855,3.3626902766237487e-9
