t,q_W,q_US,n_W,n_US_star,bond,NFA,CA,VA,RES,cum_CA,cum_VA,cum_RES,accounting_line,Y_US,e_US
1.0,0.8663179472843513,0.7943518426195623,0.8334098775045468,0.045962989875547665,-0.6050903602773464,0.08039678834894962,0.0,0.0,0.0,0.0,0.0,0.0,0.08039678834894962,1.800707270250573,1.7801437050905475
2.0,0.8163699746335528,0.7824353193267883,0.8892944480854277,0.04705993074159674,-0.6083733200873928,0.08079861400056937,0.0414812403806647,-0.041079414729044965,2.0816681711721685e-17,0.0414812403806647,-0.041079414729044965,2.0816681711721685e-17,0.08079861400056937,1.80853787547668,1.7886729035223237
3.0,0.7693156158692536,0.7702333394302604,0.9490058409256984,0.04820348021904912,-0.6117446629075739,0.08121242252641991,0.04168476420432078,-0.0412709556784702,-3.469446951953614e-17,0.08316600458498548,-0.08235037040751517,-1.3877787807814457e-17,0.08121242252641993,1.816713729630617,1.7975790345465863
4.0,0.7249858026510929,0.757748845755336,1.0128144972686122,0.0493968693702247,-0.6152075445877427,0.08163816590199036,0.041893199002846014,-0.04146745562727563,5.551115123125783e-17,0.12505920358783149,-0.1238178260347908,4.163336342344337e-17,0.08163816590199034,1.8252500337353048,1.8068787761200467
5.0,0.6832214405873946,0.7449856490230881,1.081010682268012,0.050643575390607445,-0.61876519800629,0.08207574074200205,0.04210666424557122,-0.04166908940555953,6.938893903907228e-18,0.1671658678334027,-0.16548691544035032,4.85722573273506e-17,0.08207574074200205,1.834162656923707,1.8165895464402901
6.0,0.6438728150811862,0.7319484716768766,1.1539059728499899,0.051947342988947216,-0.6224209274044029,0.08252498136508041,0.04232527585403973,-0.0418760352309613,-7.632783294297951e-17,0.20949114368744243,-0.2073629506713116,-2.7755575615628914e-17,0.08252498136508044,1.8434681653648795,1.8267295367124683
7.0,0.6067990333184645,0.7186429871275036,1.231834854145967,0.053312208175415716,-0.626178100441269,0.08298565372895142,0.042549146006492136,-0.04208847364262117,4.85722573273506e-17,0.25204028969393455,-0.24945142431393277,2.0816681711721685e-17,0.08298565372895139,1.8531838527495805,1.8373177454200695
8.0,0.5718674993367132,0.7050758577901957,1.3151564302946632,0.05474252435153298,-0.6300401388616996,0.08345744785274997,0.042778381567730756,-0.042306587443932155,-4.85722573273506e-17,0.2948186712616653,-0.2917580117578649,-2.7755575615628914e-17,0.08345744785274992,1.8633277717575634,1.8483740139159162
9.0,0.5389534206712809,0.6912547703261794,1.4042562554532831,0.05624299110337284,-0.6340105070117026,0.08393996946626908,0.043013082600523174,-0.04253056098700407,6.938893903907228e-18,0.33783175386218844,-0.334288572744869,-2.0816681711721685e-17,0.083939969466269,1.8739187667143236,1.8599190634759286
10.0,0.5079393456044379,0.6771884627672,1.4995482922876209,0.05781868650486567,-0.6380926966764351,0.0844327341769428,0.043253342419488715,-0.042760577708815084,9.020562075079397e-17,0.38108509628167714,-0.3770491504536841,6.938893903907228e-17,0.08443273417694276,1.8849765081685865,1.871974533981664
11.0,0.4787147260826021,0.6628867552170179,1.601477001304592,0.05947510210274676,-0.6422902115041749,0.0849351550538493,0.04349924322830258,-0.042996822351396013,-6.938893903907228e-17,0.4245843395099797,-0.4200459728050801,0.0,0.08493515505384924,1.8965215274752865,1.8845630237608728
12.0,0.45117550863561834,0.6483605681890616,1.7105195684950412,0.06121818264000995,-0.6466065460235547,0.08544653464339531,0.04375085650816537,-0.0432394769186194,4.85722573273506e-17,0.46833519601814505,-0.4632854497236995,4.85722573273506e-17,0.08544653464339524,1.908575253924612,1.8977081314088802
13.0,0.4252237495340202,0.6336219375086641,1.827188274481384,0.06305436994596067,-0.6510451618259346,0.0859660553000883,0.044008240251989704,-0.043488719595296675,-4.163336342344337e-17,0.5123434362701348,-0.5067741693189962,6.938893903907228e-18,0.08596605530008816,1.921160052794584,1.911434499017345
14.0,0.4007672520478715,0.6186840245585571,1.9520330084889543,0.06499065196471909,-0.6556094602178748,0.08649276638476597,0.04427143583687538,-0.04374472475219774,2.7755575615628914e-17,0.5566148721070102,-0.5505188940711939,3.469446951953614e-17,0.08649276638476591,1.9342992644829373,1.9257678569940686
15.0,0.3777192275516368,0.6035611126402951,2.0856439301701233,0.06703461836100578,-0.6603027477345538,0.08702557767367883,0.04454046798085223,-0.04400765669193931,-6.245004513516506e-17,0.6011553400878624,-0.5945265507631332,-2.7755575615628914e-17,0.08702557767367877,1.9480172461777345,1.9407350707534194
16.0,0.3559979737664624,0.588268606376574,2.228654277636609,0.0691945218919216,-0.6651282005062237,0.08756324159611406,0.044815337713997046,-0.04427767379156189,7.632783294297951e-17,0.6459706778018595,-0.6388042245546951,4.85722573273506e-17,0.087563241596114,1.9623394130017655,1.956364188604383
17.0,0.3355265753378508,0.5728230120814602,2.3817433218612596,0.0714793489150515,-0.6700888187971662,0.08810434537359728,0.04509602294202491,-0.044554919164541656,-3.469446951953614e-17,0.6910667007438843,-0.6833591437192368,1.3877787807814457e-17,0.08810434537359714,1.977292282542552,1.9726844918655633
18.0,0.3162326206222334,0.557241914401145,2.545639463100531,0.07389889851195673,-0.6751873775683811,0.08864729732833623,0.04538247303338355,-0.04483952107864455,-4.85722573273506e-17,0.7364491737772678,-0.7281986647978813,-3.469446951953614e-17,0.08864729732833607,1.9929035197851088,1.9897265463149716
19.0,0.2980479354279936,0.541543943433097,2.72112345766311,0.07646387279254199,-0.6804263689558879,0.08919031244304551,0.04567460460581456,-0.04513158949110527,-1.3877787807814457e-17,0.7821237783830823,-0.7733302542889866,-4.85722573273506e-17,0.08919031244304526,2.0092019834966646,2.007522255394493
20.0,0.28090833345499583,0.5257487279863242,2.9090317697801606,0.07918598049129838,-0.6858079363619108,0.08973140153702115,0.04597229873305602,-0.0454312096390804,2.0816681711721685e-17,0.8280960771161383,-0.818761463928067,-2.7755575615628914e-17,0.08973140153702083,2.0262177747947234,2.0261049151918127
21.0,0.26475338112553654,0.5098768434704303,3.1102600268508476,0.08207805450930594,-0.6913338021130463,0.09026835682391886,0.046275394114943025,-0.04573843882804538,6.245004513516506e-17,0.8743714712310813,-0.8644999027561124,3.469446951953614e-17,0.09026835682391846,2.0439822861320303,2.0455092708471505
22.0,0.24952617597670398,0.4939497465394577,3.3257665564032495,0.08515418879276038,-0.6970051839346593,0.09079873710489766,0.04658368264597476,-0.046053302364995934,-2.0816681711721685e-17,0.9209551538770561,-0.9105532051211084,1.3877787807814457e-17,0.0907987371048974,2.062528252273327,2.0657715747639713
23.0,0.23517313922994965,0.47798969862332163,3.5565759809214508,0.08842989594372855,-0.7028227027812944,0.09131985625040613,0.0468969038072988,-0.04637578466179032,-1.3877787807814457e-17,0.9678520576843549,-0.9569289897828988,0.0,0.09131985625040584,2.081889802755965,2.0869296463740863
24.0,0.22164382031559077,0.4620196793348582,3.8037828341667814,0.09192229003506217,-0.708786281092632,0.09182877095723344,0.04721473825196423,-0.04670582354513691,-2.0816681711721685e-17,1.015066795936319,-1.0036348133280357,-2.0816681711721685e-17,0.09182877095723294,2.102102515599869,2.1090229333590056
25.0,0.2088907122848981,0.44606329164707414,4.068555146991879,0.09565030056091658,-0.7148950298756916,0.09232226483459591,0.047536799589837274,-0.047043305712474864,6.245004513516506e-17,1.0626035955261564,-1.0506781190405106,4.163336342344337e-17,0.09232226483459542,2.123203471869967,2.132092574332524
26.0,0.19686907944221524,0.4301446521185982,4.352137967514587,0.09963492295616802,-0.721147125297945,0.09279684069832111,0.04786262938564961,-0.047388053521924406,0.0,1.110466224911806,-1.098066172562435,4.163336342344337e-17,0.09279684069832066,2.145231312676429,2.1561814630031013
27.0,0.1855367942707098,0.41428827744729174,4.655856737335071,0.10389951208644305,-0.7275396766892261,0.09324870704970258,0.04819168623625309,-0.04773981988487165,2.0816681711721685e-17,1.158657911148059,-1.1458059924473067,6.245004513516506e-17,0.09324870704970195,2.168226296013425,2.1813343134541583
28.0,0.1748541846793392,0.3985189572840871,4.981120473177842,0.1084701284391795,-0.734068584911837,0.09367377173318592,0.04852333985089456,-0.04809827516741119,-2.7755575615628914e-17,1.2071812509989537,-1.193904267614718,3.469446951953614e-17,0.09367377173318528,2.1922303560443894,2.20759772675967
29.0,0.16478388929872778,0.3828616233475161,5.3294246408779244,0.11337594887334507,-0.740728390288186,0.09406762992594009,0.0488568596609509,-0.048463001468196765,3.469446951953614e-17,1.2560381106599046,-1.2423672690829148,6.938893903907228e-17,0.09406762992593938,2.217287162455168,2.2350202585778565
30.0,0.15529072247723236,0.3673412085403007,5.702353672781436,0.1186497515746405,-0.7475121169192412,0.0944255616112525,0.04919140710807903,-0.048833475422766524,-9.71445146547012e-17,1.3052295177679836,-1.2912007445056815,-2.7755575615628914e-17,0.09442556161125168,2.2434421817666848,2.263652487779872
31.0,0.1463415465649104,0.35198250238821743,6.101582997053619,0.12432849336540051,-0.7544111108685347,0.09474252720154253,0.04952602505283356,-0.049209059462543614,8.326672684688674e-17,1.3547555428208171,-1.340409803968225,5.551115123125783e-17,0.09474252720154169,2.270742739166179,2.2935470858145623
32.0,0.13790515208682874,0.33681000184351484,6.5288805107438925,0.13045399341771047,-0.7614148815309367,0.09501316849641894,0.049859628265468026,-0.049588986970591574,-3.469446951953614e-17,1.404615171086285,-1.3899987909388167,2.0816681711721685e-17,0.09501316849641797,2.2992380814713616,2.324758886749695
33.0,0.12995214420975518,0.321847760116844,6.986107323554431,0.13707375299324306,-0.7685109382675656,0.09523180773612183,0.05019099318639579,-0.04997235394669295,4.85722573273506e-17,1.4548061642726808,-1.4399711448855097,6.938893903907228e-17,0.09523180773612079,2.328979440849195,2.3573449578255428
34.0,0.1224548367780063,0.3071192353834406,7.475217747508276,0.14424192521076035,-0.7756846442571987,0.09539245511301894,0.0505187475715157,-0.050358100194618505,-8.326672684688674e-17,1.5053249118441965,-1.4903292450801282,-1.3877787807814457e-17,0.09539245511301785,2.360020099188919,2.3913646704627407
35.0,0.11538715204811753,0.2926471390953268,7.99825836147889,0.15202047570600025,-0.7829190778624825,0.09548881851433798,0.05084136269754372,-0.0507449992962247,2.0816681711721685e-17,1.5561662745417402,-1.541074244376353,6.938893903907228e-18,0.09548881851433677,2.3924154537518416,2.4268797714804378
36.0,0.10872452655310885,0.2784532879369721,8.5573661315854,0.16048055888702129,-0.7901949226595556,0.09551431926662174,0.05115714482194605,-0.05113164406966235,6.245004513516506e-17,1.6073234193636863,-1.5922058884460153,6.938893903907228e-17,0.09551431926662064,2.4262230833419767,2.4639544543407568
37.0,0.10244382169215854,0.2645584625380388,9.15476536716446,0.1697041656430887,-0.797490373712922,0.09546210404558614,0.051464226492885956,-0.05151644171392157,1.3877787807814457e-17,1.6587876458565722,-1.6437223301599369,8.326672684688674e-17,0.09546210404558506,2.4615028145293865,2.502655430592407
