T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
30,29,local_loglinear,22,21,23,22,0.2967523012998643,0.030999926864771845,0.7972571233052775,0.04819068658937875,40.71712630759162,13.620566122453251,true,true
30,29,local_loglinear,22,21,24,23,0.29400860049364935,0.030900053570766025,0.7893256407686501,0.04790190041825954,40.65158027290204,13.598428658052272,true,true
30,29,local_loglinear,22,21,25,24,0.2912036118648824,0.03080365273843238,0.78119987737935,0.04760827023921373,40.584637557516594,13.575820789411411,true,true
30,29,local_loglinear,22,21,26,25,0.28834300322780215,0.030710291260784027,0.7728981359010545,0.04731013714689112,40.516358338466254,13.552762916635642,true,true
30,29,local_loglinear,22,21,27,26,0.28543148168173743,0.030619519530126583,0.7644358864548326,0.047007809129395846,40.4467960034839,13.529273143624026,true,true
30,29,local_loglinear,22,21,28,27,0.28247217413597686,0.030530833424760463,0.7558240221336492,0.04670156072857683,40.37599695979698,13.505367213994235,true,true
30,29,local_loglinear,22,21,29,28,0.2794654822652326,0.030443602202439413,0.7470656401883796,0.04639163035906413,40.30399988217231,13.481058257749835,true,true
45,44,local_loglinear,22,21,23,22,0.2967532495109437,0.030999982571982113,0.7972598008168847,0.04819069060145348,40.717152110897146,13.620574727567169,true,true
45,44,local_loglinear,22,21,24,23,0.29401041791950466,0.03090016082129703,0.7893307712946228,0.0479019080968363,40.65160687416187,13.59843753281746,true,true
45,44,local_loglinear,22,21,25,24,0.29120709501729336,0.030803859300989295,0.7812097071489124,0.0476082849285067,40.584665727654496,13.57583019414667,true,true
45,44,local_loglinear,22,21,26,25,0.2883496727900455,0.030710688876576193,0.7729169517404078,0.04731016524504765,40.51638956033356,13.5527733520229,true,true
45,44,local_loglinear,22,21,27,26,0.2854442420844792,0.030620284541277076,0.7644718726296064,0.04700786285665096,40.446833123991176,13.529285570853709,true,true
45,44,local_loglinear,22,21,28,27,0.2824965657368956,0.03053230446568923,0.7558927838136191,0.04670166341342436,40.37604544166132,13.50538347730053,true,true
45,44,local_loglinear,22,21,29,28,0.27951206163359044,0.030446429021406707,0.7471968978365514,0.04639182650115182,40.304070199437206,13.48108189298022,true,true
45,44,local_loglinear,22,21,30,29,0.2764957844770224,0.030362359518226183,0.7384002748763886,0.04607858764904659,40.23094612127338,13.456393961406839,true,true
45,44,local_loglinear,22,21,31,30,0.27345242078276044,0.030279817066255366,0.7295178111495151,0.04576216022866915,40.15670732252157,13.431331267735859,true,true
45,44,local_loglinear,22,21,32,31,0.27038628315599533,0.030198541137513517,0.7205632260554454,0.0454427372508319,40.08138364414004,13.405903951964179,true,true
45,44,local_loglinear,22,21,33,32,0.26730131205276947,0.030118288232330686,0.7115490714613163,0.04512049304116765,40.00500096322534,13.380120814116282,true,true
45,44,local_loglinear,22,21,34,33,0.26420108135445564,0.030038830558695807,0.7024867523872795,0.044795584801801486,39.92758148158917,13.353989411998192,true,true
45,44,local_loglinear,22,21,35,34,0.26108880622719677,0.029959954596742045,0.6933865548913641,0.04446815406112895,39.849143992745624,13.327516151643003,true,true
45,44,local_loglinear,22,21,36,35,0.25796735423619593,0.029881459731287602,0.684257683514725,0.04413832800639011,39.76970412581579,13.300706369944987,true,true
45,44,local_loglinear,22,21,37,36,0.2548392581032538,0.029803156875945876,0.6751083036819238,0.0438062207056091,39.68927456758108,13.2735644098993,true,true
45,44,local_loglinear,22,21,38,37,0.25170672738249816,0.02972486694412811,0.6659455813151103,0.0434719342210153,39.6078652627988,13.246093688487283,true,true
45,44,local_loglinear,22,21,39,38,0.24857166088501076,0.029646419270817636,0.6567757248425794,0.0431355596078464,39.52548359080699,13.21829675654351,true,true
45,44,local_loglinear,22,21,40,39,0.2454356480449235,0.029567649638473244,0.6476039952193507,0.042797177799413784,39.4421345180125,13.190175350470248,true,true
45,44,local_loglinear,22,21,41,40,0.24229997088625332,0.02948839760049881,0.6384347198572635,0.042456860359564454,39.35782072086987,13.161730433982854,true,true
45,44,local_loglinear,22,21,42,41,0.239165575486465,0.02940850245633002,0.6292712190904051,0.04211467006775013,39.27254266966576,13.132962226623004,true,true
45,44,local_loglinear,22,21,43,42,0.23603301201114968,0.02932779661771031,0.6201156461803181,0.041770661267925766,39.18629865435324,13.103870212719004,true,true
45,44,local_loglinear,22,21,44,43,0.23290230589557476,0.02924609404860946,0.610968635540896,0.041424879846549335,39.099084716013195,13.074453118517614,true,true
60,59,local_loglinear,22,21,23,22,0.2967532495109437,0.030999982571982113,0.7972598008168847,0.04819069060145348,40.717152110897146,13.620574727567169,true,true
60,59,local_loglinear,22,21,24,23,0.29401041791950466,0.03090016082129703,0.7893307712946228,0.0479019080968363,40.65160687416187,13.59843753281746,true,true
60,59,local_loglinear,22,21,25,24,0.29120709501729336,0.030803859300989295,0.7812097071489124,0.0476082849285067,40.584665727654496,13.57583019414667,true,true
60,59,local_loglinear,22,21,26,25,0.2883496727900455,0.030710688876576193,0.7729169517404078,0.04731016524504765,40.51638956033356,13.5527733520229,true,true
60,59,local_loglinear,22,21,27,26,0.28544424219901465,0.030620284548890465,0.7644718729503726,0.04700786285665096,40.446833123991176,13.529285570853709,true,true
60,59,local_loglinear,22,21,28,27,0.2824965663204225,0.03053230450391648,0.7558927854495182,0.04670166341391507,40.376045441775034,13.505383477338926,true,true
60,59,local_loglinear,22,21,29,28,0.27951206243174564,0.03044642907110442,0.7471969000819236,0.046391826504085625,40.30407020012039,13.481081893210883,true,true
60,59,local_loglinear,22,21,30,29,0.27649578563761024,0.03036235958771523,0.7384002781496851,0.04607858765511801,40.23094612269424,13.456393961886532,true,true
60,59,local_loglinear,22,21,31,30,0.27345242261816927,0.030279817175554186,0.7295178163278454,0.04576216023908136,40.156707324970604,13.431331268562614,true,true
60,59,local_loglinear,22,21,32,31,0.2703862865838843,0.030198541345819476,0.7205632357141947,0.04544273726801337,40.08138364820204,13.40590395333536,true,true
60,59,local_loglinear,22,21,33,32,0.2673013185474784,0.030118288633671254,0.7115490897414215,0.045120493071168666,40.00500097035515,13.380120816522885,true,true
60,59,local_loglinear,22,21,34,33,0.2642010936635118,0.030038831328833875,0.7024867870040338,0.044795584856329985,39.92758149461672,13.353989416395235,true,true
60,59,local_loglinear,22,21,35,34,0.26108882911637293,0.029959956041020884,0.6933866192260562,0.044468154162371896,39.84914401706408,13.327516159850397,true,true
60,59,local_loglinear,22,21,36,35,0.25796739764532334,0.0298814624986035,0.6842578054401594,0.04413832819454218,39.76970417125667,13.300706385280098,true,true
60,59,local_loglinear,22,21,37,36,0.2548393402071755,0.029803162157654894,0.6751085341485619,0.04380622105897111,39.68927465339515,13.273564438857354,true,true
60,59,local_loglinear,22,21,38,37,0.2517068821967342,0.02972487698911869,0.6659460156228467,0.043471934887140455,39.607865425477094,13.246093743379504,true,true
60,59,local_loglinear,22,21,39,38,0.24857195293477755,0.029646438389218564,0.6567765436366769,0.04313556086387424,39.52548389929785,13.218296860629824,true,true
60,59,local_loglinear,22,21,40,39,0.24543619824877622,0.02956768597910078,0.6476055368090262,0.04279718016877847,39.44213510331243,13.190175547939587,true,true
60,59,local_loglinear,22,21,41,40,0.2423010056967098,0.029488466566529297,0.6384376173905416,0.042456864827176845,39.357821830964305,13.161730808481945,true,true
60,59,local_loglinear,22,21,42,41,0.23916752002288102,0.029408633248461803,0.6292766603232577,0.042114678482980894,39.27254477307078,13.13296293617324,true,true
60,59,local_loglinear,22,21,43,42,0.23603666002265877,0.029328044279935843,0.6201258472281688,0.041770677104260745,39.18630263651413,13.103871555942302,true,true
60,59,local_loglinear,22,21,44,43,0.2329091394045845,0.029246562378699704,0.6109877310776544,0.04142490961060946,39.09909224607746,13.074455658303096,true,true
60,59,local_loglinear,22,21,45,44,0.2297854807448654,0.02916405380531315,0.6018642808186568,0.04107741845011425,39.01090863593312,13.044713630427822,true,true
60,59,local_loglinear,22,21,46,45,0.22666603596218776,0.029080387621502845,0.5927569450220547,0.04072824011530909,38.921745127739264,13.014643282695063,true,true
60,59,local_loglinear,22,21,47,46,0.2235510004150541,0.02899543499561651,0.5836666962583127,0.04037740561072743,38.83159339811509,12.98424187164909,true,true
60,59,local_loglinear,22,21,48,47,0.2204404287965975,0.028909068484408475,0.5745940809365672,0.04002494087686265,38.74044353635716,12.953506119662583,true,true
60,59,local_loglinear,22,21,49,48,0.21733424745306873,0.028821161409449018,0.565539258130859,0.03967086717138507,38.64828409225089,12.922432231255014,true,true
60,59,local_loglinear,22,21,50,49,0.2142322730409188,0.02873158737911432,0.5565020569854133,0.039315201414978004,38.55510211551845,12.891015906587795,true,true
60,59,local_loglinear,22,21,51,50,0.2111342231801273,0.02864021972839935,0.5474820103551837,0.03895795651153647,38.4608831891403,12.859252352891636,true,true
60,59,local_loglinear,22,21,52,51,0.2080397321192557,0.028546931169535463,0.5384784028491607,0.038599141639920814,38.36561145555108,12.82713629349028,true,true
60,59,local_loglinear,22,21,53,52,0.2049483614970384,0.028451593409731947,0.5294903042619195,0.038238762530117654,38.269269638845756,12.794661975478702,true,true
60,59,local_loglinear,22,21,54,53,0.20185962162119475,0.02835407723105906,0.5205166331704071,0.037876821723237065,38.171839062669136,12.761823175946283,true,true
60,59,local_loglinear,22,21,55,54,0.1987729878680444,0.028254252733561587,0.5115562054034485,0.0375133188402446,38.07329967036528,12.728613208962004,true,true
60,59,local_loglinear,22,21,56,55,0.19568792814816055,0.02815199032097522,0.502607813481556,0.03714825086729153,37.973630049666,12.695024934089291,true,true
60,59,local_loglinear,22,21,57,56,0.1926039431841807,0.0280471628552282,0.4936703409868574,0.036781612493827845,37.8728074721491,12.66105076987686,true,true
60,59,local_loglinear,22,21,58,57,0.18952062760877966,0.027939649920990663,0.484742933063367,0.03641339655765279,37.77080796330419,12.62668271765905,true,true
60,59,local_loglinear,22,21,59,58,0.1864377804264071,0.027829346003417476,0.4758253032689689,0.036043594692186265,37.66760643153678,12.591912405204447,true,true
70,69,local_loglinear,22,21,23,22,0.2967532495109437,0.030999982571982113,0.7972598008168847,0.04819069060145348,40.717152110897146,13.620574727567169,true,true
70,69,local_loglinear,22,21,24,23,0.29401041791950466,0.03090016082129703,0.7893307712946228,0.0479019080968363,40.65160687416187,13.59843753281746,true,true
70,69,local_loglinear,22,21,25,24,0.29120709501729336,0.030803859300989295,0.7812097071489124,0.0476082849285067,40.584665727654496,13.57583019414667,true,true
70,69,local_loglinear,22,21,26,25,0.2883496727900455,0.030710688876576193,0.7729169517404078,0.04731016524504765,40.51638956033356,13.5527733520229,true,true
70,69,local_loglinear,22,21,27,26,0.28544424219901465,0.030620284548890465,0.7644718729503726,0.04700786285665096,40.446833123991176,13.529285570853709,true,true
70,69,local_loglinear,22,21,28,27,0.2824965663204225,0.03053230450391648,0.7558927854495182,0.04670166341391507,40.376045441775034,13.505383477338926,true,true
70,69,local_loglinear,22,21,29,28,0.27951206243174564,0.03044642907110442,0.7471969000819236,0.046391826504085625,40.30407020012039,13.481081893210883,true,true
70,69,local_loglinear,22,21,30,29,0.27649578563761024,0.03036235958771523,0.7384002781496851,0.04607858765511801,40.23094612269424,13.456393961886532,true,true
70,69,local_loglinear,22,21,31,30,0.27345242261816927,0.030279817175554186,0.7295178163278454,0.04576216023908136,40.156707324970604,13.431331268562614,true,true
70,69,local_loglinear,22,21,32,31,0.2703862865838843,0.030198541345819476,0.7205632357141947,0.04544273726801337,40.08138364820204,13.40590395333536,true,true
70,69,local_loglinear,22,21,33,32,0.2673013185474784,0.030118288633671254,0.7115490897414215,0.045120493071168666,40.00500097035515,13.380120816522885,true,true
70,69,local_loglinear,22,21,34,33,0.2642010936635118,0.030038831328833875,0.7024867870040338,0.044795584856329985,39.92758149461672,13.353989416395235,true,true
