T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage,selected_for_downstream,search_right_censored
30,0,local_loglinear,2.5498998165130615,ok,30,60,,true,1.0187088860673365e-7,30,1.0187088860673365e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.706168622523819e-16,1.0,1.869299048884443e-8,true,0.91856793256672,true,0.1890507935573904,1.6606529874949896,0.49230847829161994,1.6606529874949896,true,1.48424197932151e-9,1.533067450765202e-9,true,9.985140561608041e-10,T_report_plus_1_only,1.6841747390738209,0.8576643848862839,0.7602107891316532,,0.8601130614280935,1.6386402796927975,1.5361498417627935,0.17354322138089762,0.008457988009292539,-0.03793686116443221,0.0,1.869299048884443e-8,0.738149997691694,,coarse_grid,false,false
45,0,local_loglinear,1.2375998497009277,ok,45,60,30,true,1.179029248801968e-7,45,1.179029248801968e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,5.551115123125783e-16,1.1678680829992798,3.540196580331667e-8,true,0.9021993595103142,true,0.1761946367332604,1.6606529874949896,0.3421606306993527,1.6606529874949896,true,1.9735763197303857e-9,2.0350214846587278e-9,true,9.985140561608041e-10,T_report_plus_1_only,2.684157505938503,0.8239469300957809,0.7388433414572703,,0.8262897997947938,2.050256295103735,1.9220209110734316,1.1678681184012456,0.008458043212505872,-0.037936853825772394,0.0,3.540196580331667e-8,0.6018285909243606,,coarse_grid,false,false
60,0,local_loglinear,1.163667917251587,ok,60,60,45,true,1.3789353756105648e-7,60,1.3789353756105648e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,7.424616477180734e-16,5.4195768777406474,6.572724053910406e-8,true,0.8893600099666492,true,0.16414808231057498,1.6606529874949896,0.2633548395584151,1.6606529874949896,true,2.7479050944412275e-9,2.8317015399181855e-9,true,9.985140561608041e-10,T_report_plus_1_only,4.756928588333093,0.7820981934822325,0.7048119725220853,,0.7852916453947766,2.6909750234110286,2.522665228988177,5.419576943467888,0.008458043212505872,-0.037936853825772394,0.0,6.572724053910406e-8,0.4669182365453468,,coarse_grid,false,false
70,0,local_loglinear,1.4623839855194092,ok,70,60,60,true,1.581982999208967e-7,70,1.581982999208967e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.7200464103316335e-15,15.099623747735619,8.787820782174549e-8,true,0.8842559768844023,true,0.1569053027165532,1.6606529874949896,0.23136214826228144,1.6606529874949896,true,2.929524817174567e-9,3.0187672361847717e-9,true,9.985140561608041e-10,T_report_plus_1_only,7.52456282949958,0.7431049676236515,0.6706402260416126,,0.7473979527028594,3.386902664753283,3.1750653618145694,15.09962365985741,0.008458043212505872,-0.037936853825772394,0.0,8.787820782174549e-8,0.3777313722007138,,coarse_grid,false,false
