switch_index,G_N_US,G_N_W,nu_b_eff,nu_b_common_growth_implied,bgp_converged,bgp_residual_norm,G_b,G_W,level_gap,log_gap
0,1.020331952042318,1.0394101542912866,1.0,1.9203775466262387,true,2.1475453082676305e-16,1.020331952042318,1.0394101542912866,-0.019078202248968612,-0.01852537539250728
1,1.0224593661405819,1.0388652921900343,1.0,1.7166844433713109,true,2.1638176561709538e-11,1.0224593661405819,1.0388652921900343,-0.016405926049452457,-0.015918183877092137
2,1.024490921864869,1.0383677522277457,1.0,1.5560538713287322,true,8.573965641285281e-12,1.024490921864869,1.0383677522277457,-0.01387683036287668,-0.013454183616935289
3,1.0264287903776133,1.0379126820661622,1.0,1.4265220278509385,true,3.656113333734731e-12,1.0264287903776133,1.0379126820661622,-0.011483891688548908,-0.011126076094581529
4,1.0282758247572379,1.037495727048347,1.0,1.3201330453201654,true,1.6545073379011407e-12,1.0282758247572379,1.037495727048347,-0.009219902291109028,-0.008926411542217814
5,1.0300353779891762,1.0371129884862198,1.0,1.2313958248566517,true,7.863658932052227e-13,1.0300353779891762,1.0371129884862198,-0.007077610497043585,-0.006847731172476584
6,1.0317111500722291,1.0367609819760077,1.0,1.1564021832870734,true,3.9005216561867945e-13,1.0317111500722291,1.0367609819760077,-0.005049831903778612,-0.004882678241680746
7,1.033307061844027,1.0364365970739249,1.0,1.0922978132374057,true,2.005269262957735e-13,1.033307061844027,1.0364365970739249,-0.003129535229897895,-0.0030240823315478213
8,1.034827152461438,1.0361370592158947,1.0,1.036951748179833,true,1.064916304099769e-13,1.034827152461438,1.0361370592158947,-0.0013099067544566356,-0.0012650213091614723
9,1.0362754976676094,1.035859894331168,1.0,0.9887425996881062,true,5.824484620323484e-14,1.0362754976676094,1.035859894331168,0.00041560333644130587,0.00040113531540358904
10,1.0376561456454683,1.0356028964207402,1.0,0.946416160630211,true,3.2722149635427815e-14,1.0376561456454683,1.0356028964207402,0.0020532492247280487,0.0019806978812943743
11,1.0389730678828408,1.035364098104446,1.0,0.9089880682725059,true,1.884149821896721e-14,1.0389730678828408,1.035364098104446,0.003608969778394755,0.003479640126965923
12,1.0402301223275436,1.0351417441009685,1.0,0.875675753322349,true,1.111927548376253e-14,1.0402301223275436,1.0351417441009685,0.005088378226575152,0.00490359198253601
13,1.0414310267591718,1.0349342674618314,1.0,0.84584990042132,true,6.755027487301237e-15,1.0414310267591718,1.0349342674618314,0.006496759297340393,0.00625783961695095
14,1.0425793404086798,1.0347402683748137,1.0,0.8189992051377847,true,3.955498596740113e-15,1.0425793404086798,1.0347402683748137,0.007839072033866135,0.00754733090814378
15,1.0436784521554165,1.0345584953274107,1.0,0.7947043743376929,true,2.5066724535720447e-15,1.0436784521554165,1.0345584953274107,0.009119956828005815,0.00877668485458262
16,1.0447315739461533,1.0343878284059618,1.0,0.7726186673581515,true,1.6848933672332992e-15,1.0447315739461533,1.0343878284059618,0.010343745540191573,0.009950203792913642
17,1.0457417383260716,1.0342272645092843,1.0,0.752453140678444,true,9.38845877894545e-16,1.0457417383260716,1.0342272645092843,0.011514473816787385,0.011071887540269686
18,1.0467117991154926,1.0340759042763927,1.0,0.7339653258393184,true,6.406263832703157e-16,1.0467117991154926,1.0340759042763927,0.012635894839099882,0.012145448713373065
19,1.0476444344312887,1.0339329405429583,1.0,0.716950447392052,true,5.807131508218438e-16,1.0476444344312887,1.0339329405429583,0.013711493888330484,0.013174328631609514
20,1.0485421514920228,1.0337976481427402,1.0,0.7012345417236666,true,3.8444279867890473e-16,1.0485421514920228,1.0337976481427402,0.014744503349282567,0.014161713447180056
21,1.0494072926379152,1.0336693749073833,1.0,0.6866690165308534,true,4.037641052741639e-16,1.0494072926379152,1.0336693749073833,0.015737917730531903,0.015110550107111667
22,1.0502420422535264,1.0335475337104547,1.0,0.6731263112930193,true,1.2954546496144128e-16,1.0502420422535264,1.0335475337104547,0.01669450854307164,0.0160235620077498
23,1.0510484341972361,1.0334315954425606,1.0,0.6604964096516387,true,2.4932995341422196e-16,1.0510484341972361,1.0334315954425606,0.017616838754675568,0.016903264084662396
24,1.051828359581023,1.0333210827931802,1.0,0.6486840145564569,true,5.997098608149737e-16,1.051828359581023,1.0333210827931802,0.018507276787842697,0.017751977321002095
25,1.0525835745775027,1.0332155647602357,1.0,0.6376062463216194,true,2.220446049250313e-16,1.0525835745775027,1.0332155647602357,0.01936800981726705,0.018571842455181883
26,1.0533157082595062,1.033114651779315,1.0,0.6271907528339478,true,2.220446049250313e-16,1.0533157082595062,1.033114651779315,0.020201056480191104,0.019364833009261118
27,1.0540262703104228,1.0330179914047537,1.0,0.6173741493904679,true,2.220446049250313e-16,1.0540262703104228,1.0330179914047537,0.021008278905669142,0.020132767560786025
28,1.0547166584311696,1.032925264488764,1.0,0.608100724639844,true,2.220446049250313e-16,1.0547166584311696,1.032925264488764,0.02179139394240548,0.02087732115527987
