sweep_kind,sweep_value,case_id,label,pi,gamma,T_max,branch_iters,warm_start_T,seed_kind,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,60,60,45,horizon,ok,0.044064998626708984,true,1.51007690933756e-6,9.470007810944595e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,70,60,60,horizon,ok,0.04889702796936035,true,1.2596461568866623e-6,9.470008035120697e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,80,60,70,horizon,ok,0.05633807182312012,true,3.834706675889442e-6,9.470010521276862e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,90,60,80,horizon,ok,0.06366086006164551,true,3.4374757491042894e-6,9.470010521276862e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,100,60,90,horizon,ok,0.06859707832336426,true,1.312922762792456e-6,9.470010521276862e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,103,60,100,horizon,ok,0.06477093696594238,true,4.745475730176818e-7,9.470010521276862e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,104,60,103,horizon,ok,0.05539298057556152,true,4.916264702993557e-7,9.470010521276862e-10,true,
pi,0.95,pi_0p950_gamma_0p25,π = 0.95,0.95,0.25,105,60,104,horizon,ok,0.05240011215209961,true,5.679523873306446e-7,9.470010521276862e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,30,60,30,parameter,ok,0.028512954711914062,true,2.268493544230287e-6,9.421453129537241e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,45,60,30,horizon,ok,0.03779411315917969,true,5.619172359516898e-6,9.869054849494894e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,60,60,45,horizon,ok,0.0512089729309082,true,3.88462635946065e-6,9.869764485948879e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,70,60,60,horizon,ok,0.052568912506103516,true,3.7962473078849037e-6,9.869768953883325e-10,true,
pi,0.97,pi_0p970_gamma_0p25,π = 0.97,0.97,0.25,80,60,70,horizon,ok,0.06255006790161133,false,1.369006176939966e-5,9.869769659282142e-10,false,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,30,60,30,parameter,ok,0.027357101440429688,true,5.351970572944408e-6,9.8300777981873e-10,true,
pi,0.99,pi_0p990_gamma_0p25,π = 0.99,0.99,0.25,45,60,30,horizon,ok,0.03882408142089844,false,1.1949810888940769e-5,8.696202265446427e-10,false,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,30,60,30,parameter,ok,0.028254032135009766,true,6.616082443500611e-6,9.482363313150693e-10,true,
pi,0.995,pi_0p995_gamma_0p25,π = 0.995,0.995,0.25,45,60,30,horizon,ok,0.036370038986206055,false,1.4227444406869304e-5,9.8359227529848e-10,false,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,30,60,30,parameter,ok,0.01734304428100586,true,1.148674283947294e-7,2.1128407514839944e-11,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,45,60,30,horizon,ok,0.02245807647705078,true,1.1807865964950971e-7,9.115632084965732e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,60,60,45,horizon,ok,0.03469491004943848,true,1.3488758921586902e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,70,60,60,horizon,ok,0.02428722381591797,true,1.7449119976109868e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,80,60,70,horizon,ok,0.03249192237854004,true,1.9989586900955605e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,90,60,80,horizon,ok,0.03905296325683594,true,2.340760856282345e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,100,60,90,horizon,ok,0.06746816635131836,true,3.2650591991001297e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,103,60,100,horizon,ok,0.06340813636779785,true,3.50005915146515e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,104,60,103,horizon,ok,0.05623984336853027,true,3.881047903132811e-7,9.115784830125209e-10,true,
gamma,0.05,pi_0p750_gamma_0p05,γ = 0.05,0.75,0.05,105,60,104,horizon,ok,0.05423307418823242,true,4.31764363104087e-7,9.115784830125209e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,30,60,30,parameter,ok,0.014362096786499023,true,1.1266215796722648e-7,2.2276507586936233e-11,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,45,60,30,horizon,ok,0.02081918716430664,true,1.320221813609881e-7,9.769958810535515e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,60,60,45,horizon,ok,0.027512073516845703,true,1.3393525138101686e-7,9.7700809043803e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,70,60,60,horizon,ok,0.02104496955871582,true,1.6017530950492063e-7,9.7700809043803e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,80,60,70,horizon,ok,0.02792215347290039,true,1.6815679878835593e-7,9.7700809043803e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,90,60,80,horizon,ok,0.034957170486450195,true,1.94592968073167e-7,9.7700809043803e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,100,60,90,horizon,ok,0.04473400115966797,true,2.534446403946715e-7,9.7700809043803e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,103,60,100,horizon,ok,0.041771888732910156,true,3.472491781942729e-7,9.7700809043803e-10,true,
gamma,0.5,pi_0p750_gamma_0p50,γ = 0.5,0.75,0.5,104,60,103,horizon,ok,0.036366939544677734,true,3.6159378486750363e-7,9.7700809043803e-10,true,
