T_solved,n_buffer,branch_iters,warm_start_T,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
30,0,60,,ok,6.535050868988037,true,1.3116486360967873e-7,2.1638176561709538e-11,true,
45,0,60,30,ok,0.5531530380249023,true,1.2719917398235468e-7,9.412262316347304e-10,true,
60,0,60,45,ok,0.028200864791870117,true,1.5566993850941658e-7,9.412399550256443e-10,true,
70,0,60,60,ok,0.014197826385498047,true,1.5957340712687901e-7,9.412399550256443e-10,true,
80,0,60,70,ok,0.02500009536743164,true,1.6496605472799417e-7,9.412399550256443e-10,true,
90,0,60,80,ok,0.034317970275878906,true,2.43632676556676e-7,9.412399550256443e-10,true,
100,0,60,90,ok,0.04822993278503418,true,3.2881681738823914e-7,9.412399550256443e-10,true,
105,0,60,100,ok,0.0513300895690918,true,3.8926766238852356e-7,9.412399550256443e-10,true,
110,0,60,105,ok,0.05905008316040039,true,4.7092192905257914e-7,9.412399550256443e-10,true,
