sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,t,model_t,US_NFA_change_current_Y,cum_VA_current_Y,cum_VA_RoW_equity_asset_current_Y,cum_VA_US_equity_liability_current_Y,cum_CA_current_Y,cum_CA_RoW_equity_quantity_current_Y,cum_CA_US_equity_liability_quantity_current_Y,cum_CA_bond_position_current_Y,US_equity_price_index,RoW_equity_price_index,US_held_RoW_equity_current_Y,foreign_held_US_equity_claim_current_Y
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.27591589808066747,0.1648811372590373
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,2,1,-0.0063023204085152626,-0.004878875663950332,-0.002310283824297487,-0.0025685918396528445,-0.0014234447445649122,0.0029755402586566938,-0.004960071967324454,0.0005610869641028481,1.0156042349053085,0.991612993728272,0.2761251463458895,0.17213730083659776
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,3,2,-0.01209433177139289,-0.009594201056339355,-0.004326209652659917,-0.005267991403679439,-0.0025001307150535495,0.006472834944162123,-0.009885274022536757,0.0009123083633210848,1.0316738875879317,0.9843018331126736,0.2763424410683416,0.17900652017320123
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,4,3,-0.017337964246096793,-0.014125142129900521,-0.006063114687011603,-0.008062027442888918,-0.0032128221161962663,0.01045751587446674,-0.014761249084956388,0.0010909110942933834,1.0481246366928951,0.9779535138814605,0.2765530533130937,0.18545916807854737
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,5,4,-0.02200847824186479,-0.01845355651057128,-0.007537555839019184,-0.010916000671552096,-0.003554921731293533,0.01489119378312092,-0.019573007120412825,0.001126891605998373,1.0648871955807735,0.9724659391541993,0.2767468433612581,0.1914723305653851
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,6,5,-0.026092505226113887,-0.022564118554299743,-0.00876677555750469,-0.013797342996795053,-0.003528386671814131,0.019732108153360135,-0.024305615327571174,0.0010451205023969102,1.0819049743962503,0.9677479203618311,0.27691700036544487,0.1970296955759013
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,7,6,-0.029586335143732486,-0.026444441419938836,-0.00976830854557547,-0.016676132874363363,-0.0031418937237936476,0.02493608934920218,-0.028944644791791718,0.0008666617187958985,1.099132290806346,0.9637185865398513,0.27705918885647435,0.20212119499803216
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,8,7,-0.032494377746752484,-0.030085137422302753,-0.01055968137098394,-0.019525456051318814,-0.0024092403244497175,0.03045761480296916,-0.033476463300034384,0.0006096081726155096,1.1165329289103716,0.9603065230001977,0.27717094750981225,0.20674248827939148
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,9,8,-0.03482776135971893,-0.033479790892192,-0.011158176016177046,-0.02232161487601496,-0.0013479704675269087,0.036250828786701834,-0.03788842828813641,0.00028962903390767096,1.1340789189386906,0.9574488235426056,0.2772512482103688,0.21089435050191727
omega_star,0.25,omega_0p50_omega_star_0p25,omega_bar* = 0.25 (AHP),0.5,0.25,100,10,9,-0.03660306607851008,-0.0366248513414229,-0.011580644637447651,-0.025044206703975246,2.1785262912826024e-5,0.042270460313163775,-0.04216900991046613,-7.966513978481144e-5,1.1517494984781478,0.9550901420128766,0.2773001645595336,0.2145820165518916
