T_solved,n_buffer,branch_iters,warm_start_T,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
30,0,60,,ok,5.035444974899292,true,1.0187088860673365e-7,9.985140561608041e-10,true,
45,0,60,30,ok,1.2550711631774902,true,1.179029248801968e-7,9.985140561608041e-10,true,
60,0,60,45,ok,0.7239890098571777,true,1.3789353756105648e-7,9.985140561608041e-10,true,
70,0,60,60,ok,0.9350759983062744,true,1.581982999208967e-7,9.985140561608041e-10,true,
80,0,60,70,ok,1.1708300113677979,true,1.7889495376908808e-7,9.985140561608041e-10,true,
90,0,60,80,ok,1.254673957824707,true,1.9534402793547443e-7,9.985140561608041e-10,true,
100,0,60,90,ok,1.5086309909820557,true,2.7039984346573995e-7,9.985140561608041e-10,true,
105,0,60,100,ok,1.6478447914123535,true,3.4175802765855584e-7,9.985140561608041e-10,true,
110,0,60,105,ok,1.8683140277862549,true,3.557468629190092e-7,9.985140561608041e-10,true,
