date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2003-02-01,2002M01-2007M12,Taiwan,36.900000,0.0298447104,1236.400000,Stable panel of economies reported in every month
2003-02-01,2002M01-2007M12,Hong Kong,48.800000,0.0394694274,1236.400000,Stable panel of economies reported in every month
2003-02-01,2002M01-2007M12,United Kingdom,75.900000,0.0613879004,1236.400000,Stable panel of economies reported in every month
2003-02-01,2002M01-2007M12,Mainland China,121.800000,0.0985118085,1236.400000,Stable panel of economies reported in every month
2003-02-01,2002M01-2007M12,Japan,391.100000,0.3163215788,1236.400000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,All other foreign,519.700000,0.4075439147,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,South Korea,36.700000,0.0287797992,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,Singapore,18.500000,0.0145075282,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,Taiwan,37.300000,0.0292503137,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,Hong Kong,48.900000,0.0383469260,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,United Kingdom,81.600000,0.0639899624,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,Mainland China,133.200000,0.1044542033,1275.200000,Stable panel of economies reported in every month
2003-03-01,2002M01-2007M12,Japan,399.300000,0.3131273526,1275.200000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,All other foreign,521.100000,0.4077464789,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,South Korea,36.700000,0.0287167449,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,Singapore,19.400000,0.0151799687,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,Taiwan,35.800000,0.0280125196,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,Hong Kong,51.400000,0.0402190923,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,United Kingdom,77.800000,0.0608763693,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,Mainland China,134.000000,0.1048513302,1278.000000,Stable panel of economies reported in every month
2003-04-01,2002M01-2007M12,Japan,401.800000,0.3143974961,1278.000000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,All other foreign,530.100000,0.3991416309,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,South Korea,38.600000,0.0290640765,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,Singapore,18.500000,0.0139296740,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,Taiwan,36.000000,0.0271063926,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,Hong Kong,48.700000,0.0366689255,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,United Kingdom,79.000000,0.0594834726,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,Mainland China,135.800000,0.1022513365,1328.100000,Stable panel of economies reported in every month
2003-05-01,2002M01-2007M12,Japan,441.400000,0.3323544914,1328.100000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,All other foreign,541.900000,0.3955763194,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,South Korea,39.700000,0.0289802175,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,Singapore,20.200000,0.0147456019,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,Taiwan,37.800000,0.0275932550,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,Hong Kong,50.500000,0.0368640047,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,United Kingdom,89.500000,0.0653332360,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,Mainland China,137.200000,0.1001532959,1369.900000,Stable panel of economies reported in every month
2003-06-01,2002M01-2007M12,Japan,453.100000,0.3307540696,1369.900000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,All other foreign,555.300000,0.3913319239,1419.000000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,South Korea,59.600000,0.0420014094,1419.000000,Stable panel of economies reported in every month
2003-07-01,2002M01-2007M12,Singapore,24.000000,0.0169133192,1419.000000,Stable panel of economies reported in every month
