date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,classification
2002-07-01,2002M01-2007M12,Commodity exporters,53.000000,0.0456227942,1161.700000,Economic-function and custody-role grouping
2002-07-01,2002M01-2007M12,Core EU-27 (identifiable),102.900000,0.0885770853,1161.700000,Economic-function and custody-role grouping
2002-07-01,2002M01-2007M12,Financial/offshore centres,196.900000,0.1694929844,1161.700000,Economic-function and custody-role grouping
2002-07-01,2002M01-2007M12,Other East Asian exporters,73.900000,0.0636136696,1161.700000,Economic-function and custody-role grouping
2002-07-01,2002M01-2007M12,United Kingdom,64.700000,0.0556942412,1161.700000,Economic-function and custody-role grouping
2002-07-01,2002M01-2007M12,Mainland China,96.900000,0.0834122407,1161.700000,Economic-function and custody-role grouping
2002-07-01,2002M01-2007M12,Japan,361.800000,0.3114401308,1161.700000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,All other foreign,183.900000,0.1573274018,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Canada & other advanced,28.800000,0.0246385491,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Commodity exporters,52.400000,0.0448284712,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Core EU-27 (identifiable),102.900000,0.0880314826,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Financial/offshore centres,189.800000,0.1623748824,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Other East Asian exporters,74.500000,0.0637351356,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,United Kingdom,69.700000,0.0596287108,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Mainland China,102.300000,0.0875181795,1168.900000,Economic-function and custody-role grouping
2002-08-01,2002M01-2007M12,Japan,364.600000,0.3119171871,1168.900000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,All other foreign,179.800000,0.1512704022,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Canada & other advanced,30.300000,0.0254921757,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Commodity exporters,51.700000,0.0434965506,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Core EU-27 (identifiable),100.500000,0.0845532559,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Financial/offshore centres,198.200000,0.1667507993,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Other East Asian exporters,73.000000,0.0614167929,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,United Kingdom,76.600000,0.0644455662,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Mainland China,104.700000,0.0880868248,1188.600000,Economic-function and custody-role grouping
2002-09-01,2002M01-2007M12,Japan,373.800000,0.3144876325,1188.600000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,All other foreign,185.800000,0.1555853291,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,Canada & other advanced,25.900000,0.0216881594,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,Commodity exporters,52.200000,0.0437112711,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,Core EU-27 (identifiable),96.400000,0.0807234969,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,Financial/offshore centres,199.000000,0.1666387540,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,Other East Asian exporters,74.700000,0.0625523363,1194.200000,Economic-function and custody-role grouping
2002-10-01,2002M01-2007M12,United Kingdom,80.600000,0.0674928823,1194.200000,Economic-function and custody-role grouping
