date,AHP_period,foreign_group,value_usd_billions,share_of_foreign_total,foreign_total_usd_billions,TIC_classification_vintage
2003-05-01,2002M01-2007M12,Middle East (reported/bridge),64.100000,0.0482644379,1328.100000,pre-2012 TIC classification
2003-05-01,2002M01-2007M12,Four Asian dragons,141.800000,0.1067690686,1328.100000,pre-2012 TIC classification
2003-05-01,2002M01-2007M12,Canada,8.400000,0.0063248249,1328.100000,pre-2012 TIC classification
2003-05-01,2002M01-2007M12,United Kingdom,79.000000,0.0594834726,1328.100000,pre-2012 TIC classification
2003-05-01,2002M01-2007M12,Mainland China,135.800000,0.1022513365,1328.100000,pre-2012 TIC classification
2003-05-01,2002M01-2007M12,Japan,441.400000,0.3323544914,1328.100000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,All other foreign,300.600000,0.2194320753,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,EU-27 (identifiable),164.100000,0.1197897657,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,Middle East (reported/bridge),64.700000,0.0472297248,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,Four Asian dragons,148.200000,0.1081830791,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,Canada,12.500000,0.0091247536,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,United Kingdom,89.500000,0.0653332360,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,Mainland China,137.200000,0.1001532959,1369.900000,pre-2012 TIC classification
2003-06-01,2002M01-2007M12,Japan,453.100000,0.3307540696,1369.900000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,All other foreign,292.000000,0.2057787174,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,EU-27 (identifiable),175.300000,0.1235377026,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,Middle East (reported/bridge),67.800000,0.0477801268,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,Four Asian dragons,170.900000,0.1204369274,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,Canada,20.200000,0.0142353770,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,United Kingdom,78.400000,0.0552501762,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,Mainland China,151.300000,0.1066243834,1419.000000,pre-2012 TIC classification
2003-07-01,2002M01-2007M12,Japan,463.100000,0.3263565891,1419.000000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,All other foreign,293.800000,0.2033358710,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,EU-27 (identifiable),180.500000,0.1249221399,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,Middle East (reported/bridge),69.500000,0.0481002145,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,Four Asian dragons,174.600000,0.1208388124,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,Canada,22.600000,0.0156412208,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,United Kingdom,83.700000,0.0579278843,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,Mainland China,148.800000,0.1029829054,1444.900000,pre-2012 TIC classification
2003-08-01,2002M01-2007M12,Japan,471.400000,0.3262509516,1444.900000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,All other foreign,286.100000,0.1982262870,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,EU-27 (identifiable),176.500000,0.1222891984,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,Middle East (reported/bridge),71.600000,0.0496085360,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,Four Asian dragons,175.500000,0.1215963417,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,Canada,23.000000,0.0159357029,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,United Kingdom,72.300000,0.0500935356,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,Mainland China,147.100000,0.1019192129,1443.300000,pre-2012 TIC classification
2003-09-01,2002M01-2007M12,Japan,491.200000,0.3403311855,1443.300000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,All other foreign,277.200000,0.1909222398,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,EU-27 (identifiable),173.900000,0.1197740891,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,Middle East (reported/bridge),68.400000,0.0471106826,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,Four Asian dragons,177.400000,0.1221847235,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,Canada,18.800000,0.0129485502,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,United Kingdom,77.000000,0.0530339555,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,Mainland China,151.500000,0.1043460293,1451.900000,pre-2012 TIC classification
2003-10-01,2002M01-2007M12,Japan,507.700000,0.3496797300,1451.900000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,All other foreign,284.200000,0.1896816392,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,EU-27 (identifiable),176.600000,0.1178669158,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,Middle East (reported/bridge),70.200000,0.0468531002,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,Four Asian dragons,183.800000,0.1226723620,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,Canada,20.300000,0.0135486885,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,United Kingdom,77.900000,0.0519922579,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,Mainland China,154.200000,0.1029166389,1498.300000,pre-2012 TIC classification
2003-11-01,2002M01-2007M12,Japan,531.100000,0.3544683975,1498.300000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,All other foreign,285.400000,0.1873809993,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,EU-27 (identifiable),165.800000,0.1088569365,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,Middle East (reported/bridge),70.500000,0.0462871775,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,Four Asian dragons,185.200000,0.1215941173,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,Canada,24.200000,0.0158886482,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,United Kingdom,82.200000,0.0539688793,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,Mainland China,159.000000,0.1043923577,1523.100000,pre-2012 TIC classification
2003-12-01,2002M01-2007M12,Japan,550.800000,0.3616308844,1523.100000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,All other foreign,289.800000,0.1800894855,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,EU-27 (identifiable),166.000000,0.1031568481,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,Middle East (reported/bridge),69.900000,0.0434377330,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,Four Asian dragons,192.200000,0.1194382302,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,Canada,28.600000,0.0177728064,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,United Kingdom,94.500000,0.0587248322,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,Mainland China,155.000000,0.0963211534,1609.200000,pre-2012 TIC classification
2004-02-01,2002M01-2007M12,Japan,613.200000,0.3810589113,1609.200000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,All other foreign,301.100000,0.1802994012,1670.000000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,EU-27 (identifiable),168.600000,0.1009580838,1670.000000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,Middle East (reported/bridge),74.800000,0.0447904192,1670.000000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,Four Asian dragons,192.100000,0.1150299401,1670.000000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,Canada,31.100000,0.0186227545,1670.000000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,United Kingdom,98.300000,0.0588622754,1670.000000,pre-2012 TIC classification
2004-03-01,2002M01-2007M12,Mainland China,158.700000,0.0950299401,1670.000000,pre-2012 TIC classification
