survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Other East Asian exporters,76091.0,76.091,0.03659234480317627,2079424.0,2079.424,Economic-function and location-role grouping,Final historical survey
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,420675.0,420.675,0.2023036186944077,2079424.0,2079.424,Economic-function and location-role grouping,Final historical survey
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,13064.0,13.064,0.006282509002492998,2079424.0,2079.424,Economic-function and location-role grouping,Final historical survey
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,255494.0,255.494,0.12286767874180542,2079424.0,2079.424,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,179853.0,179.853,0.07024360866077335,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada & other advanced,279377.0,279.377,0.10911382438336241,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Commodity exporters,1.0,0.001,3.905612286743805e-07,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Core EU-27 (identifiable),527001.0,527.001,0.2058261580726272,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Financial/offshore centres,675002.0,675.002,0.2636296104776642,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Other East Asian exporters,101193.0,101.193,0.039522062413246586,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,455919.0,455.919,0.1780642848159949,2560418.0,2560.418,Economic-function and location-role grouping,Final historical survey
