foreign_group,member_or_rule,treatment,applies_to
All other foreign,Residual,Official survey equity total less the eight named economies,Both portfolio assets and portfolio liabilities
South Korea,South Korea,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
Singapore,Singapore,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
Taiwan,Taiwan,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
Hong Kong,Hong Kong,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
Canada,Canada,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
United Kingdom,United Kingdom,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
Mainland China,Mainland China,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
Japan,Japan,Separately reported economy required for every retained survey date,Both portfolio assets and portfolio liabilities
