dataset,series_id,title,economic_role,frequency,units,seasonal_adjustment,valuation,source,financial_accounts_table,fred_page,fred_csv,federal_reserve_table,downloaded_on
U.S. corporate-equity capitalization by holder residence,BOGZ1LM883164105Q,"All Domestic Sectors; Corporate Equities; Liability, Market Value Levels",Total market value of U.S.-issued corporate equity outstanding,"Quarterly, end of period",Millions of U.S. dollars,Not seasonally adjusted,Market value,"Federal Reserve Financial Accounts, via FRED and OpenEcon",L.224 Corporate Equities (formerly L.223),https://fred.stlouisfed.org/series/BOGZ1LM883164105Q,https://fred.stlouisfed.org/graph/fredgraph.csv?cosd=1990-01-01&id=BOGZ1LM883164105Q,https://www.federalreserve.gov/releases/z1/20250911/html/l224.htm,2026-09-04
U.S. corporate-equity capitalization by holder residence,BOGZ1LM263064105Q,"Rest of the World; U.S. Corporate Equities; Asset, Market Value Levels",Foreign-resident holdings of U.S.-issued corporate equity,"Quarterly, end of period",Millions of U.S. dollars,Not seasonally adjusted,Market value,"Federal Reserve Financial Accounts, via FRED and OpenEcon",L.224 Corporate Equities (formerly L.223),https://fred.stlouisfed.org/series/BOGZ1LM263064105Q,https://fred.stlouisfed.org/graph/fredgraph.csv?cosd=1990-01-01&id=BOGZ1LM263064105Q,https://www.federalreserve.gov/releases/z1/20250911/html/l224.htm,2026-09-04
