survey_date,survey_year,AHP_period,position_side,foreign_group,value_usd_millions,value_usd_billions,share_of_side_total,side_total_usd_millions,side_total_usd_billions,classification,survey_status
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,420675.0,420.675,0.2023036186944077,2079424.0,2079.424,Stable panel of separately reported economies,Final historical survey
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,13064.0,13.064,0.006282509002492998,2079424.0,2079.424,Stable panel of separately reported economies,Final historical survey
2003-12-31,2003,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,255494.0,255.494,0.12286767874180542,2079424.0,2079.424,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,All other foreign,1421473.0,1421.473,0.5551722414074577,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,South Korea,66639.0,66.639,0.026026609717632043,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Singapore,23968.0,23.968,0.009360971528867551,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Taiwan,34554.0,34.554,0.013495452695614545,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Hong Kong,35395.0,35.395,0.013823914688929698,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Canada,180398.0,180.398,0.0704564645304009,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,United Kingdom,455919.0,455.919,0.1780642848159949,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Mainland China,11645.0,11.645,0.004548085507913161,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
2004-12-31,2004,2002Q1-2007Q4,U.S. portfolio equity assets abroad,Japan,330427.0,330.427,0.12905197510718952,2560418.0,2560.418,Stable panel of separately reported economies,Final historical survey
