variable,t15_u,t16_b,t16_all_u_counterfactual,change_t15_to_t16_percent,burst_vs_t16_all_u_percent
q_US_over_d_US,31.26950534122267,36.36830873322689,31.411825135617043,16.30599312769574,15.77903727723806
aggregate_price_dividend,31.85673974280054,37.9753038132056,32.02752349607379,19.20649796496461,18.570840539265987
q_US,1.324484378921535,1.0624933269970707,1.3439880484965834,-19.780607162599473,-20.944733981407005
d_US,0.042357062079119746,0.02921481267635504,0.04278605406384587,-31.027292162558375,-31.71884317081369
phi_US,0.9061011047073206,0.7790665642762586,0.9019957678679074,-14.01990790774892,-13.62857875511131
Y_US,3.507377326824889,2.0166907592360257,3.6250594010592048,-42.50145988536488,-44.368063082034745
Y_W_over_Y_US,2.728985232137923,4.9706903855130005,2.750214111307476,82.14427571742102,80.73830561322698
