t,regime,is_switch,Y_US,NFA_US,rebased_NFA_change_current_Y,q_US,q_W,n_W,n_US_star,foreign_equity_assets,foreign_held_US_equity_liabilities,US_bond_position,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,VA_current_Y,CA_current_Y,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
11,u,false,3.124504892284643,0.023946974557429224,-0.037841183298374034,1.2475601333940038,2.2160794874857856,0.3909983249153286,0.5455148038944801,0.8664833674861621,0.6805625215150015,-0.16197387141373135,-0.0016896184420142615,-0.010102086585897374,-0.011791705027911634,0.022549643082105237,-0.01609529053350255,-0.0012770211614425153,0.005177331387160172,3.469446951953614e-18,-0.0037739435316708754,0.0016570085711642138,-0.01184336383814287,-0.027676090108428975,-0.03951945394657185,0.04847260065714088,-0.04630786548020566,-0.00048646452873755806,0.0016782706481976671,1.1103989500930975e-18
12,u,false,3.2075918228207736,0.018477004889932647,-0.03856629480675255,1.2666350542813243,2.2125901787443794,0.40201361008756425,0.5586515742485348,0.889491365401317,0.7076076670726402,-0.1634066934387441,-0.0013643138730022744,-0.01040565172714933,-0.011769965600151606,0.0243723117881572,-0.01663949383048936,-0.0014328220250127421,0.006299995932655098,-6.938893903907228e-17,-0.003669408780884419,0.0019640890364643867,-0.011961921667653095,-0.03020326027176666,-0.04216518193941976,0.05481532545139489,-0.05029587771326146,-0.0009205606536244042,0.0035988870845090203,-2.0551084966025605e-17
13,u,false,3.2989383355501753,0.014166692472408982,-0.03880498239305569,1.2858134247987374,2.209960675607489,0.4138984529514684,0.5720492665605605,0.9146993047175216,0.7355486265898402,-0.16498398565527242,-0.0010570960487977811,-0.010714026881074524,-0.011771122929872304,0.0262650353650024,-0.01722693263612548,-0.001577292216528331,0.007460810512348589,5.0306980803327406e-17,-0.0035681548827462984,0.002261579257771826,-0.011951135233514227,-0.032614661629732165,-0.044565796863246396,0.06125917022163824,-0.054125164082825514,-0.0013731917910338935,0.0057608143477788165,-4.732586576580405e-18
14,u,false,3.3987757461347328,0.011038646165846155,-0.038585449742112275,1.3050952447947193,2.208113754599054,0.4266859200536352,0.5857314039366698,0.9421710489641841,0.7644352700046827,-0.1666971327936553,-0.0007644377481149404,-0.011030150986654188,-0.01179458873476913,0.028236181994777478,-0.017856492428188264,-0.0017131471383828867,0.008666542428206327,-2.42861286636753e-17,-0.0034702462344514957,0.0025499012219509856,-0.011824991975126976,-0.03490195217289059,-0.04672694414801758,0.06776746224132997,-0.057789064595490006,-0.0018369032399350046,0.008141494405904948,-1.1739121062294682e-17
15,u,false,3.507377326824889,0.0091230748815746,-0.03793685417127697,1.324484378921535,2.2069813113149737,0.4404126427513552,0.5997198056106022,0.9719824718190789,0.7943195142611023,-0.16853988267640213,-0.00048319760457633836,-0.011356824753216187,-0.011840022357792525,0.030294620459471136,-0.01852741950320338,-0.0018427498827468247,0.00992445107352093,3.9898639947466563e-17,-0.0033757481030736148,0.0028295932113198675,-0.011596611866307605,-0.0370592386217135,-0.04865585048802111,0.0743065268481781,-0.0612821121349797,-0.0023054183537059548,0.01071899635949243,0.0
16,b,true,2.0166907592360257,-0.3898924430469436,-0.26383538184234173,1.0624933269970707,2.024356497326473,0.2978760796361858,0.7870220041642016,0.6030073772096506,0.836205627624325,-0.15669419263226914,-0.08043027696065026,0.15712122273185697,0.0766909457712067,-0.28854481764877815,-0.19900733609507976,0.011845690044132995,-0.4757064636997249,0.0,0.03802811383945608,-0.23588468461071085,-0.06005083820307845,0.013457933159245155,-0.04659290504383331,-0.013846342092107203,-0.20526043710046135,0.0018643006937380151,-0.21724247849883058,0.0
17,b,false,2.0866189680975644,-0.40341185888081615,-0.2614726503425219,1.0528146072461348,2.0243564973264725,0.30820485248065244,0.8217978995827357,0.6239164956267558,0.8652008328848965,-0.16212752162267546,-1.3228355283886807e-16,0.007617365416125148,0.007617365416125016,0.020909118417105292,-0.03661257067669663,-0.0054333289904063276,-0.02113678124999767,9.020562075079397e-17,0.003650578055978282,-0.010129679435085713,-0.058038373244033346,0.016657499710395506,-0.041380873533637855,-0.003361740613171757,-0.21592796974558975,-0.0008020683385397593,-0.2200917786973013,4.323051890639969e-17
18,b,false,2.1589719186011282,-0.4174000568727395,-0.25918910032949616,1.0432240551375032,2.024356497326472,0.3188917727212604,0.8581104266928787,0.6455506320522402,0.8952014390903181,-0.16774924983466152,-1.3687044941008805e-16,0.007881495578712299,0.007881495578712162,0.02163413642548452,-0.03788210178413389,-0.00562172821198606,-0.02186969357063543,-9.020562075079397e-17,0.003650578088027589,-0.010129679493379215,-0.05609335139800878,0.019749840221697162,-0.036343511176311634,0.00677149367727249,-0.22623800476041225,-0.0033790801807281126,-0.22284559126386794,0.0
19,b,false,2.2338336881849727,-0.4318732918735694,-0.2569820782132175,1.0337208676009653,2.024356497326472,0.32994925904459205,0.8960274840901445,0.6679349263349751,0.9262423082479743,-0.1735659099605702,0.0,0.008154784311920979,0.008154784311920979,0.02238429428273502,-0.03919565346957721,-0.005816660125908674,-0.022628019312750863,1.734723475976807e-17,0.003650578086924133,-0.01012967949782175,-0.05421351246024286,0.022738548091597328,-0.03147496436864555,0.01656513605944299,-0.23620252280122503,-0.00586972943247893,-0.225507116174261,7.765678730480151e-18
20,b,false,2.311291269568826,-0.4468483823874523,-0.25484901933577997,1.0243042488352063,2.0243564973264725,0.3413901607416178,0.935619970614966,0.6910953900206229,0.9583595111959806,-0.1795842612120946,1.465269057397265e-16,0.008437549221319028,0.008437549221319174,0.02316046368564759,-0.04055475216932532,-0.00601835125152439,-0.023412639735202117,3.8163916471489756e-17,0.003650578069674969,-0.010129679475477693,-0.052396671974241575,0.02562709631131562,-0.026769575662925975,0.026030567179801057,-0.24583310304416017,-0.00827691033588141,-0.22807944620024054,2.401737589811149e-17
21,b,false,2.391434671810108,-0.46234272433181944,-0.25278744527747704,1.0149734106711306,2.0243564981375615,0.3532277717760716,0.9769619146634675,0.7150589351175421,0.9915903666217776,-0.18581129282758402,2.7689779512844936e-10,0.008730118528885568,0.008730118805783362,0.02396354482002145,-0.04196097395468256,-0.006227031615489431,-0.024224460750150542,1.734723475976807e-17,0.003650578001855021,-0.010129676982484632,-0.05064071857750694,0.028418841333511177,-0.022221877243995783,0.03517878555341972,-0.2551409352653698,-0.010603418321531144,-0.23056556803348122,3.046639193195206e-17
22,b,false,2.474357025263983,-0.47837433416897746,-0.2507949598215012,1.0057275708849414,2.024356498137562,0.3654758496871764,1.0201306254832032,0.7398534112265823,1.025973495952558,-0.19225424944300182,1.568646420651339e-16,0.009032833340187068,0.009032833340187224,0.02479447610904008,-0.04341596267096729,-0.0064429566154178,-0.025064443177345012,-2.220446049250313e-16,0.0036505780079265377,-0.010129679315243906,-0.04894361200712655,0.031117027596129356,-0.017826584410997205,0.04402042327826151,-0.2641368382935374,-0.012851960531379346,-0.23296837554665523,-6.029292353963718e-17
23,b,false,2.560154689149373,-0.49496183573510244,-0.24886924790449352,0.9965659555830959,2.024356498137561,0.3781486264219098,1.065206818575674,0.7655076291589861,1.061548851047496,-0.1989206138465925,-3.2460776261371684e-16,0.009346044348308083,0.009346044348307759,0.025654217932404026,-0.04492139944324631,-0.006666364403590669,-0.025933545914432952,2.0816681711721685e-16,0.0036505779857439156,-0.010129679282406772,-0.047303380035940736,0.0337247903621055,-0.013578589673835252,0.052565753974334425,-0.27283126440221267,-0.015025148049005344,-0.2352906584768836,2.3037904089618938e-17
24,b,false,2.6489273640717284,-0.5121245044291309,-0.24700807176633865,0.9874877975191525,2.0243564981375615,0.3912608282964436,1.1122747792669108,0.7920514002285903,1.0983577720143831,-0.20581813264333818,1.6793172471359242e-16,0.00967011586982026,0.009670115869820427,0.026543771069604063,-0.04647903683670743,-0.006897518796745689,-0.026832784563849053,1.3183898417423734e-16,0.003650577966379669,-0.010129679253493668,-0.045718116643816385,0.03624515996858585,-0.00947295667523055,0.06082470768394606,-0.2812343168962832,-0.017125506212386232,-0.2375351154247234,7.203654767797617e-17
25,b,false,2.7407782077247025,-0.5298822840201636,-0.2452092686402618,0.9784923364353948,2.024356498137562,0.40482769225756443,1.161422517173864,0.8195155694476337,1.1364430324181316,-0.2129548210496657,1.7375471208344866e-16,0.010005424491340687,0.010005424491340861,0.027464169219043263,-0.048090684895089005,-0.007136688406327529,-0.02776320408237327,-2.3245294578089215e-16,0.0036505779501388447,-0.010129679229105263,-0.044185979686464455,0.03868106519837512,-0.005504914488089352,0.06880688166711163,-0.2893557604925807,-0.019155475728728232,-0.23970435455419734,-1.5190343861499803e-17
26,b,false,2.835813954766485,-0.5482558098223222,-0.24347074823954196,0.9695788190002528,2.024356498137562,0.4188649835889965,1.2127419307673717,0.8479320513706683,1.1758488889855145,-0.220338972207476,0.0,0.010352359856395764,0.010352359856395764,0.028416481923034552,-0.04975821642377879,-0.007384151157810298,-0.028725885658554537,9.71445146547012e-17,0.0036505779368901613,-0.010129679209128502,-0.042705188754739894,0.04103533668281954,-0.0016698520719203728,0.07652155155418698,-0.29720503266613424,-0.021117415510651626,-0.24180089662259888,1.9575032818339062e-17
27,b,false,2.9341450408515697,-0.5672664326735142,-0.24179049032849412,0.9607464987456726,2.0243564981375624,0.4333890142315301,1.2663289792071057,0.8773338671810305,1.2166211330334085,-0.22797916682113611,1.860134195958969e-16,0.010711325118695282,0.010711325118695467,0.029401815810361973,-0.05148356916658925,-0.007640194613660112,-0.029721947969887388,-6.938893903907228e-18,0.003650577926300039,-0.010129679193112164,-0.041274023105715416,0.043310710190895635,0.002036687085180208,0.0839776821246013,-0.3047912546165375,-0.02301360541732815,-0.24382717790926436,1.655414325164157e-17
28,b,false,3.035885730962535,-0.5869362437458341,-0.24016654237487015,0.9519946360047147,2.024356498137561,0.44841666173830075,1.3222838617696293,0.9077551830630818,1.2588071436802868,-0.23588428312862902,-5.773901546633332e-16,0.011082737410917996,0.011082737410917419,0.0304213158820519,-0.05326874805779618,-0.00790511630749291,-0.03075254848323719,-1.3877787807814457e-16,0.003650577917965183,-0.010129679180476605,-0.039890819663107764,0.045509829808215205,0.005619010145107428,0.09118393772429392,-0.3121232418670146,-0.024846248903757567,-0.24578555304647828,-2.9713114637616504e-17
29,b,false,3.1411542521912286,-0.6072881002163903,-0.23859701728094476,0.9433224978495417,2.024356498137562,0.4639653888872772,1.3807112052049855,0.9392313499048806,1.302455942902818,-0.24406350721845294,3.9827400198992957e-16,0.011467028329621879,0.011467028329622278,0.03147616684179835,-0.0551158275521532,-0.008179224089823911,-0.031818884800178755,2.1510571102112408e-16,0.003650577911486845,-0.010129679170636816,-0.03855397108472072,0.047635251009572714,0.00908127992485198,0.09814869233400188,-0.3192095145084104,-0.026617475581264455,-0.247678297755673,3.9762482273260355e-17
30,b,false,3.2500729311238565,-0.6283456518283161,-0.23708009119064338,0.9347293580298991,2.024356498137562,0.48005326397377934,1.441720259372042,0.9717989443774666,1.3476182525015283,-0.25252634370425436,0.0,0.01186464443687369,0.01186464443687369,0.03256759447258605,-0.05702695403558405,-0.008462836485801428,-0.032922196048799424,-6.245004513516506e-17,0.0036505779064997675,-0.010129679163050387,-0.03726192389465891,0.049689443628560585,0.012427519733901658,0.10488003930012567,-0.3260583070999371,-0.028329343692188577,-0.249507611492,1.921496731261664e-17
