t,cum_VA_row_equity_Y,cum_VA_us_liability_Y,cum_VA_total_Y,cum_CA_row_equity_Y,cum_CA_us_liability_Y,cum_CA_bond_Y,cum_CA_total_Y,Y_US
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800707270250573
2.0,-0.02301700967005223,0.00030285184893522483,-0.022714157821117006,0.025226170867721495,-0.00047457412335558276,-0.001815256320900131,0.02293634042346578,1.80853787547668
3.0,-0.045946872319165895,0.0006175675066465069,-0.045329304812519386,0.05039835992402658,-0.000957269811565296,-0.0036628239891050235,0.04577826612335626,1.816713729630617
4.0,-0.06878047562068923,0.0009443853610975987,-0.06783609025959163,0.07550733313926133,-0.001448225948563474,-0.005542903231559946,0.0685162039591379,1.8252500337353048
5.0,-0.09150830553697377,0.0012835292251998853,-0.09022477631177388,0.10054335007935163,-0.0019475658506748455,-0.007455629781428068,0.09114015444724871,1.834162656923707
6.0,-0.11412044171504142,0.0016352062402709164,-0.11248523547477049,0.12549614819355573,-0.0024553954016007422,-0.009401066670237964,0.11363968612171702,1.8434681653648795
7.0,-0.13660655371866529,0.001999604740656341,-0.13460694897800893,0.15035492754553656,-0.0029718012288382153,-0.011379194855726025,0.1360039314609723,1.8531838527495805
8.0,-0.15895589873558805,0.0023768919821667545,-0.15657900675342126,0.17510833587474842,-0.0034968487854960045,-0.013389903248648308,0.15822158384060406,1.8633277717575634
9.0,-0.1811573206014667,0.0027672117649981884,-0.1783901088364685,0.1997444539756741,-0.004030580401742668,-0.015432977804616332,0.18028089576931508,1.8739187667143236
10.0,-0.2031992494668412,0.0031706820975750975,-0.2000285673692661,0.22425078182738978,-0.004573013491121914,-0.017508088963481685,0.20216967937278615,1.8849765081685865
11.0,-0.22506970463311568,0.0035873925581984536,-0.22148231207491723,0.24861422497416152,-0.005124138493808744,-0.01961477931460665,0.22387530716574608,1.8965215274752865
12.0,-0.24675629762361012,0.004017401805358504,-0.24273889581825162,0.2728210817700004,-0.00568391716727185,-0.02175244893322303,0.24538471566950545,1.908575253924612
13.0,-0.26824623717581214,0.004460734983100252,-0.2637855021927119,0.2968570313537224,-0.006252280850710547,-0.023920339943432,0.26668441055957975,1.921160052794584
14.0,-0.2895263369527824,0.004917381048353307,-0.2846089559044291,0.32070712241864385,-0.006829128875678168,-0.026117520110846334,0.2877604734321193,1.9342992644829373
15.0,-0.3105830230201755,0.0053872903182847365,-0.30519573270189077,0.3443557629969214,-0.007414327374136532,-0.0283428637839533,0.30859857183883155,1.9480172461777345
