switch_index,G_N_US,G_N_W,nu_b_literal,G_b,G_W,level_gap,log_gap
0,1.0060857162794599,1.0038511293794845,0.6335189879299027,1.0038511293262993,1.0038511293794845,-5.3185233994668124e-11,-5.2981297300747077e-11
1,1.0063128944245665,1.003798675771246,0.6335189879299027,1.003994725393617,1.003798675771246,0.00019604962237096402,0.00019528864163047797
2,1.0065329665936822,1.0037481473153957,0.6335189879299027,1.004133818546528,1.0037481473153957,0.00038567123113231183,0.00038415727859762716
3,1.006746713640871,1.0036993369940157,0.6335189879299027,1.0042689033365377,1.0036993369940157,0.0005695663425220321,0.0005673061419574806
4,1.0069548338449337,1.0036520614622748,0.6335189879299027,1.0044004219506355,1.0036520614622748,0.0007483604883606887,0.0007453595253998952
5,1.0071579514723206,1.0036061582789368,0.6335189879299027,1.0045287696520124,1.0036061582789368,0.000922611373075588,0.0009188739513054157
6,1.0073566244817231,1.0035614834746558,0.6335189879299027,1.0046542996734837,1.0035614834746558,0.0010928161988279506,0.0010883455013828767
7,1.0075513514097834,1.0035179094228135,0.6335189879299027,1.0047773275893903,1.0035179094228135,0.00125941816657682,0.0012542163208487138
8,1.0077425776415014,1.0034753229461515,0.6335189879299027,1.004898135295298,1.0034753229461515,0.0014228123491464295,0.001416880492359085
9,1.0079307009530727,1.0034336236673218,0.6335189879299027,1.0050169745251372,1.0034336236673218,0.0015833508578153577,0.0015766892023644126
10,1.0081160765772008,1.003392722533399,0.6335189879299027,1.0051340700642382,1.003392722533399,0.0017413475308392101,0.0017339554279799502
11,1.0082990219785588,1.0033525405465493,0.6335189879299027,1.0052496227771683,1.0033525405465493,0.0018970822306190183,0.0018889582311028635
12,1.008479819605397,1.0033130075565333,0.6335189879299027,1.0053638113555252,1.0033130075565333,0.002050803798991918,0.0020419457149695236
13,1.008658722506098,1.0032740613427618,0.6335189879299027,1.0054767958737876,1.0032740613427618,0.0022027345310258184,0.0021931394886688816
14,1.0088359561998745,1.0032356466553116,0.6335189879299027,1.0055887189779367,1.0032356466553116,0.0023530723226250494,0.0023427368157226984
15,1.009011721892891,1.0031977144476243,0.6335189879299027,1.0056997079228482,1.0031977144476243,0.0025019934752239514,0.0024909134145212493
16,1.0091861991127098,1.003160221166715,0.6335189879299027,1.005809876241375,1.003160221166715,0.0026496550746599734,0.002637825833708808
17,1.0093595479842739,1.003123128141796,0.6335189879299027,1.0059193251862708,1.003123128141796,0.0027961970444747575,0.0027836135024137923
18,1.0095319113357424,1.003086401027406,0.6335189879299027,1.0060281450639934,1.003086401027406,0.0029417440365873126,0.0029284006176365316
19,1.0097034165431233,1.0030500093179862,0.6335189879299027,1.0061364164029856,1.0030500093179862,0.0030864070849994096,0.003072297794975738
20,1.0098741771674302,1.0030139259199278,0.6335189879299027,1.0062442109904528,1.0030139259199278,0.0032302850705250297,0.003215403530581724
21,1.010044294454264,1.0029781267643094,0.6335189879299027,1.006351592821841,1.0029781267643094,0.0033734660575315267,0.0033578055351097436
22,1.0102138586502554,1.002942590468352,0.6335189879299027,1.0064586189343068,1.002942590468352,0.003516028465954779,0.0034995819032285266
23,1.0103829501842572,1.0029072980339728,0.6335189879299027,1.0065653401544752,1.0029072980339728,0.0036580421205023583,0.003640802160457274
24,1.0105516407223525,1.0028722325803074,0.6335189879299027,1.0066718017662502,1.0028722325803074,0.0037995691859427083,0.0037815281962538297
25,1.0107199941099951,1.002837379106349,0.6335189879299027,1.0067780441071248,1.002837379106349,0.003940665000775834,0.003921815095646871
26,1.0108880672131766,1.0028027242803,0.6335189879299027,1.0068841031005367,1.0028027242803,0.004081378820236736,0.004061711880354038
27,1.0110559106692114,1.0027682562526392,0.6335189879299027,1.0069900107309813,1.0027682562526392,0.004221754478342055,0.004201262169092867
28,1.0112235695565217,1.002733964490272,0.6335189879299027,1.0070957954678346,1.002733964490272,0.004361830977562597,0.004340504765656763
29,1.0113910839916314,1.0026998396294649,0.6335189879299027,1.0072014826430846,1.0026998396294649,0.004501643013619772,0.004479474182252951
30,1.011558489660382,1.0026658733455993,0.6335189879299027,1.0073070947874234,1.0026658733455993,0.004641221441824106,0.004618201104510554
31,1.0117258182890496,1.002632058238115,0.6335189879299027,1.0074126519282975,1.002632058238115,0.004780593690182577,0.004756712803387322
32,1.0118930980593905,1.0025983877294031,0.6335189879299027,1.0075181718524788,1.0025983877294031,0.004919784123075699,0.004895033497777545
33,1.0120603539693143,1.0025648559769185,0.6335189879299027,1.0076236703342387,1.0025648559769185,0.0050588143573202515,0.005033184669654677
34,1.0122276081373311,1.0025314577985183,0.6335189879299027,1.007729161327979,1.0025314577985183,0.0051977035294608065,0.005171185330618076
35,1.0123948800430276,1.002498188612196,0.6335189879299027,1.0078346571204422,1.002498188612196,0.005336468508246206,0.005309052233871778
36,1.0125621866857717,1.002465044393339,0.6335189879299027,1.0079401684313023,1.002465044393339,0.0054751240379633526,0.005446800017422355
37,1.0127295426262055,1.0024320216560065,0.6335189879299027,1.0080457044398023,1.0024320216560065,0.005613682783795815,0.005584441249899384
38,1.012896959843781,1.002399117470657,0.6335189879299027,1.0081512726953903,1.002399117470657,0.005752155224733269,0.005721986324935486
39,1.0130644472877481,1.0023663295412668,0.6335189879299027,1.008256878835103,1.0023663295412668,0.005890549293836145,0.005859443104679847
40,1.0132320098989926,1.00233365638351,0.6335189879299027,1.008362525967439,1.00233365638351,0.0060288695839290085,0.005996816131900997
