label,note,status,horizon,hard_valid,classification,score,a_W,xi_W,beta,kappa,omega_bar,omega_bar_star,chi,eta,vartheta_US,xi_u,nu_u,us_u_level,nu_b_seed,nu_b_calibrated,nu_b_eff_min,nu_b_eff_max,nu_b_eff_std,max_common_growth_level_gap,max_common_growth_log_gap,exact_common,extended_bgp_valid,max_extended_bgp_residual,exponent_ordering,model_residuals,psi_interior,equity_interior,theta_interior,accounting_exact,NFA_Y_initial,NFA_Y_final,full_ratio_change,whole_path_nfa_move,late_nfa_move,late_VA_asset,late_VA_liability,late_VA_net,late_CA,VA_driver_share,liability_dominance_share,foreign_exposure,CA_flow_RMS,CA_roughness,Y_growth,q_US_growth,q_W_growth,max_u_residual,max_bgp_residual,failure_reason
cg_xi050_reference,Moderate mismatch; original financial block.,ok,15,true,common_growth_near_miss,13.93573303424664,0.05,0.5,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,1.9,1.4,1.0,0.1,0.3701268919395457,0.3229313333370302,0.37034532611515103,0.015370566660483658,7.676936863987294e-10,7.598487655052777e-10,true,true,9.187866856219529e-10,true,true,true,true,true,true,-0.05815595523366889,0.03925955408852576,0.09741550932219464,0.07317808134368325,0.045645149005681916,-0.012468225791282235,0.00286855660586971,-0.009599669185412524,0.055244818191094454,0.14804140758602813,0.18703770657934116,0.1906877239934403,0.007810386521149928,0.00017534930812453488,1.714577841077282,0.9580094530844153,0.9212766423332529,1.2534503782302645e-9,9.187866856219529e-10,
cg_xi050_exposure,Larger RoW growth primitive with original financial block.,ok,15,true,common_growth_near_miss,16.8699609169016,0.06,0.5,0.45,1.0,0.5,0.25,0.0002,0.01,0.8,1.9,1.4,1.0,0.1,0.6536825935985852,0.5958340387603982,0.6542042395859762,0.018201354373328812,8.882654611852558e-10,8.720186482624737e-10,true,true,9.489629221315354e-10,true,true,true,true,true,true,-0.060242017344177126,0.023927967562539922,0.08416998490671705,0.057425562442118945,0.03847426863303531,-0.02952396327688584,-0.0007071538456918722,-0.030231117122577714,0.068705385755613,0.30556080155569937,0.02339158830368672,0.20118125071203227,0.009875349095666754,0.00032792575585602606,1.7983982898098212,1.0011030990982699,0.8094746846680014,1.1738039869753897e-9,9.489629221315354e-10,
cg_xi050_low_beta,"Near-flat NFA level path, but q_W and asset VA move the wrong way.",ok,15,true,common_growth_near_miss,8.240974739126731,0.06,0.5,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.85,1.0,0.1,1.5413048172628678,0.883446488269608,1.5423507002310977,0.22901139595255698,8.675729024076873e-10,8.594715269344411e-10,true,true,9.624594524137997e-10,true,true,true,true,true,true,-0.04464356724115412,-0.038629901777390944,0.006013665463763175,-0.00020546552773378516,8.756791474965762e-5,-0.017193327892046292,-0.005387494622883256,-0.02258082251492955,0.02266839042967924,0.4990323819017926,0.23858717366567392,0.18939554100652867,0.0029343481138494184,2.923805664169207e-6,1.161853539010672,1.056211698277433,0.8777132248133256,1.1911065260725257e-9,9.624594524137997e-10,
cg_xi100_stable_qw,Stable q_W and clean liability-side price revaluation.,ok,15,true,common_growth_liability_revaluation_near_miss,4.928078250145387,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.85,1.0,0.1,0.6335190288619382,0.388754054559289,0.6347655702214133,0.0841246265489226,1.7015167053102687e-10,1.695477998449324e-10,true,true,9.772170433963723e-10,true,true,true,true,true,true,-0.04473569619199953,-0.03067280751023138,0.014062888681768151,0.009143025716282581,0.0036313831452525927,0.0011007320908835393,-0.0021586573106235347,-0.0010579252197399954,0.004689308364992622,0.18407555637730602,0.6622888660144187,0.18342400858837712,0.0006072660351863076,8.780451948220973e-5,1.1235654905799977,1.020232772419619,1.0113358352849298,1.1917684772699195e-9,9.772170433963723e-10,
cg_xi100_stable_qw_ceiling,Raises the unbalanced-growth ceiling while preserving exact pathwise common growth.,ok,15,true,common_growth_liability_revaluation_near_miss,4.802145697770302,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.895,1.0,0.1,0.6335190288619382,0.38495153555011735,0.6348283329054226,0.08560578163818285,1.6483059361860342e-10,1.6427302140104016e-10,true,true,9.772170433963723e-10,true,true,true,true,true,true,-0.04478327719524188,-0.03088485172457935,0.013898425470662532,0.009006600455987192,0.0033927604660057013,0.001046391102245342,-0.0022962195988395565,-0.001249828496594214,0.004642588962599928,0.21210793451914434,0.6869539423464064,0.1834531686930382,0.0006022078823987509,9.567225005808074e-5,1.1226284015064871,1.0218077026425514,1.0111980656908373,1.1310666961491838e-9,9.772170433963723e-10,
cg_us_u_level_110,Ten-percent U.S. unbalanced-regime level shift generates liability-led NFA deterioration.,ok,15,true,common_growth_liability_revaluation_partial_pattern,3.063832227226953,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.895,1.1,0.1,0.6335190288619382,0.30954954590032646,0.6335190288619382,0.0986941533655037,2.204991744747531e-10,2.198273199756351e-10,true,true,9.80504288872197e-10,true,true,true,true,true,true,-0.023729482965388828,-0.02700300851351896,-0.003273525548130131,-0.0041957468275393775,-0.0018527333001286856,-0.0001903868611171135,-0.002649502799606679,-0.002839889660723792,0.0009871563605951188,0.7420578809096955,0.932959768208533,0.17870386763337792,0.00012732310839689578,2.59720266662858e-5,1.0404354232483846,1.0271185527387163,0.9975349485514639,1.198391978193391e-9,9.80504288872197e-10,
cg_us_u_level_111,Eleven-percent level shift produces the strongest pattern among the reported candidates.,ok,15,true,common_growth_liability_revaluation_partial_pattern,3.035581864504073,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.895,1.11,0.1,0.6335190288619382,0.3042456482435309,0.6335190288619382,0.09964234618568761,2.226610007483032e-10,2.2197038348006903e-10,true,true,9.772170433963723e-10,true,true,true,true,true,true,-0.021838459399627842,-0.02664407007319352,-0.004805610673565677,-0.00550436732821584,-0.002354353910783735,-0.00031139599317899066,-0.0026799265430860913,-0.002991322536265081,0.0006369686254813277,0.8244439056608855,0.895900228275686,0.17825354161285747,8.867366587299759e-5,3.777890643728082e-5,1.0330542327429921,1.0275653682919976,0.9961700120937644,1.214820198345677e-9,9.772170433963723e-10,
cg_us_u_level_111,Eleven-percent level shift produces the strongest pattern among the reported candidates.,ok,30,true,common_growth_liability_revaluation_partial_pattern,3.0990278785585486,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.895,1.11,0.1,0.6335190288619382,0.16817491550542232,0.6335190288619382,0.13338608635017088,2.9170266202527273e-10,2.9097274242828597e-10,true,true,9.995236834264672e-10,true,true,true,true,true,true,-0.02183845980331585,-0.027525471901752165,-0.005687012098436316,-0.007500287762315066,-0.002286716879751178,-7.4944317926753e-5,-0.004879568849540385,-0.004954513167467138,0.002667796287715993,0.6500015771595438,0.9848735253306298,0.18123900095953438,0.00018328571917611348,2.0066460008221663e-5,1.0905497623019471,1.0564605664222746,0.9958419190374838,7.0852103210081396e-9,9.995236834264672e-10,
cg_us_u_level_110,Ten-percent U.S. unbalanced-regime level shift generates liability-led NFA deterioration.,ok,30,false,common_growth_liability_revaluation_partial_pattern,Inf,0.05,1.0,0.35,0.75,0.5,0.25,0.0002,0.01,0.8,1.9,1.895,1.1,0.1,0.6335190288619382,0.1703898624367517,0.6335190288619382,0.13422540891424226,2.8686675257461047e-10,2.861977885584843e-10,true,true,9.80504004377547e-10,true,true,true,true,true,false,-0.023729482934089087,-0.02756481201745891,-0.0038353290833698234,-0.005988256395941477,-0.002019311323856187,-1.2282761109673379e-5,-0.00485034579713674,-0.004862628558246414,0.002843317234390198,0.6310229385331105,0.9974740490739636,0.18129064699210373,0.0001948415608849255,1.3660827661782575e-5,1.0997808617064266,1.0558285387352102,0.9974785414316196,5.226725387278448e-8,9.80504004377547e-10,
