t,regime,phi_US,phi_W,q_US,d_US,q_W,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,N_US,N_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,I_US,I_W,Psi
11,u,0.5845501643334234,0.693671255154915,0.4604164714251753,0.05382730480668024,0.47864423308947385,0.0664043491879674,1.0200352383061133,0.8910894041501719,2.0293578429259336,1.7840157417787816,2.0612089908976694,1.8490619956599281,2.0455014428868625,1.7542209797816244,0.5778340615317974,0.16912314336701825,0.7699764440864175,-0.6802566545599735,1.0437041833903902,1.0572998135766198,0.07825268167703943,0.05144164861313091,0.9876781973349694
12,u,0.5760817189953154,0.6903492096241687,0.42962065749338557,0.04949932137693743,0.45752449859513905,0.06317033519776966,1.0325060659727838,0.9045212145539842,2.0710196269251573,1.7941090186670698,2.0999857109634843,1.8589625862842565,2.215462090547481,1.8616946419651084,0.5762759121344889,0.16894086324725516,0.7719182666068108,-0.672033998582781,1.0402622513846822,1.0537785148197254,0.08069778598010445,0.05275030695164095,0.9876667692383736
13,u,0.567528527690989,0.6869818513020345,0.4003496807702471,0.04544197297781916,0.4371561645007918,0.06006367023937014,1.045380495802165,0.9183586172358029,2.1141339051833423,1.8043673689457045,2.1401231832194,1.8690072363822605,2.4032970667586677,1.9769896854296978,0.5747926996640885,0.16871978812980024,0.7735793861778529,-0.6635179462153514,1.036780309017757,1.0502220295471585,0.08322128232926133,0.054105389095729255,0.987659239829521
14,u,0.5588947660374564,0.683569449686078,0.37257189272608027,0.04164569616345499,0.417519616986618,0.05708073096333691,1.0586736789925992,0.932615705092146,2.158755208022744,1.8147947309011352,2.181673470380583,1.8791987516560946,2.6111685509300773,2.1007564156953333,0.5733886893473547,0.16845486109766708,0.7749329823623541,-0.6547018511952051,1.0332588715087934,1.0466312349654594,0.08582566974576401,0.055508691028849935,0.9876556619035308
15,u,0.5501848689979923,0.6801123091440208,0.34625301460005353,0.03810063389557808,0.3985955886687905,0.05421795324483028,1.0724013618232608,0.9473070878155939,2.204940195520732,1.8253951363578105,2.224690708359311,1.889539974358145,2.8415285738448066,2.2337051174341287,0.5720679209344312,0.16814083074693434,0.7759524151670292,-0.6455806067138103,1.0296984768875532,1.0430070278425025,0.08851352705730595,0.05696208161944756,0.987656033233174
16,u,0.54140352632981,0.6766107686876932,0.32135635308121013,0.034796692553330934,0.3803651499249979,0.0514718312945525,1.0865799067865216,0.9624479128116583,2.2527477392885835,1.836172712987807,2.269231185169619,1.9000337828129155,3.097161083382796,2.376612071847966,0.5708341526915882,0.16777230576402039,0.7766116036084453,-0.6361509115531132,1.026099682248175,1.0393503176450611,0.0912875161255765,0.058467505789646906,0.987660291691349
17,u,0.5325556764362738,0.6730652018795658,0.2978430265154019,0.031723598891547376,0.3628097004813738,0.04883891685967213,1.101226314856155,0.9780538865064999,2.3022390071630223,1.847131686760704,2.315353422406377,1.9106830909855372,3.381230513628375,2.530326222056458,0.5696908041960917,0.16734382048437346,0.7768854375167515,-0.6264115306522585,1.02246305988067,1.0356620193466215,0.09415038533085313,0.060026987762030304,0.9876683114256254
18,u,0.523646498570353,0.6694760169226112,0.2756721995723806,0.028870956411852933,0.34591096129503424,0.046315818515534214,1.1163582491298258,0.9941412958676897,2.3534775509240142,1.8582763845414947,2.363118259375417,1.9214908481164885,3.697337915679584,2.6957765605738317,0.5686408990491448,0.16684991108599523,0.7767502144426087,-0.616363541106464,1.0187891933874376,1.0319430460569001,0.09710497335207396,0.06164263436297446,0.9876799003435477
19,u,0.5146814033560292,0.6658436569787711,0.25480132421806195,0.026228300625105342,0.32965096677493844,0.043899201048802475,1.1319940601069436,1.0107270299422428,2.4065293971647717,1.8696112368411817,2.412588939960783,1.9324600384411639,4.049585888100096,2.873980321831337,0.5676870087848661,0.16628520152135856,0.7761840911387774,-0.6060105537427594,1.0150786739065385,1.028194301650942,0.10015421328426266,0.06331663835839388,0.9876947991424976
20,u,0.5056660212173386,0.6621686007745128,0.235186385121386,0.02378515272176399,0.31401205737240867,0.041585784931322776,1.1481528146234354,1.0278286011421085,2.4614631414497,1.8811407807245504,2.4638312021586137,1.9435936810193877,4.44265375614049,3.066052072682964,0.5668311996234977,0.16564449771440523,0.7751675369043969,-0.5953588999979191,1.011332096609577,1.0244166736332851,0.10330113737080589,0.06505128178799291,0.9877126820938007
21,u,0.4966061910025923,0.6584513633701198,0.21678214528575698,0.02153107108954607,0.29897687271827883,0.0393723458914971,1.1648543188808376,1.045464166495888,2.5183500459838486,1.892869662846677,2.516913371377127,1.9548948296306665,4.881884697665823,3.2732138050455024,0.5660749823167079,0.16492288762904364,0.7736837736445357,-0.5844177734228828,1.0075500573991232,1.020611026247174,0.1065488810831313,0.06684893932508562,0.9877331596076041
22,u,0.4875079434836896,0.6546924974626236,0.1995423944621577,0.019455700472411533,0.28452834505307173,0.037255714564340535,1.182119158969215,1.0636525476399417,2.5772641406755095,1.904802642673688,2.5719064551889965,1.9663665728867952,5.373386804274655,3.4968061475477814,0.5654192697474391,0.16411584496190432,0.771719187672122,-0.573199317066033,1.0037331504562332,1.0167781945577972,0.10990068967288893,0.06871208150676415,0.987755782879482
23,u,0.47837748660603857,0.6508925947050632,0.18342019199961423,0.017548818088314495,0.2706496934407772,0.035232776243959485,1.1999687299102477,1.0824132508335549,2.6382823282621826,1.9169445957831373,2.6288842428726507,1.9780120343616725,5.924150415030719,3.7383008270811953,0.5648643400379045,0.163219332354964,0.7692636950055153,-0.5617186469875917,0.9998819660851245,1.012918979073017,0.11335992335071883,0.07064327799462547,0.9877800502738829
24,u,0.46922118775098987,0.6470522873715914,0.16836810653219972,0.01580037658528479,0.25732441849049187,0.03330047071616748,1.2184252741417183,1.1017664858639575,2.7014844932348567,1.9293005172948972,2.6879234075269265,1.989834372880085,6.54218446087316,3.999314527472042,0.5644098095178905,0.16222990081930522,0.7663110448351481,-0.5499938064367216,0.9959970894494297,1.0090341415874018,0.1169300638801245,0.07264520072163799,0.9878054155359826
25,u,0.4600455550045467,0.6431722501484773,0.15433844877994937,0.014200543465502525,0.24453629776721564,0.031455792175583634,1.2375119216157304,1.1217331842679628,2.766953614951872,1.9418755253799953,2.749103611853713,2.001836782884425,7.236675040404397,4.281624310382607,0.5640546159436698,0.16114478107050795,0.762859045591663,-0.5380456464005429,0.9920791000770158,1.0051244022364707,0.12061472155513858,0.07472062697689222,0.9878312975212288
26,u,0.45085721730635453,0.639253201983178,0.14128349591125136,0.012739736763572103,0.2322693819014752,0.029695789220634334,1.2572527327571992,1.1423350168900377,2.834775885089381,1.9546748648260461,2.8125076176266766,2.0140224948608365,8.018170011415197,4.587184784059287,0.5637970133699126,0.1599619626945754,0.7589097010163606,-0.5258976318513549,0.9881285721964408,1.0011904379227865,0.12441764273370194,0.07687244242873495,0.9878570911404214
27,u,0.4416629036687908,0.6352959078802489,0.12915570579797103,0.011408656809624794,0.22050799141232413,0.028017564919828517,1.2776727441768756,1.163594410958546,2.90504082960785,1.9677039106319434,2.8782213990245533,2.0263947757874954,8.898794049851054,4.9181472286114625,0.5636345795959412,0.1586802572951644,0.7544692470594332,-0.513575576449749,0.9841460758924151,0.9972328821889508,0.1283427179175778,0.07910364410734406,0.9878821791305274
28,u,0.43246942166978264,0.6313011805209928,0.11790791968105259,0.0101983139669504,0.20923671423710488,0.026418276941243587,1.2987980169389999,1.1855345669515454,2.9778414354037754,1.9809681716056906,2.9463342600110054,2.0389569295611194,9.89249941597971,5.276880912595865,0.5635642367067991,0.15729934233401258,0.7495480848142447,-0.5011073120843301,0.9801321790206224,0.9932523265471133,0.13239399035480454,0.08141734337949108,0.9879059442094452
29,u,0.4232836354288373,0.6272698815802485,0.10749355196563078,0.009100052292234167,0.1984404039384756,0.024895137735844855,1.3206556870993353,1.2081794756026392,3.0532742818018237,1.9944732939428587,3.0169389559429898,2.051712297353981,11.01535859891617,5.665996865196946,0.5635822847533739,0.15581978321587545,0.7441606096796481,-0.48852230309083033,0.9760874497764092,0.9892493232041263,0.1365756651266822,0.08381676895882055,0.9879277811485592
30,u,0.4141124429639422,0.6232029225953194,0.09786676621248425,0.00810556912824657,0.18810417854908051,0.02344541476483576,1.343274020116274,1.2315539355463967,3.1314396770836517,2.008225064765246,3.0901318194371195,2.0646642578420003,12.285906112039097,6.088374401703106,0.5636844482813156,0.15424303223262442,0.7383249419804054,-0.4758512178775726,0.9720124597711844,0.9852243890541958,0.14089211894081238,0.08630527001478444,0.9879471083207415
31,u,0.40496275490884587,0.6191012654134572,0.08898263566561769,0.007206930655639733,0.1782134199107164,0.02206643075607687,1.366682457581324,1.2556835715753776,3.2124417998926402,2.022229415632635,3.166012891560745,2.0778162273197753,13.72553801563049,6.547190737844546,0.5638659335740638,0.15257140420201404,0.7320625703901296,-0.4631254737326212,0.9679077874338555,0.9811780107213834,0.14534790902189068,0.08888631937633416,0.9879633781993136
32,u,0.39584147049092205,0.6149659218363898,0.08079728965416237,0.00639658358967692,0.168753773581495,0.02075556398678269,1.3909116825128116,1.2805948550368016,3.296388846180902,2.0364924259773307,3.244686056274199,2.0911716595239644,15.358979281273426,7.045954071272891,0.5641214977324084,0.15080802986548203,0.7253979206891856,-0.4503767696991271,0.9637740215710272,0.9771106504750628,0.14994778473148412,0.09156351702760314,0.9879760866921897
33,u,0.386755456422153,0.6107979527737674,0.07326804285455084,0.005667363071073935,0.1597111490086855,0.01951024856993024,1.4159936688297141,1.3063151255070833,3.383393181207835,2.051020326536702,3.3262591812579476,2.1047340453081436,17.214830948740335,7.588540557396031,0.5644455241667639,0.14895678929826497,0.7183578707324196,-0.43763662612038207,0.9596117648307644,0.9730227526300333,0.15469669714355935,0.09434059378635261,0.9879847807243586
34,u,0.37771152487396614,0.6065984666386558,0.06635350909661851,0.0050124970203244724,0.15107172000194202,0.018327974741128475,1.4419617391235748,1.3328726150111463,3.4735714969949596,2.06581950275917,3.410844263041154,2.118506912033626,19.326211178326346,8.179235661475596,0.5648321046394135,0.14702222858476538,0.7109712297795809,-0.4249359453350107,0.9554216369343468,0.9689147502235044,0.15959980989932718,0.09722141533080608,0.9879890641187317
35,u,0.36871641218231604,0.6023686170922892,0.06001369893836582,0.004425607150868783,0.14282192535130808,0.017206289132865125,1.468850621073,1.3602964747797146,3.567044975225714,2.0808964982310245,3.4985575774608906,2.1324938227166026,21.73150687515123,8.822780431665253,0.5652751243460352,0.14500946373160872,0.7032682036752708,-0.41230460803866054,0.9512042774869109,0.964787071638596,0.1646625099906472,0.10020998657743842,0.9879886016142457
36,u,0.35977675813227256,0.598109600172729,0.05421010128893368,0.003900706899950938,0.13494846950230724,0.01614279502758934,1.4966965038373583,1.3886168048227474,3.663939455679717,2.0962580181591393,3.5895198354411857,2.146698374934482,24.475255600917254,9.52442330849208,0.5657683475811686,0.14292407621204437,0.695279865715388,-0.3997711166313831,0.9469603482423903,0.960640146913849,0.16989041863909235,0.1033104564496396,0.987983121058995
37,u,0.35089908590089797,0.5938226508832042,0.04890574940682906,0.0034321965524309406,0.12743832320535167,0.015135152581982498,1.5255370943583255,1.417864686457168,3.76438561029172,2.1119109329528425,3.6838563442298513,2.161124199513115,27.609181098189357,10.289978166806893,0.5663055014733912,0.14077200461807432,0.6870376511431998,-0.38736229382471327,0.9426905347350313,0.9564744135113611,0.17528940224251507,0.10652712305961894,0.9879724138875104
38,u,0.34208978272479473,0.5895090393364865,0.04406527175585578,0.003014855848133947,0.12027872407308501,0.014181079016188534,1.5554116735966503,1.448072217837855,3.8685191229412914,2.127862281951197,3.781697174236589,2.1757749590264863,31.19341003586183,11.12588937765956,0.5668803555097698,0.13855943667295492,0.6785728902624109,-0.3751030414407543,0.9383955472337425,0.9522903213671342,0.18086558337455988,0.10986443931467343,0.987956334059208
39,u,0.3333550813508487,0.585170066564561,0.03965492834077246,0.0026438343726000553,0.11345717699732936,0.013278348763150883,1.5863611528224324,1.4792725524605719,3.9764808751002523,2.1441192773426025,3.883177331625964,2.190654346147713,35.297902670711515,12.039304781433849,0.5674867949138241,0.13629270537817806,0.6699163916024121,-0.36301616106513296,0.9340761210178334,0.948088337103781,0.18662535183580678,0.11332701894863816,0.9879347956825371
40,b,0.6637738880202039,0.726052620640248,0.028963938822672928,0.0038451012569409877,0.07265407443858138,0.010550136229264734,1.2365928686880965,0.9991759871101152,2.2737688520776076,2.18688881565978,2.349673290065513,2.2725424386940194,40.00413616159194,13.038157581652081,0.6026677715305719,0.1732825600187202,0.7651071214312468,-0.7395336619820393,1.0732173161201053,1.0872875329524896,0.07791551624986978,0.05190071563081062,0.988549812855678
41,b,0.6637734754060169,0.7260525829390813,0.027283720391640693,0.003622041981273071,0.06924856927545257,0.01005562051745565,1.2431884288051855,1.0045200504106482,2.2858936223587443,2.1985851017326112,2.362202710300045,2.28469682566632,42.69422319453642,13.752511401886697,0.6026662433118655,0.17328145683238408,0.7650987609934617,-0.7395372865464334,1.0732171511889341,1.0872875216228575,0.07833118082715305,0.05217831188564585,0.9885496438902353
42,b,0.6637730629341816,0.7260525452500904,0.025700970777277475,0.0034119224186430733,0.06600268949482829,0.009584284140214299,1.2498191747653093,1.009892696965974,2.2980830619825516,2.2103439454297527,2.374798957606636,2.296916220385974,45.56520925152418,14.506004397216236,0.6026647156186198,0.1732803540360318,0.7650904036409361,-0.7395409098698275,1.0732169863140544,1.087287510297034,0.07874906333135316,0.05245739292589698,0.9885494749819909
43,b,0.6637726506056296,0.7260525075713795,0.02421003595845059,0.0032139919478796713,0.06290895303692702,0.009135040620230205,1.2564852943105254,1.0152940796649572,2.310337515945714,2.222165681348413,2.3874623884905777,2.309200970554507,48.629259400204795,15.300780993857913,0.6026631884573525,0.17327925163477242,0.765082049382119,-0.7395445319617155,1.0732168214957525,1.0872874989742862,0.07916917559874591,0.05273796669404432,0.9885493061312225
44,b,0.6637722384203112,0.726052469902947,0.022805589889213346,0.003027543489851752,0.05996022854443592,0.008706854406126577,1.2631869761882395,1.0207243522093095,2.322657331085531,2.234050645875955,2.4001933613589053,2.321551425734018,51.89935679843322,16.139103110951286,0.602661661827881,0.17327814962846255,0.765073698215814,-0.7395481528225,1.0732166567340087,1.0872874876546126,0.07959152952921517,0.053020041174453816,0.9885491373379112
45,b,0.6637718263781782,0.7260524322447923,0.021482615474103933,0.0028519109817252163,0.057149718924595506,0.008298738485461761,1.26992441015316,1.0261836691228654,2.335042856089964,2.2459991771989913,2.412992236531039,2.333967937356327,55.389357711185774,17.02335659799664,0.6026601357300232,0.1732770480169583,0.7650653501408212,-0.7395517724525811,1.0732164920288043,1.0872874763380131,0.08001613708616251,0.05330362439419916,0.9885489686020383
46,b,0.6637714144791815,0.726052394596913,0.020236386647050672,0.0026864669977320894,0.054470945681427116,0.007909752109591706,1.276697786972686,1.0316721857559892,2.3474944415075196,2.2580116153130185,2.425859376248991,2.3464508587329758,59.114050227449326,17.956058025006786,0.6026586101635949,0.17327594680011607,0.7650570051559475,-0.7395553908523635,1.073216327380121,1.0872874650244877,0.08044301029684794,0.05358872442329111,0.9885487999235848
47,b,0.663771002723272,0.7260523569593084,0.0190624514897944,0.002530620507948912,0.05191773398234272,0.007538998625173262,1.2835072984323044,1.0371900582899836,2.3600124397571687,2.2700883020320766,2.438795144687624,2.359000545065281,63.089216925925705,18.939861844692683,0.6026570851284136,0.17327484597779275,0.765048663259999,-0.739559008022251,1.0732161627879395,1.0872874537140351,0.08087216125272971,0.05387534937490586,0.988548631302532
48,b,0.6637705911104012,0.7260523193319761,0.01795661632953243,0.002383814767079285,0.0494841984247178,0.007185623407310015,1.290353137341026,1.0427374437415462,2.3725972051383377,2.282229580998494,2.4517999079649666,2.371617353454445,67.3317017551213,19.97756794706666,0.6026555606242987,0.17327374554984362,0.7650403244517688,-0.7395626239626357,1.073215998252241,1.0872874424066556,0.08130360210980737,0.05416350740561728,0.9885484627388612
49,b,0.6637701796405197,0.7260522817149155,0.016914930758984783,0.002245525325699656,0.04716472946961578,0.006848811889576251,1.2972354975368543,1.0483144999672258,2.385249093840942,2.2944357976926497,2.464874034152586,2.384301642911714,71.85948141125235,21.072129627964014,0.6026540366510659,0.17327264551612598,0.7650319887300698,-0.7395662386739249,1.0732158337730069,1.0872874311023484,0.0817373450889667,0.0544532067156277,0.9885482942325534
50,b,0.6637697683135786,0.7260522441081249,0.015933673525378198,0.002115258156864898,0.04495398051139579,0.006527787686378366,1.3041545738922684,1.0539213856679275,2.3979684639554724,2.306707299442821,2.4780178932860104,2.3970537743686013,76.6917415164585,22.226661994161667,0.6026525132085317,0.17327154587649682,0.7650236560937111,-0.739569852156525,1.0732156693502186,1.0872874198011133,0.08217340247632544,0.0547444555490025,0.9885481257835899
51,b,0.6637693571295299,0.7260522065116022,0.015009339237947237,0.001992547891382253,0.04284685555339626,0.006221810803325451,1.311110562319751,1.0595582603934208,2.4107556754831427,2.3190444354350555,2.4912318573752135,2.409874110687151,81.84895792016131,23.444450829015228,0.6026509902965165,0.17327044663081154,0.7650153265414869,-0.7395734644108253,1.073215504983857,1.0872874085029502,0.0826117866235817,0.05503726219390409,0.988547957391952
52,b,0.6637689460883235,0.7260521689253472,0.014138625846474639,0.0018769561554503207,0.04083849746128763,0.005930175931484033,1.3181036597773428,1.0652252845468777,2.423611090346082,2.3314475567231137,2.5045163004151476,2.422763016670269,87.35298346811608,24.72896194384642,0.6026494679148368,0.17326934777892744,0.7650070000722092,-0.739577075437233,1.0732153406739036,1.0872873972078583,0.08305250994836504,0.05533163498282743,0.9885477890576209
53,b,0.6637685351899119,0.7260521313493569,0.013318422846147128,0.0017680700047253872,0.03892427676701775,0.005652210821585098,1.3251340642742127,1.0709226193894503,2.4365350723975907,2.343917016238456,2.5178715983963422,2.4357208590721022,93.22714060687886,26.08385104169529,0.6026479460633083,0.17326824932070176,0.7649986766846908,-0.7395806852361535,1.0732151764203388,1.0872873859158367,0.08349558493458657,0.055627582292838484,0.9885476207805776
54,b,0.6637681244342452,0.7260520937836309,0.012545800166597443,0.0016655004492218451,0.03709978099754105,0.005387274734435769,1.3322019748762797,1.0766504270448445,2.449527987432441,2.3564531688002943,2.531298129315548,2.4487480066084792,99.49632021614025,27.51297412150995,0.6026464247417507,0.17326715125599057,0.7649903563777308,-0.7395842938079822,1.0732150122231447,1.0872873746268854,0.08394102413279486,0.05592511254581102,0.9885474525608035
55,b,0.6637677138212753,0.7260520562281672,0.01181799770544619,0.001568881063777819,0.035360804503735535,0.005134756963963884,1.339307591711846,1.0824088705039454,2.462590203197247,2.3690563711256747,2.54479627318645,2.461844829967396,106.187087087773,29.020398452384512,0.6026449039499824,0.17326605358465041,0.7649820391501349,-0.7395879011531156,1.0732148480823018,1.0872873633410038,0.08438884016053,0.05622423420866752,0.9885472843982801
56,b,0.6637673033509537,0.7260520186829641,0.011132415468959843,0.0014778666791227836,0.033703338766061366,0.004894075429490931,1.346451115977271,1.0881981136294507,2.475722089400875,2.3817269818396447,2.5583664120504284,2.4750117018195716,113.32779249860924,30.610414149078515,0.6026433836878182,0.17326495630653926,0.7649737250007226,-0.7395915072719664,1.0732146839977923,1.087287352058192,0.08483904570268223,0.05652495579361955,0.9885471162929879
57,b,0.6637668930232307,0.7260519811480206,0.010486604284609133,0.0013921321488718206,0.03212356315461569,0.004664675333988457,1.353632749942676,1.0940183211605317,2.488924017724915,2.3944653614854454,2.5720089299873767,2.4882489968290495,120.94869435402742,32.28754638176221,0.6026418639550806,0.17326385942151273,0.7649654139282878,-0.7395951121649199,1.0732145199695966,1.0872873407784491,0.08529165351185167,0.05682728585840994,0.9885469482449092
58,b,0.6637664828380578,0.7260519436233355,0.009878257052354752,0.001311371188042351,0.03061783612228537,0.004446027885225212,1.3608526969576658,1.0998696587175278,2.5021963618342133,2.4072718725347824,2.5857242131265874,2.501557091663863,129.08208541151507,34.05656825473724,0.6026403447515831,0.17326276292942908,0.7649571059316537,-0.7395987158323903,1.0732143559976963,1.0872873295017749,0.08574667640870873,0.05713123300655671,0.9885467802540242
59,b,0.6637660727953871,0.7260519061089062,0.00930520050341181,0.0012352952789446636,0.02918268681069679,0.004237629076857129,1.3681111614570984,1.1057522928066585,2.515539497387455,2.4201468793981347,2.5995126496576866,2.5149363650067507,137.76243012761745,35.92251439078614,0.602638826077146,0.17326166683014466,0.7649488010096233,-0.7396023182747713,1.0732141920820724,1.0872873182281684,0.08620412728235817,0.057436805887598086,0.9885466123203148
60,b,0.663765662895169,0.7260518686047325,0.008765387437056547,0.001163632640538165,0.027814807049614254,0.004038998526650503,1.3754083489668791,1.1116663908247528,2.528953802047804,2.433090748435127,2.613374629841628,2.5283871975659347,147.02651070822944,37.8906952598124,0.6026373079315877,0.1732605711235166,0.7649404991610054,-0.7396059194924616,1.0732140282227065,1.08728730695763,0.08666401909070501,0.05774401319733759,0.9885464444437623
61,b,0.6637652531373555,0.7260518311108121,0.008256889407746439,0.001096127257571993,0.026511043731345774,0.003849678369160483,1.382744466109775,1.1176121210640277,2.542439655493597,2.4461038479649537,2.6273105460217474,2.5419099720859544,156.913582981193,39.96671229255102,0.6026357903147266,0.17325947580940143,0.7649322003846071,-0.7396095194858583,1.0732138644195799,1.0872872956901591,0.08712636486082048,0.05805286367809293,0.9885462766243477
62,b,0.6637648435218972,0.7260517936271436,0.0077778898364334525,0.0010325379660421612,0.025268391542577692,0.003669232200312296,1.3901197206112832,1.1235896527168663,2.555997439429112,2.4591865482768616,2.6413207926348807,2.5555050733585585,167.46554275179142,42.15647382236409,0.6026342732263775,0.1732583808876582,0.7649239046792562,-0.7396131182553756,1.0732137006726734,1.0872872844257546,0.08759117768931278,0.05836336611894385,0.9885461088620522
63,b,0.6637644340487464,0.7260517561537249,0.007326677521464714,0.0009726375916985396,0.024083986036885722,0.0034972440714525336,1.3975343213055025,1.1295991558806404,2.5696275375953626,2.4723392216406896,2.6554057662225294,2.5691728882336555,178.72710334615923,44.46621190049227,0.6026327566663634,0.17325728635814175,0.764915612043742,-0.7396167158013928,1.0732135369819684,1.0872872731644165,0.08805847074269683,0.05867552935598284,0.9885459411568575
64,b,0.6637640247178536,0.726051718690556,0.00690164052589278,0.0009162121385244871,0.02295509703195332,0.0033333175305516375,1.404988478141065,1.13564080156254,2.583330335780978,2.485562242317461,2.6695658654420993,2.5829138056303247,190.74598509504403,46.90250003261951,0.6026312406345005,0.17325619222071112,0.7649073224768915,-0.7396203121243242,1.0732133733474467,1.0872872619061447,0.088528257257769,0.05898936227256555,0.9885457735087445
65,b,0.6637636155291704,0.7260516812376344,0.006501260419361449,0.0008630600242904093,0.021879122316278473,0.0031770747083475666,1.4124824021870732,1.1417147616844543,2.597106221833131,2.4988559865700295,2.6838014910781878,2.596728216547877,203.5731175609612,49.47227188722996,0.6026297251306062,0.17325509847522325,0.7648990359775149,-0.739623907224566,1.073213209769089,1.0872872506509381,0.08900055054198096,0.05930487379956521,0.9885456059176947
66,b,0.6637632064826482,0.7260516437949591,0.00612410685400008,0.0008129913604506912,0.020853581650861614,0.0030281554473240947,1.420016305639091,1.1478212090878546,2.6109555856685227,2.512220832673796,2.698113046053942,2.610616514076991,217.26285536579175,52.18284102900222,0.6026282101545003,0.1732540051215356,0.7648907525444256,-0.7396275011025183,1.0732130462468767,1.087287239398797,0.08947536397381786,0.05962207291562553,0.9885454383836892
