vartheta_US,scenario,value,a_US,a_W,T_cap,T_max,status,valid_core,valid_exploratory,branch_converged,max_u_residual,max_bgp_residual,psi_ok,equity_weights_ok,phi_final,phi_late_mean,Q_e_final,Q_e_late_mean,Q_us_demand_e_final,Q_row_demand_e_final,Q_wage_cap_e_final,Q_innovation_cap_e_final,Q_demand_add_err_max,Q_prod_add_err_max,reduced_from_cap,elapsed_sec,error
0.7000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,7.441e-08,9.822e-10,true,true,0.0632,0.0979,0.4375,0.4277,0.5125,-0.0750,0.3684,0.0690,1.006e-09,1.527e-16,false,10.6151,
0.7000,paired,0.2500,0.2500,0.2500,60,60,ok,true,true,true,5.550e-07,9.102e-10,true,true,0.1343,0.2114,0.3677,0.3722,0.3628,0.0049,0.3022,0.0654,1.367e-07,9.714e-17,false,13.7882,
0.7000,paired,0.3000,0.3000,0.3000,60,60,ok,true,true,true,5.194e-07,9.867e-10,true,true,0.0626,0.1157,0.3448,0.3454,0.3395,0.0052,0.2691,0.0757,8.822e-08,1.249e-16,false,11.2587,
0.7000,paired,0.4000,0.4000,0.4000,40,40,ok,true,true,true,3.393e-06,5.638e-16,true,true,0.0781,0.1663,0.3279,0.3320,0.3221,0.0058,0.2396,0.0883,8.819e-07,1.110e-16,false,32.8897,
0.7000,paired,0.5000,0.5000,0.5000,40,40,ok,true,true,true,3.420e-08,8.441e-16,true,true,0.0337,0.0950,0.3178,0.3108,0.3140,0.0038,0.2143,0.1035,5.774e-09,8.327e-17,false,97.2182,
0.8000,us_only,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.631e-09,8.653e-10,true,true,0.0875,0.1323,0.5243,0.5192,0.4909,0.0334,0.4434,0.0809,4.617e-10,1.665e-16,false,11.6640,
0.8000,us_only,0.2500,0.2500,0.2000,50,50,ok,true,true,true,3.461e-07,7.575e-10,true,true,0.3239,0.4435,0.3587,0.3663,0.3594,-6.633e-04,0.3068,0.0519,1.634e-07,9.714e-17,false,0.6810,
0.8000,us_only,0.3000,0.3000,0.2000,40,40,ok,true,true,true,1.083e-06,9.202e-10,true,true,0.3306,0.4638,0.2957,0.3153,0.2879,0.0078,0.2463,0.0495,5.818e-07,1.457e-16,false,0.3032,
0.8000,us_only,0.4000,0.4000,0.2000,15,15,ok,true,true,true,6.428e-07,8.670e-10,true,true,0.5821,0.6795,0.2734,0.3014,0.2633,0.0100,0.2342,0.0391,3.502e-07,9.714e-17,false,0.0930,
0.8000,us_only,0.5000,0.5000,0.2000,10,10,ok,true,true,true,6.734e-07,9.834e-10,true,true,0.6203,0.6880,0.2357,0.2583,0.2345,0.0012,0.1981,0.0376,3.008e-07,7.633e-17,false,0.0702,
0.8000,paired,0.2000,0.2000,0.2000,100,100,ok,true,true,true,1.631e-09,8.653e-10,true,true,0.0875,0.1323,0.5243,0.5192,0.4909,0.0334,0.4434,0.0809,4.617e-10,1.665e-16,false,11.6243,
0.8000,paired,0.2500,0.2500,0.2500,60,60,ok,true,true,true,1.968e-07,9.123e-10,true,true,0.1695,0.2632,0.4136,0.4080,0.4343,-0.0208,0.3425,0.0711,3.527e-08,9.714e-17,false,1.3123,
0.8000,paired,0.3000,0.3000,0.3000,60,60,ok,true,true,true,3.051e-07,9.168e-10,true,true,0.0772,0.1421,0.3805,0.3737,0.3881,-0.0076,0.2980,0.0825,3.558e-08,1.527e-16,false,8.8143,
0.8000,paired,0.4000,0.4000,0.4000,40,30,ok,true,true,true,2.434e-06,9.944e-10,true,true,0.1948,0.3437,0.3347,0.3552,0.3273,0.0073,0.2532,0.0815,1.015e-06,1.180e-16,true,0.2279,
0.8000,paired,0.5000,0.5000,0.5000,40,30,ok,true,true,true,2.914e-06,8.858e-16,true,true,0.1064,0.2417,0.3073,0.3271,0.3011,0.0062,0.2124,0.0949,1.009e-06,8.327e-17,true,0.2143,
