scenario,a_US,a_W,T_max,valid_core,valid_exploratory,status,max_u_residual,max_bgp_residual,psi_ok,equity_weights_ok,φ_1,φ_10,φ_20,φ_final,φ_min,floor_band_t,projected_floor_t,decay_rate_per_period,decay_r2,G_N_final,elapsed_sec,error
us_only,0.3000,0.2000,50,false,false,ok,0.2039,9.024e-10,true,true,0.5771,0.4755,0.3550,0.1036,0.1036,,137.7059,0.0358,0.9921,1.2689,110.0421,
us_only,0.4000,0.2000,3,true,true,ok,1.145e-07,3.920e-16,true,true,0.5359,0.5097,0.5097,0.5097,0.5097,,NaN,NaN,NaN,1.1961,0.0579,
us_only,0.4000,0.2000,5,true,true,ok,1.855e-07,4.066e-16,true,true,0.5359,0.4823,0.4823,0.4823,0.4823,,170.9049,0.0275,0.9998,1.2071,0.0655,
us_only,0.4000,0.2000,7,true,true,ok,2.771e-07,5.914e-16,true,true,0.5359,0.4541,0.4541,0.4541,0.4541,,163.4217,0.0288,0.9993,1.2184,0.1347,
us_only,0.4000,0.2000,10,true,true,ok,4.551e-07,3.487e-16,true,true,0.5359,0.4107,0.4107,0.4107,0.4107,,153.2475,0.0308,0.9982,1.2357,0.1688,
us_only,0.4000,0.2000,15,true,true,ok,4.953e-06,4.441e-16,true,true,0.5359,0.4106,0.3382,0.3382,0.3382,,138.8515,0.0341,0.9959,1.2647,0.5080,
us_only,0.4000,0.2000,20,false,true,ok,1.997e-05,5.899e-16,true,true,0.5359,0.4106,0.2673,0.2673,0.2673,,126.1161,0.0378,0.9924,1.2931,8.7201,
us_only,0.5000,0.2000,3,true,true,ok,9.540e-08,4.996e-16,true,true,0.5142,0.4840,0.4840,0.4840,0.4840,,NaN,NaN,NaN,1.2580,0.0698,
us_only,0.5000,0.2000,5,true,true,ok,1.636e-07,3.376e-16,true,true,0.5142,0.4523,0.4523,0.4523,0.4523,,138.1628,0.0338,0.9998,1.2738,0.0844,
us_only,0.5000,0.2000,7,true,true,ok,2.523e-07,3.697e-16,true,true,0.5141,0.4195,0.4195,0.4195,0.4195,,131.0435,0.0357,0.9991,1.2902,0.1083,
us_only,0.5000,0.2000,10,true,true,ok,5.567e-06,4.501e-16,true,true,0.5141,0.3691,0.3691,0.3691,0.3691,,121.3513,0.0387,0.9975,1.3155,7.4182,
us_only,0.5000,0.2000,15,false,true,ok,5.356e-05,5.022e-16,true,true,0.5141,0.3688,0.2822,0.2822,0.2822,,106.1642,0.0446,0.9922,1.3589,5.0501,
us_only,0.7500,0.2000,3,false,true,ok,1.492e-05,4.113e-16,true,true,0.4937,0.4556,0.4556,0.4556,0.4556,,NaN,NaN,NaN,1.4083,6.1985,
us_only,1.0000,0.2000,3,true,true,ok,3.226e-09,3.881e-16,true,true,0.4913,0.4487,0.4487,0.4487,0.4487,,NaN,NaN,NaN,1.5513,0.0768,
us_only,1.0000,0.2000,5,true,true,ok,5.424e-10,3.152e-16,true,true,0.4912,0.4047,0.4047,0.4047,0.4047,,90.4192,0.0514,1.0000,1.5953,0.0696,
us_only,1.0000,0.2000,7,true,true,ok,2.415e-09,7.439e-16,true,true,0.4912,0.3633,0.3633,0.3633,0.3633,,89.0532,0.0523,0.9992,1.6367,0.1212,
us_only,1.0000,0.2000,10,true,true,ok,5.213e-09,4.278e-16,true,true,0.4912,0.2923,0.2923,0.2923,0.2923,,77.7397,0.0604,0.9921,1.7077,0.1608,
us_only,1.0000,0.2000,15,false,false,ok,0.0635,5.812e-16,true,true,0.4909,0.2722,0.1647,0.1647,0.1647,,57.0789,0.0842,0.9894,1.8353,121.4724,
us_only,1.2000,0.2000,3,true,true,ok,9.546e-10,4.894e-16,true,true,0.4932,0.4469,0.4469,0.4469,0.4469,,NaN,NaN,NaN,1.6637,0.0839,
us_only,1.2000,0.2000,5,true,true,ok,7.765e-10,3.331e-16,true,true,0.4929,0.3936,0.3936,0.3936,0.3936,,75.5941,0.0618,0.9999,1.7277,0.0946,
us_only,1.2000,0.2000,7,true,true,ok,6.988e-10,3.718e-16,true,true,0.4928,0.3350,0.3350,0.3350,0.3350,,66.3718,0.0710,0.9956,1.7980,0.1314,
us_only,1.2000,0.2000,10,true,true,ok,4.423e-09,5.764e-16,true,true,0.4928,0.2484,0.2484,0.2484,0.2484,,57.1223,0.0834,0.9912,1.9020,0.1377,
us_only,1.2000,0.2000,15,false,true,ok,2.635e-05,7.749e-16,true,true,0.4928,0.2480,0.1239,0.1239,0.1239,,46.6050,0.1051,0.9804,2.0513,23.3907,
paired,0.2000,0.2000,3,true,true,ok,9.671e-08,4.607e-10,true,true,0.6639,0.6489,0.6489,0.6489,0.6489,,NaN,NaN,NaN,1.0702,0.0664,
paired,0.2000,0.2000,5,true,true,ok,1.341e-07,7.852e-10,true,true,0.6638,0.6334,0.6334,0.6334,0.6334,,407.2666,0.0120,0.9999,1.0733,0.0608,
paired,0.2000,0.2000,7,true,true,ok,1.772e-07,9.663e-10,true,true,0.6638,0.6175,0.6175,0.6175,0.6175,,396.6687,0.0124,0.9998,1.0765,0.0698,
paired,0.2000,0.2000,10,true,true,ok,2.524e-07,9.688e-10,true,true,0.6638,0.5930,0.5930,0.5930,0.5930,,381.4513,0.0129,0.9994,1.0814,0.0966,
paired,0.2000,0.2000,15,true,true,ok,4.093e-07,9.696e-10,true,true,0.6638,0.5929,0.5502,0.5502,0.5502,,357.7370,0.0137,0.9983,1.0900,0.1876,
paired,0.2000,0.2000,20,true,true,ok,6.115e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.5057,0.5057,,335.9576,0.0146,0.9968,1.0989,0.2760,
paired,0.2000,0.2000,25,true,true,ok,8.648e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.4601,0.4601,,316.0260,0.0156,0.9950,1.1080,0.3441,
paired,0.2000,0.2000,30,true,true,ok,7.854e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.4141,0.4141,,297.8377,0.0166,0.9929,1.1172,0.3463,
paired,0.2000,0.2000,40,true,true,ok,6.716e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.3247,0.3247,,266.4359,0.0186,0.9886,1.1351,0.4460,
paired,0.2000,0.2000,50,true,true,ok,7.355e-07,9.697e-10,true,true,0.6638,0.5929,0.5057,0.2437,0.2437,,240.9428,0.0208,0.9846,1.1513,0.6075,
paired,0.2000,0.2000,60,true,true,ok,2.880e-06,9.697e-10,true,true,0.6638,0.5929,0.5057,0.1760,0.1760,,220.5348,0.0229,0.9814,1.1648,3.0873,
paired,0.2000,0.2000,80,true,true,ok,4.273e-08,9.697e-10,true,true,0.6638,0.5929,0.5057,0.0828,0.0828,,191.2252,0.0269,0.9776,1.1834,33.5810,
paired,0.2000,0.2000,100,true,true,ok,5.118e-08,9.697e-10,true,true,0.6638,0.5929,0.5057,0.0358,0.0358,,172.9136,0.0304,0.9775,1.1928,11.1640,
paired,0.2500,0.2500,3,true,true,ok,1.267e-07,8.604e-10,true,true,0.5987,0.5792,0.5792,0.5792,0.5792,,NaN,NaN,NaN,1.1052,0.0558,
paired,0.2500,0.2500,5,true,true,ok,1.810e-07,7.948e-10,true,true,0.5986,0.5591,0.5591,0.5591,0.5591,,273.2362,0.0176,0.9999,1.1102,0.0669,
paired,0.2500,0.2500,7,true,true,ok,2.459e-07,7.992e-10,true,true,0.5986,0.5386,0.5386,0.5386,0.5386,,265.0267,0.0181,0.9997,1.1153,0.0863,
paired,0.2500,0.2500,10,true,true,ok,3.628e-07,8.013e-10,true,true,0.5986,0.5070,0.5070,0.5070,0.5070,,253.3828,0.0190,0.9991,1.1232,0.1242,
paired,0.2500,0.2500,15,true,true,ok,6.149e-07,8.020e-10,true,true,0.5986,0.5070,0.4530,0.4530,0.4530,,235.6178,0.0205,0.9978,1.1367,0.1728,
paired,0.2500,0.2500,20,true,true,ok,9.444e-07,8.021e-10,true,true,0.5986,0.5070,0.3984,0.3984,0.3984,,219.7703,0.0220,0.9960,1.1504,0.2088,
paired,0.2500,0.2500,25,true,true,ok,1.351e-06,8.021e-10,true,true,0.5986,0.5070,0.3983,0.3446,0.3446,,205.7130,0.0236,0.9939,1.1638,0.2695,
paired,0.2500,0.2500,30,true,true,ok,1.368e-06,8.021e-10,true,true,0.5986,0.5070,0.3983,0.2932,0.2932,,193.2961,0.0252,0.9918,1.1767,0.3008,
paired,0.2500,0.2500,40,true,true,ok,1.718e-06,8.021e-10,true,true,0.5986,0.5070,0.3983,0.2025,0.2025,,172.8778,0.0284,0.9879,1.1994,0.4435,
paired,0.2500,0.2500,50,true,true,ok,7.778e-06,8.021e-10,true,true,0.5986,0.5070,0.3983,0.1317,0.1317,,157.2539,0.0315,0.9848,1.2171,16.3477,
paired,0.2500,0.2500,60,true,true,ok,7.641e-07,8.021e-10,true,true,0.5986,0.5070,0.3983,0.0823,0.0823,,145.6499,0.0345,0.9832,1.2294,16.2907,
paired,0.2500,0.2500,80,true,true,ok,2.544e-07,8.021e-10,true,true,0.5986,0.5070,0.3983,0.0292,0.0292,,130.2863,0.0395,0.9827,1.2427,187.6815,
paired,0.2500,0.2500,100,true,true,ok,5.356e-07,8.021e-10,true,true,0.5986,0.5070,0.3983,0.0098,0.0098,,121.5891,0.0433,0.9847,1.2475,21.4929,
paired,0.3000,0.3000,3,true,true,ok,1.527e-07,9.627e-10,true,true,0.5510,0.5277,0.5277,0.5277,0.5277,,NaN,NaN,NaN,1.1417,0.0516,
paired,0.3000,0.3000,5,true,true,ok,2.246e-07,9.627e-10,true,true,0.5509,0.5039,0.5039,0.5039,0.5039,,204.6131,0.0231,0.9999,1.1488,0.0610,
paired,0.3000,0.3000,7,true,true,ok,3.126e-07,9.627e-10,true,true,0.5509,0.4795,0.4795,0.4795,0.4795,,197.6911,0.0239,0.9996,1.1561,0.0742,
paired,0.3000,0.3000,10,true,true,ok,4.747e-07,9.627e-10,true,true,0.5509,0.4423,0.4423,0.4423,0.4423,,188.0079,0.0252,0.9989,1.1673,0.4675,
paired,0.3000,0.3000,15,true,true,ok,8.283e-07,9.627e-10,true,true,0.5509,0.4423,0.3799,0.3799,0.3799,,173.5746,0.0274,0.9973,1.1860,0.1428,
paired,0.3000,0.3000,20,true,true,ok,1.284e-06,9.627e-10,true,true,0.5509,0.4423,0.3189,0.3189,0.3189,,161.0910,0.0296,0.9953,1.2043,0.2140,
paired,0.3000,0.3000,25,true,true,ok,1.791e-06,9.627e-10,true,true,0.5509,0.4423,0.3188,0.2618,0.2618,,150.3621,0.0318,0.9932,1.2215,0.2574,
paired,0.3000,0.3000,30,true,true,ok,1.608e-06,9.627e-10,true,true,0.5509,0.4423,0.3188,0.2102,0.2102,,141.1781,0.0341,0.9911,1.2369,1.1763,
paired,0.3000,0.3000,40,true,true,ok,1.284e-06,9.627e-10,true,true,0.5509,0.4423,0.3188,0.1279,0.1279,,126.7558,0.0384,0.9879,1.2616,0.8459,
paired,0.3000,0.3000,50,true,true,ok,5.182e-07,9.627e-10,true,true,0.5509,0.4423,0.3188,0.0731,0.0731,,116.4352,0.0424,0.9860,1.2781,4.9375,
paired,0.3000,0.3000,60,true,true,ok,2.990e-06,9.627e-10,true,true,0.5509,0.4423,0.3188,0.0400,0.0400,,109.0847,0.0459,0.9855,1.2880,56.5329,
paired,0.3000,0.3000,80,true,true,ok,1.369e-09,9.627e-10,true,true,0.5509,0.4423,0.3188,0.0111,0.0111,,100.0623,0.0514,0.9868,1.2967,68.1275,
paired,0.3000,0.3000,100,true,true,ok,3.646e-06,9.627e-10,true,true,0.5509,0.4423,0.3188,0.0030,0.0030,93,95.2895,0.0553,0.9892,1.2991,341.8762,
paired,0.4000,0.4000,3,true,true,ok,1.987e-07,3.266e-16,true,true,0.4849,0.4557,0.4557,0.4557,0.4557,,NaN,NaN,NaN,1.2177,0.0641,
paired,0.4000,0.4000,5,true,true,ok,3.071e-07,3.060e-16,true,true,0.4849,0.4257,0.4257,0.4257,0.4257,,135.8043,0.0340,0.9999,1.2297,0.0653,
paired,0.4000,0.4000,7,true,true,ok,4.436e-07,5.252e-16,true,true,0.4849,0.3954,0.3954,0.3954,0.3954,,130.2770,0.0355,0.9994,1.2419,0.0733,
paired,0.4000,0.4000,10,true,true,ok,6.980e-07,5.902e-16,true,true,0.4849,0.3499,0.3499,0.3499,0.3499,,122.7759,0.0377,0.9985,1.2600,0.5092,
paired,0.4000,0.4000,15,true,true,ok,1.243e-06,3.990e-16,true,true,0.4849,0.3498,0.2769,0.2769,0.2769,,112.1281,0.0415,0.9964,1.2892,0.1570,
paired,0.4000,0.4000,20,true,true,ok,1.927e-06,4.580e-16,true,true,0.4849,0.3498,0.2112,0.2112,0.2112,,103.4674,0.0452,0.9942,1.3155,0.2131,
paired,0.4000,0.4000,25,true,true,ok,2.303e-06,4.349e-16,true,true,0.4849,0.3498,0.2111,0.1558,0.1558,,96.4566,0.0489,0.9923,1.3377,1.0319,
paired,0.4000,0.4000,30,true,true,ok,3.275e-06,6.279e-16,true,true,0.4849,0.3498,0.2111,0.1116,0.1116,,90.8141,0.0523,0.9907,1.3554,5.9788,
paired,0.4000,0.4000,40,true,true,ok,1.798e-06,6.000e-16,true,true,0.4849,0.3498,0.2111,0.0534,0.0534,,82.6113,0.0586,0.9890,1.3786,15.7827,
paired,0.4000,0.4000,50,true,true,ok,1.130e-06,1.322e-15,true,true,0.4849,0.3498,0.2111,0.0241,0.0241,,77.3568,0.0636,0.9889,1.3903,5.2741,
paired,0.4000,0.4000,60,true,true,ok,2.246e-06,1.555e-15,true,true,0.4849,0.3498,0.2111,0.0106,0.0106,,73.9252,0.0677,0.9897,1.3958,16.9472,
us_only,0.7500,0.2000,1,true,true,ok,1.707e-08,4.441e-16,true,true,0.4938,0.4938,0.4938,0.4938,0.4938,,NaN,NaN,NaN,1.3796,1.3031,
us_only,0.7500,0.2000,2,true,true,ok,2.655e-08,3.331e-16,true,true,0.4938,0.4754,0.4754,0.4754,0.4754,,NaN,NaN,NaN,1.3935,0.0510,
paired,0.5000,0.5000,1,true,true,ok,1.387e-07,3.088e-16,true,true,0.4408,0.4408,0.4408,0.4408,0.4408,,NaN,NaN,NaN,1.2796,0.0267,
paired,0.5000,0.5000,2,true,true,ok,1.838e-07,3.088e-16,true,true,0.4408,0.4239,0.4239,0.4239,0.4239,,NaN,NaN,NaN,1.2880,0.0347,
paired,0.5000,0.5000,3,true,true,ok,2.403e-07,3.400e-16,true,true,0.4408,0.4068,0.4068,0.4068,0.4068,,NaN,NaN,NaN,1.2966,0.0402,
paired,0.5000,0.5000,5,true,true,ok,3.848e-07,3.331e-16,true,true,0.4408,0.3720,0.3720,0.3720,0.3720,,101.7324,0.0446,0.9998,1.3140,0.7998,
paired,0.5000,0.5000,7,true,true,ok,5.676e-07,5.682e-16,true,true,0.4408,0.3372,0.3372,0.3372,0.3372,,96.9889,0.0468,0.9992,1.3314,0.0833,
paired,0.5000,0.5000,10,true,true,ok,9.051e-07,3.923e-16,true,true,0.4408,0.2862,0.2862,0.2862,0.2862,,90.7495,0.0502,0.9980,1.3569,0.1215,
paired,0.5000,0.5000,15,true,true,ok,1.621e-06,4.425e-16,true,true,0.4408,0.2861,0.2084,0.2084,0.2084,,82.3040,0.0558,0.9958,1.3958,0.2206,
paired,0.5000,0.5000,20,true,true,ok,1.030e-09,4.879e-16,true,true,0.4408,0.2861,0.1484,0.1484,0.1484,,76.9846,0.0601,0.9953,1.4258,3.9734,
paired,0.5000,0.5000,25,true,true,ok,6.581e-08,5.532e-16,true,true,0.4408,0.2860,0.1434,0.0909,0.0909,,69.5843,0.0674,0.9890,1.4545,43.8913,
paired,0.5000,0.5000,30,true,true,ok,1.928e-06,6.523e-16,true,true,0.4408,0.2861,0.1442,0.0616,0.0616,,67.0272,0.0705,0.9910,1.4692,9.5309,
paired,0.5000,0.5000,40,true,true,ok,4.074e-06,7.981e-16,true,true,0.4408,0.2861,0.1442,0.0238,0.0238,,61.8997,0.0780,0.9905,1.4881,5.1469,
paired,0.5000,0.5000,50,false,false,ok,0.3057,1.456e-15,true,true,0.4408,0.2861,0.1443,0.0121,0.0121,,63.5693,0.0756,0.9966,1.4940,141.2827,
paired,0.7500,0.7500,1,true,true,ok,1.703e-07,2.252e-16,true,true,0.3745,0.3745,0.3745,0.3745,0.3745,,NaN,NaN,NaN,1.4691,0.0334,
paired,0.7500,0.7500,2,true,true,ok,2.401e-07,2.220e-16,true,true,0.3744,0.3533,0.3533,0.3533,0.3533,,NaN,NaN,NaN,1.4850,0.0372,
paired,0.7500,0.7500,3,true,true,ok,3.264e-07,5.239e-16,true,true,0.3744,0.3318,0.3318,0.3318,0.3318,,NaN,NaN,NaN,1.5012,0.3948,
paired,0.7500,0.7500,5,true,true,ok,5.444e-07,4.649e-16,true,true,0.3744,0.2885,0.2885,0.2885,0.2885,,63.1660,0.0697,0.9997,1.5336,0.4272,
paired,0.7500,0.7500,7,true,true,ok,8.168e-07,5.655e-16,true,true,0.3744,0.2464,0.2464,0.2464,0.2464,,59.5237,0.0743,0.9988,1.5652,0.0861,
paired,0.7500,0.7500,10,true,true,ok,1.865e-06,5.943e-16,true,true,0.3744,0.1884,0.1884,0.1884,0.1884,,55.0723,0.0808,0.9972,1.6087,0.1130,
paired,0.7500,0.7500,15,true,true,ok,4.380e-06,4.684e-16,true,true,0.3744,0.1883,0.1118,0.1118,0.1118,,49.6478,0.0909,0.9948,1.6661,8.2578,
paired,0.7500,0.7500,20,true,true,ok,6.945e-07,7.471e-16,true,true,0.3744,0.1882,0.0616,0.0616,0.0616,,45.9319,0.0997,0.9933,1.7038,3.0808,
paired,0.7500,0.7500,25,true,true,ok,2.039e-06,7.442e-16,true,true,0.3744,0.1882,0.0616,0.0323,0.0323,,43.4137,0.1071,0.9927,1.7258,2.1206,
paired,0.7500,0.7500,30,false,true,ok,1.133e-05,1.100e-15,true,true,0.3744,0.1882,0.0616,0.0163,0.0163,,41.6481,0.1132,0.9926,1.7377,18.6455,
paired,1.0000,1.0000,1,true,true,ok,1.887e-07,2.914e-16,true,true,0.3369,0.3369,0.3369,0.3369,0.3369,,NaN,NaN,NaN,1.6631,0.0337,
paired,1.0000,1.0000,2,true,true,ok,2.760e-07,2.914e-16,true,true,0.3368,0.3127,0.3127,0.3127,0.3127,,NaN,NaN,NaN,1.6873,0.0490,
paired,1.0000,1.0000,3,true,true,ok,3.819e-07,4.372e-16,true,true,0.3368,0.2880,0.2880,0.2880,0.2880,,NaN,NaN,NaN,1.7120,0.0558,
paired,1.0000,1.0000,5,true,true,ok,6.480e-07,3.400e-16,true,true,0.3367,0.2388,0.2388,0.2388,0.2388,,46.4591,0.0933,0.9995,1.7612,0.8464,
paired,1.0000,1.0000,7,true,true,ok,9.908e-07,4.617e-16,true,true,0.3367,0.1927,0.1927,0.1927,0.1927,,43.4644,0.1003,0.9984,1.8073,0.4961,
paired,1.0000,1.0000,10,true,true,ok,2.603e-06,5.794e-16,true,true,0.3367,0.1333,0.1333,0.1333,0.1333,,40.0215,0.1101,0.9966,1.8667,1.1859,
paired,1.0000,1.0000,15,false,true,ok,1.063e-05,5.647e-16,true,true,0.3367,0.1331,0.0651,0.0651,0.0651,,36.0933,0.1244,0.9944,1.9349,4.3693,
paired,1.2000,1.2000,1,true,true,ok,1.946e-07,1.810e-16,true,true,0.3166,0.3166,0.3166,0.3166,0.3166,,NaN,NaN,NaN,1.8201,0.0328,
paired,1.2000,1.2000,2,true,true,ok,2.908e-07,3.469e-16,true,true,0.3165,0.2905,0.2905,0.2905,0.2905,,NaN,NaN,NaN,1.8515,0.0368,
paired,1.2000,1.2000,3,true,true,ok,4.068e-07,3.833e-16,true,true,0.3164,0.2637,0.2637,0.2637,0.2637,,NaN,NaN,NaN,1.8836,0.0478,
paired,1.2000,1.2000,5,true,true,ok,6.446e-07,3.088e-16,true,true,0.3164,0.2110,0.2110,0.2110,0.2110,,38.7001,0.1111,0.9994,1.9467,0.0806,
paired,1.2000,1.2000,7,true,true,ok,9.275e-07,5.239e-16,true,true,0.3164,0.1630,0.1630,0.1630,0.1630,,36.0764,0.1201,0.9981,2.0044,3.6375,
paired,1.2000,1.2000,10,true,true,ok,2.787e-06,4.094e-16,true,true,0.3164,0.1045,0.1045,0.1045,0.1045,,33.1524,0.1324,0.9963,2.0746,0.8657,
paired,1.2000,1.2000,15,false,true,ok,2.016e-05,5.681e-16,true,true,0.3164,0.1044,0.0442,0.0442,0.0442,,30.0245,0.1497,0.9944,2.1469,0.2125,
