T_report,n_buffer,terminal_rule,T_solve,converged,iterations,max_residual,max_free_entry_resid,max_clearing_resid,max_pricing_identity_resid,terminal_pricing_identity_resid,terminal_phi,terminal_q,terminal_mc_resid
45,0,local_loglinear,45,true,0,1.1895315843168215e-15,3.552713678800501e-15,3.410605131648481e-13,1.7763568394002505e-15,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
45,5,local_loglinear,50,true,0,1.329723844058748e-15,1.4210854715202004e-14,3.183231456205249e-12,3.552713678800501e-15,0.0,0.18556010502728146,13.558445423444823,-2.2879960734876477
45,20,local_loglinear,65,true,0,1.329723844058748e-15,2.842170943040401e-14,4.3655745685100555e-11,7.105427357601002e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
60,0,local_loglinear,60,true,0,1.329723844058748e-15,1.7763568394002505e-14,1.0913936421275139e-11,3.552713678800501e-15,0.0,0.12640361822758675,29.87207871931727,-17.752530168792873
60,5,local_loglinear,65,true,0,1.329723844058748e-15,2.842170943040401e-14,4.3655745685100555e-11,7.105427357601002e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
60,20,local_loglinear,80,true,0,1.329723844058748e-15,9.947598300641403e-14,1.862645149230957e-9,2.842170943040401e-14,0.0,0.05505466763093889,161.6759393869164,-1314.642651848495
45,0,flat,45,true,0,1.1895315843168215e-15,3.552713678800501e-15,3.410605131648481e-13,1.7763568394002505e-15,0.0,0.2301254432164445,8.71828198324512,-77.9456955289561
45,0,local_loglinear,45,true,0,1.1895315843168215e-15,3.552713678800501e-15,3.410605131648481e-13,1.7763568394002505e-15,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
45,0,asymptotic_hkt,45,true,0,1.1895315843168215e-15,3.552713678800501e-15,3.410605131648481e-13,1.7763568394002505e-15,0.0,0.2220319873640826,9.338845494750977,1.7274105118974603
45,0,tail_regression,45,true,0,1.1895315843168215e-15,3.552713678800501e-15,3.410605131648481e-13,1.7763568394002505e-15,0.0,0.222854032622156,9.272841393610088,-6.744054797212129
45,5,flat,50,true,0,1.329723844058748e-15,1.4210854715202004e-14,3.183231456205249e-12,3.552713678800501e-15,1.7763568394002505e-15,0.19244838013928312,12.635704231319325,-248.70729724766898
45,5,local_loglinear,50,true,0,1.329723844058748e-15,1.4210854715202004e-14,3.183231456205249e-12,3.552713678800501e-15,0.0,0.18556010502728146,13.558445423444823,-2.2879960734876477
45,5,asymptotic_hkt,50,true,0,1.329723844058748e-15,1.4210854715202004e-14,3.183231456205249e-12,3.552713678800501e-15,0.0,0.1853781276309986,13.5841786919498,4.58197583064748
45,5,tail_regression,50,true,0,1.329723844058748e-15,1.4210854715202004e-14,3.183231456205249e-12,3.552713678800501e-15,-1.7763568394002505e-15,0.18598487784130563,13.498662458743595,-18.24859639903707
45,20,flat,65,true,0,1.329723844058748e-15,2.842170943040401e-14,4.3655745685100555e-11,7.105427357601002e-15,0.0,0.10763170378261648,41.61637487887667,-9807.090032597553
45,20,local_loglinear,65,true,0,1.329723844058748e-15,2.842170943040401e-14,4.3655745685100555e-11,7.105427357601002e-15,0.0,0.10336444075317447,45.05626505798223,-50.9851890001446
45,20,asymptotic_hkt,65,true,0,1.329723844058748e-15,2.842170943040401e-14,4.3655745685100555e-11,7.105427357601002e-15,0.0,0.10330236043284348,45.10941658673266,99.73264765940257
45,20,tail_regression,65,true,0,1.329723844058748e-15,2.842170943040401e-14,4.3655745685100555e-11,7.105427357601002e-15,0.0,0.10351506284242214,44.927696203416005,-415.5618168320216
