comparison_type,T_report,n_buffer,terminal_rule,T_solve,t,periods_to_terminal,n,phi,G,q,d,dividend_yield,free_entry_resid,clearing_resid,pricing_identity_resid,terminal_phi,terminal_q,terminal_mc_resid
unreduced_equilibrium,45,0,local_loglinear,45,0,45,1.0,0.6933034373659253,1.061339312526815,0.7944952996089383,0.11016526443798952,0.13866068747318505,0.0,0.0,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,1,44,1.061339312526815,0.6837406048898589,1.0632518790220282,0.8201279634626585,0.11215095796500923,0.13674812097797176,0.0,-3.3306690738754696e-16,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,2,43,1.1284710183240836,0.6740161890406458,1.0651967621918708,0.847375086022342,0.11422890523375369,0.13480323780812917,0.0,-6.661338147750939e-16,1.1102230246251565e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,3,42,1.2020436749461771,0.6641359359922223,1.0671728128015556,0.8763525071879,0.11640343852407335,0.13282718719844447,0.0,0.0,-1.1102230246251565e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,4,41,1.2827883297026306,0.6541061017497392,1.0691787796500523,0.9071853461638,0.11867909406873818,0.13082122034994784,0.0,-4.440892098500626e-16,1.1102230246251565e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,5,40,1.3715300609007874,0.6439334452014471,1.0712133109597106,0.9400088038295782,0.1210606215139343,0.12878668904028942,0.0,2.220446049250313e-16,-1.1102230246251565e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,6,39,1.469201257618306,0.633625217926103,1.0732749564147794,0.9749690377858048,0.12355299380764671,0.1267250435852206,0.0,-4.440892098500626e-16,1.1102230246251565e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,7,38,1.5768569157348264,0.6231891506930474,1.0753621698613904,1.0122241168309947,0.1261614175357855,0.12463783013860946,0.0,1.5543122344752192e-15,2.220446049250313e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,8,37,1.6956922744655427,0.6126334366259589,1.0774733126748082,1.051945062261399,0.12889134372698186,0.1225266873251918,0.0,-1.1102230246251565e-15,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,9,36,1.8270631722454684,0.6019667110374443,1.0796066577925112,1.0943169840825315,0.13174847914811538,0.12039334220748889,0.0,-2.220446049250313e-15,-2.220446049250313e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,10,35,1.9725095649637134,0.5911980279796067,1.0817603944040786,1.1395403209841124,0.1347387981138111,0.11823960559592137,0.0,0.0,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,11,34,2.133782724960964,0.5803368335949142,1.083932633281017,1.187832193765546,0.1378685548343995,0.11606736671898282,0.0,-4.440892098500626e-16,-2.220446049250313e-16,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,12,33,2.3128767279164824,0.5693929363914407,1.0861214127217118,1.2394278828135994,0.14114429632813236,0.11387858727828813,0.0,-8.881784197001252e-16,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
unreduced_equilibrium,45,0,local_loglinear,45,13,32,2.5120649391758203,0.5583764746061557,1.0883247050787688,1.2945824412353357,0.1445728759248035,0.11167529492123114,0.0,1.7763568394002505e-15,0.0,0.22228151099313265,9.318736313218945,-0.8534882364428995
