T_report,n_buffer,terminal_rule,T0,benchmark,T_solve,terminal_phi,terminal_mc_resid,max_log_phi_error,max_log_q_error,max_log_dividend_yield_error,max_fundamental_share_error,max_bubble_share_error
45,0,flat,20,exact_hkt_long_product,45,0.23012544321644446,-77.94569552895587,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,0,flat,30,exact_hkt_long_product,45,0.23012544321644446,-77.94569552895587,0.0,0.0,0.0,0.10080676426397739,0.10080676426397722
45,0,flat,40,exact_hkt_long_product,45,0.23012544321644446,-77.94569552895587,0.0,0.0,0.0,0.22972802968712946,0.22972802968712944
45,0,local_loglinear,20,exact_hkt_long_product,45,0.22228151099313256,-0.8534882364415353,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,0,local_loglinear,30,exact_hkt_long_product,45,0.22228151099313256,-0.8534882364415353,0.0,0.0,0.0,0.10080676426397739,0.10080676426397722
45,0,local_loglinear,40,exact_hkt_long_product,45,0.22228151099313256,-0.8534882364415353,0.0,0.0,0.0,0.22972802968712924,0.2297280296871293
45,0,asymptotic_hkt,20,exact_hkt_long_product,45,0.22203198736408258,1.7274105118981424,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,0,asymptotic_hkt,30,exact_hkt_long_product,45,0.22203198736408258,1.7274105118981424,0.0,0.0,0.0,0.10080676426397739,0.10080676426397722
45,0,asymptotic_hkt,40,exact_hkt_long_product,45,0.22203198736408258,1.7274105118981424,0.0,0.0,0.0,0.22972802968712924,0.2297280296871293
45,0,tail_regression,20,exact_hkt_long_product,45,0.222854032622156,-6.744054797211447,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,0,tail_regression,30,exact_hkt_long_product,45,0.222854032622156,-6.744054797211447,0.0,0.0,0.0,0.10080676426397739,0.10080676426397722
45,0,tail_regression,40,exact_hkt_long_product,45,0.222854032622156,-6.744054797211447,0.0,0.0,0.0,0.22972802968712924,0.2297280296871293
45,5,flat,20,exact_hkt_long_product,50,0.19244838013928312,-248.70729724766716,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,5,flat,30,exact_hkt_long_product,50,0.19244838013928312,-248.70729724766716,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,5,flat,40,exact_hkt_long_product,50,0.19244838013928312,-248.70729724766716,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
45,5,local_loglinear,20,exact_hkt_long_product,50,0.18556010502728146,-2.287996073485374,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,5,local_loglinear,30,exact_hkt_long_product,50,0.18556010502728146,-2.287996073485374,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,5,local_loglinear,40,exact_hkt_long_product,50,0.18556010502728146,-2.287996073485374,0.0,0.0,0.0,0.22972802968712913,0.22972802968712916
45,5,asymptotic_hkt,20,exact_hkt_long_product,50,0.1853781276309986,4.581975830648844,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,5,asymptotic_hkt,30,exact_hkt_long_product,50,0.1853781276309986,4.581975830648844,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,5,asymptotic_hkt,40,exact_hkt_long_product,50,0.1853781276309986,4.581975830648844,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
45,5,tail_regression,20,exact_hkt_long_product,50,0.1859848778413056,-18.248596399034795,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,5,tail_regression,30,exact_hkt_long_product,50,0.1859848778413056,-18.248596399034795,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,5,tail_regression,40,exact_hkt_long_product,50,0.1859848778413056,-18.248596399034795,0.0,0.0,0.0,0.22972802968712913,0.22972802968712916
45,20,flat,20,exact_hkt_long_product,65,0.1076317037826165,-9807.090032597596,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,20,flat,30,exact_hkt_long_product,65,0.1076317037826165,-9807.090032597596,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,20,flat,40,exact_hkt_long_product,65,0.1076317037826165,-9807.090032597596,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
45,20,local_loglinear,20,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,20,local_loglinear,30,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,20,local_loglinear,40,exact_hkt_long_product,65,0.10336444075317451,-50.985189000261016,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
45,20,asymptotic_hkt,20,exact_hkt_long_product,65,0.10330236043284349,99.73264765934437,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,20,asymptotic_hkt,30,exact_hkt_long_product,65,0.10330236043284349,99.73264765934437,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,20,asymptotic_hkt,40,exact_hkt_long_product,65,0.10330236043284349,99.73264765934437,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
45,20,tail_regression,20,exact_hkt_long_product,65,0.10351506284242214,-415.5618168320216,0.0,0.0,0.0,0.02725695051835242,0.027256950518352367
45,20,tail_regression,30,exact_hkt_long_product,65,0.10351506284242214,-415.5618168320216,0.0,0.0,0.0,0.10080676426397706,0.10080676426397694
45,20,tail_regression,40,exact_hkt_long_product,65,0.10351506284242214,-415.5618168320216,0.0,0.0,0.0,0.2297280296871289,0.229728029687129
