T_report,n_buffer,terminal_rule,T_solve,t,periods_to_terminal,n,phi,G,q,d,dividend_yield,V,B,fundamental_share,bubble_share,terminal_phi,terminal_q,terminal_mc_resid
60,5,local_loglinear,65,17,48,3.567572433524839,0.5137972405679092,1.0972405518864181,1.5566857856263134,0.15996417221721754,0.10275944811358184,1.5566857856263139,-4.440892098500626e-16,1.0000000000000002,-2.852786438667125e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,18,47,3.914485145855566,0.5025789652989412,1.0994842069402118,1.634285360829302,0.16427148912975947,0.10051579305978824,1.6342853608293024,-4.440892098500626e-16,1.0000000000000002,-2.717329668942968e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,19,46,4.303914596170246,0.4913537430828053,1.101729251383439,1.7175002457903488,0.16878003490294521,0.09827074861656107,1.717500245790349,-2.220446049250313e-16,1.0000000000000002,-1.2928359426397182e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,20,45,4.741748606056901,0.48013291308367456,1.1039734173832652,1.8067834601897206,0.17349924121045837,0.09602658261673491,1.8067834601897208,-2.220446049250313e-16,1.0000000000000002,-1.2289497320377043e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,21,44,5.2347644130009705,0.46892780959399283,1.1062144380812013,1.9026273923076913,0.17843897910967524,0.09378556191879857,1.9026273923076917,-4.440892098500626e-16,1.0000000000000002,-2.3340839706477057e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,22,43,5.790771973615338,0.45774971607348414,1.108450056785303,2.0055673755247647,0.18360957934254077,0.09154994321469684,2.0055673755247656,-8.881784197001252e-16,1.0000000000000004,-4.4285643580920825e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,23,42,6.418781522984663,0.4466098195447701,1.110678036091046,2.1161855977487325,0.18902185358676057,0.08932196390895403,2.116185597748733,-4.440892098500626e-16,1.0000000000000002,-2.098536207421973e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,24,41,7.129199656046098,0.43551916573847227,1.1128961668523056,2.2351153751536486,0.19468711670322994,0.08710383314769447,2.235115375153649,-4.440892098500626e-16,1.0000000000000002,-1.9868737640424248e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,25,40,7.934058969938478,0.42448861537048865,1.1151022769259022,2.36304582459289,0.20061721002769012,0.08489772307409774,2.3630458245928905,-4.440892098500626e-16,1.0000000000000002,-1.8793084976529016e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,26,39,8.847287222642775,0.41352880191832597,1.1172942396163348,2.5007269723090353,0.20682452575675964,0.0827057603836652,2.500726972309036,-8.881784197001252e-16,1.0000000000000004,-3.55168088933767e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,27,38,9.885023050089973,0.4026500912423031,1.1194699817515394,2.6489753401340415,0.21332203248071654,0.08053001824846062,2.648975340134042,-4.440892098500626e-16,1.0000000000000002,-1.6764565646261967e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,28,37,11.065986573497769,0.3918625433715588,1.1216274913256883,2.8086800542839097,0.22012330191773213,0.07837250867431177,2.8086800542839097,0.0,1.0,0.0,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,29,36,12.411914759476051,0.38117587674466125,1.1237648246510679,2.98080952613487,0.22724253690665952,0.07623517534893226,2.9808095261348693,8.881784197001252e-16,0.9999999999999997,2.979655063206271e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,30,35,13.948073213266605,0.37059943516086824,1.1258801129678264,3.166418759058839,0.2346946007179966,0.07411988703217365,3.1664187590588386,4.440892098500626e-16,0.9999999999999999,1.402496775196153e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,31,34,15.70385824503612,0.36014215766142765,1.1279715684677145,3.3666573405331315,0.24249504774525718,0.07202843153228554,3.36665734053313,1.3322676295501878e-15,0.9999999999999996,3.9572415449301856e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,32,33,17.713505615648042,0.34981255152149016,1.130037489695702,3.5827781843659783,0.25066015564171895,0.06996251030429804,3.582778184365976,2.220446049250313e-15,0.9999999999999993,6.197553783651978e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,33,32,20.016925419617632,0.33961866849300826,1.1320762663013983,3.816147094041554,0.25920695897037105,0.06792373369860165,3.8161470940415505,3.552713678800501e-15,0.9999999999999991,9.309687470767643e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,34,31,22.66068619187428,0.329568084398173,1.1340863831203654,4.068253224937624,0.2681532844378765,0.0659136168796346,4.068253224937621,3.552713678800501e-15,0.9999999999999991,8.7327741966086e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,35,30,25.699175642368306,0.31966788213226904,1.1360664235735463,4.340720530560977,0.2775177877864973,0.06393357642645381,4.340720530560973,3.552713678800501e-15,0.9999999999999992,8.184617401160731e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,36,29,29.195970560813755,0.3099246380950126,1.1380150723809974,4.635320286042055,0.28731999242121087,0.061984927619002525,4.635320286042052,2.6645352591003757e-15,0.9999999999999994,5.748330416614066e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,37,28,33.22545455099794,0.3003444120311327,1.1399311175937734,4.953984790998081,0.29758032985269856,0.06006888240622655,4.953984790998079,2.6645352591003757e-15,0.9999999999999994,5.378569720161677e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,38,27,37.8747295388802,0.29093274022477855,1.1418134519550442,5.2988223635861935,0.30832018204049383,0.05818654804495571,5.298822363586191,2.6645352591003757e-15,0.9999999999999994,5.0285423368996335e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,39,26,43.24587567665249,0.28169463195876987,1.143661073608246,5.672133748206542,0.3195619257243919,0.056338926391753974,5.672133748206539,2.6645352591003757e-15,0.9999999999999996,4.697588909892805e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,40,25,49.45862460548911,0.2726345691192019,1.1454730861761595,6.076430070966715,0.33132897883619444,0.05452691382384039,6.076430070966714,1.7763568394002505e-15,0.9999999999999997,2.9233560143935717e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,41,24,56.653523364877756,0.26375650879879853,1.1472486982402403,6.5144524897812355,0.3436458490880679,0.05275130175975971,6.514452489781234,1.7763568394002505e-15,0.9999999999999998,2.7267937592402383e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,42,23,64.99568093107905,0.25506388872890784,1.1489872222542183,6.989193699958343,0.3565381848381917,0.05101277774578157,6.9891936999583395,3.552713678800501e-15,0.9999999999999994,5.083152408298078e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,43,22,74.67920689152199,0.24655963535032277,1.1506880729299356,7.503921471437018,0.37003282833899376,0.04931192707006456,7.503921471437014,4.440892098500626e-15,0.9999999999999994,5.91809511254145e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,44,21,85.9324726659414,0.2382461743172204,1.1523507651365559,8.06220441060756,0.3841578714781343,0.04764923486344407,8.062204410607555,5.329070518200751e-15,0.9999999999999993,6.609942202890832e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,45,20,99.02435062667375,0.23012544321644446,1.153974911356711,8.667940158017833,0.3989427141274943,0.04602508864328889,8.66794015801783,3.552713678800501e-15,0.9999999999999996,4.0986827481893094e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,46,19,114.27161623657172,0.22219890627599964,1.1555602187448,9.32538625338712,0.414418125220772,0.04443978125519993,9.325386253387114,5.329070518200751e-15,0.9999999999999994,5.714584225683042e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,47,18,132.04773385465464,0.21446757083181828,1.1571064858336364,10.039193921387875,0.4306163066859228,0.04289351416636367,10.03919392138787,5.329070518200751e-15,0.9999999999999994,5.308265344737987e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,48,17,152.79328928285472,0.20693200532039163,1.1586135989359216,10.814445055794545,0.447570960364552,0.04138640106407833,10.81444505579454,5.329070518200751e-15,0.9999999999999996,4.927733684628925e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,49,16,177.0283827892657,0.19959235856645396,1.1600815282867092,11.656692706039506,0.4653173580565612,0.0399184717132908,11.656692706039502,3.552713678800501e-15,0.9999999999999997,3.047788741106461e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,50,15,205.3673568562959,0.19244838013928312,1.1615103239721434,12.572005399178016,0.4838924148348262,0.03848967602785663,12.572005399178014,1.7763568394002505e-15,0.9999999999999999,1.412946290586538e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,51,14,238.53630519545905,0.18549944155800413,1.1629001116883992,13.567015661987284,0.5033347657814674,0.037099888311600826,13.567015661987282,1.7763568394002505e-15,0.9999999999999999,1.3093202541052062e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,52,13,277.3938959535374,0.17874455813522794,1.1642510883729544,14.64897314267354,0.5236848463044007,0.03574891162704559,14.648973142673537,3.552713678800501e-15,0.9999999999999998,2.4252305224392716e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,53,12,322.95614527192004,0.1721824112590798,1.165563517748184,15.825802769722719,0.5449849762002963,0.03443648225181596,15.825802769722715,3.552713678800501e-15,0.9999999999999998,2.2448868664011205e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,54,11,376.42590076153266,0.16581137092583648,1.1668377258148328,17.10616842712251,0.5672794476378886,0.0331622741851673,17.1061684271225,7.105427357601002e-15,0.9999999999999996,4.153722318280852e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,55,10,439.2279419823867,0.15962951834867312,1.1680740963302654,18.49954267085171,0.590614617243757,0.03192590366973463,18.499542670851707,3.552713678800501e-15,0.9999999999999998,1.920433246384104e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,56,9,513.0507814140786,0.15363466848211088,1.1692730663035777,20.01628306155563,0.6150390024812381,0.030726933696422175,20.016283061555626,3.552713678800501e-15,0.9999999999999998,1.7749117895040352e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,57,8,599.8964603534863,0.14782439231636074,1.170435121536728,21.66771574312135,0.6406033825221112,0.02956487846327215,21.66771574312134,7.105427357601002e-15,0.9999999999999997,3.279269232547827e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,58,7,702.1398864832856,0.14219603881061876,1.1715607922378763,23.466226956886914,0.6673609038200561,0.028439207762123758,23.466226956886906,7.105427357601002e-15,0.9999999999999997,3.0279377126350037e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,59,6,822.5995616701707,0.1367467563492401,1.172650648730152,25.42536324696414,0.695367190604706,0.027349351269848023,25.425363246964125,1.4210854715202004e-14,0.9999999999999994,5.589243534956702e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,5,local_loglinear,65,60,5,964.6219096376644,0.13147351361939852,1.1737052972761204,27.559941184170683,0.7246804605253774,0.02629470272387971,27.559941184170672,1.0658141036401503e-14,0.9999999999999997,3.8672582663286337e-16,0.10336444075317451,45.05626505798219,-50.985189000261016
60,20,local_loglinear,80,0,80,1.0,0.6933034373659253,1.061339312526815,0.7944952996089383,0.11016526443798952,0.13866068747318505,0.7944952996089383,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,1,79,1.061339312526815,0.6837406048898589,1.0632518790220282,0.8201279634626585,0.11215095796500923,0.13674812097797176,0.8201279634626585,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,2,78,1.1284710183240836,0.6740161890406458,1.0651967621918708,0.847375086022342,0.11422890523375369,0.13480323780812917,0.847375086022342,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,3,77,1.2020436749461771,0.6641359359922223,1.0671728128015556,0.8763525071879,0.11640343852407335,0.13282718719844447,0.8763525071879001,-1.1102230246251565e-16,1.0000000000000002,-1.2668680873495943e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,4,76,1.2827883297026306,0.6541061017497392,1.0691787796500523,0.9071853461638,0.11867909406873818,0.13082122034994784,0.9071853461638,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,5,75,1.3715300609007874,0.6439334452014471,1.0712133109597106,0.9400088038295782,0.1210606215139343,0.12878668904028942,0.9400088038295783,-1.1102230246251565e-16,1.0000000000000002,-1.1810772623640637e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,6,74,1.469201257618306,0.633625217926103,1.0732749564147794,0.9749690377858048,0.12355299380764671,0.1267250435852206,0.9749690377858047,1.1102230246251565e-16,0.9999999999999999,1.1387264431971289e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,7,73,1.5768569157348264,0.6231891506930474,1.0753621698613904,1.0122241168309947,0.1261614175357855,0.12463783013860946,1.0122241168309947,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,8,72,1.6956922744655427,0.6126334366259589,1.0774733126748082,1.051945062261399,0.12889134372698186,0.1225266873251918,1.0519450622613993,-2.220446049250313e-16,1.0000000000000002,-2.1108003914928324e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,9,71,1.8270631722454684,0.6019667110374443,1.0796066577925112,1.0943169840825315,0.13174847914811538,0.12039334220748889,1.0943169840825318,-2.220446049250313e-16,1.0000000000000002,-2.0290702616773521e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,10,70,1.9725095649637134,0.5911980279796067,1.0817603944040786,1.1395403209841124,0.1347387981138111,0.11823960559592137,1.1395403209841124,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,11,69,2.133782724960964,0.5803368335949142,1.083932633281017,1.187832193765546,0.1378685548343995,0.11606736671898282,1.1878321937655463,-2.220446049250313e-16,1.0000000000000002,-1.8693263753117167e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,12,68,2.3128767279164824,0.5693929363914407,1.0861214127217118,1.2394278828135994,0.14114429632813236,0.11387858727828813,1.2394278828135996,-2.220446049250313e-16,1.0000000000000002,-1.791508872795184e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,13,67,2.5120649391758203,0.5583764746061557,1.0883247050787688,1.2945824412353357,0.1445728759248035,0.11167529492123114,1.294582441235336,-2.220446049250313e-16,1.0000000000000002,-1.7151831961597485e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,14,66,2.73394233406724,0.5472978808586477,1.0905404238282705,1.3535724563458982,0.1481614673893489,0.10945957617172955,1.3535724563458984,-2.220446049250313e-16,1.0000000000000002,-1.6404338303725723e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,15,65,2.9814746317157392,0.5361678443347417,1.0927664311330516,1.4166979734113458,0.1519175796954717,0.10723356886694835,1.416697973411346,-2.220446049250313e-16,1.0000000000000002,-1.567339045388466e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,16,64,3.2580553928137377,0.5249972707741564,1.0950005458451688,1.4842845968613685,0.1558490724808675,0.10499945415483128,1.4842845968613687,-2.220446049250313e-16,1.0000000000000002,-1.4959705530500103e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,17,63,3.567572433524839,0.5137972405679092,1.0972405518864181,1.5566857856263134,0.15996417221721754,0.10275944811358184,1.5566857856263139,-4.440892098500626e-16,1.0000000000000002,-2.852786438667125e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,18,62,3.914485145855566,0.5025789652989412,1.0994842069402118,1.634285360829302,0.16427148912975947,0.10051579305978824,1.6342853608293024,-4.440892098500626e-16,1.0000000000000002,-2.717329668942968e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,19,61,4.303914596170246,0.4913537430828053,1.101729251383439,1.7175002457903488,0.16878003490294521,0.09827074861656107,1.717500245790349,-2.220446049250313e-16,1.0000000000000002,-1.2928359426397182e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,20,60,4.741748606056901,0.48013291308367456,1.1039734173832652,1.8067834601897206,0.17349924121045837,0.09602658261673491,1.8067834601897208,-2.220446049250313e-16,1.0000000000000002,-1.2289497320377043e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,21,59,5.2347644130009705,0.46892780959399283,1.1062144380812013,1.9026273923076913,0.17843897910967524,0.09378556191879857,1.9026273923076917,-4.440892098500626e-16,1.0000000000000002,-2.3340839706477057e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,22,58,5.790771973615338,0.45774971607348414,1.108450056785303,2.0055673755247647,0.18360957934254077,0.09154994321469684,2.0055673755247656,-8.881784197001252e-16,1.0000000000000004,-4.4285643580920825e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,23,57,6.418781522984663,0.4466098195447701,1.110678036091046,2.1161855977487325,0.18902185358676057,0.08932196390895403,2.116185597748733,-4.440892098500626e-16,1.0000000000000002,-2.098536207421973e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,24,56,7.129199656046098,0.43551916573847227,1.1128961668523056,2.2351153751536486,0.19468711670322994,0.08710383314769447,2.235115375153649,-4.440892098500626e-16,1.0000000000000002,-1.9868737640424248e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,25,55,7.934058969938478,0.42448861537048865,1.1151022769259022,2.36304582459289,0.20061721002769012,0.08489772307409774,2.3630458245928905,-4.440892098500626e-16,1.0000000000000002,-1.8793084976529016e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,26,54,8.847287222642775,0.41352880191832597,1.1172942396163348,2.5007269723090353,0.20682452575675964,0.0827057603836652,2.500726972309036,-8.881784197001252e-16,1.0000000000000004,-3.55168088933767e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,27,53,9.885023050089973,0.4026500912423031,1.1194699817515394,2.6489753401340415,0.21332203248071654,0.08053001824846062,2.648975340134042,-4.440892098500626e-16,1.0000000000000002,-1.6764565646261967e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,28,52,11.065986573497769,0.3918625433715588,1.1216274913256883,2.8086800542839097,0.22012330191773213,0.07837250867431177,2.8086800542839097,0.0,1.0,0.0,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,29,51,12.411914759476051,0.38117587674466125,1.1237648246510679,2.98080952613487,0.22724253690665952,0.07623517534893226,2.9808095261348693,8.881784197001252e-16,0.9999999999999997,2.979655063206271e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,30,50,13.948073213266605,0.37059943516086824,1.1258801129678264,3.166418759058839,0.2346946007179966,0.07411988703217365,3.1664187590588386,4.440892098500626e-16,0.9999999999999999,1.402496775196153e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,31,49,15.70385824503612,0.36014215766142765,1.1279715684677145,3.3666573405331315,0.24249504774525718,0.07202843153228554,3.36665734053313,1.3322676295501878e-15,0.9999999999999996,3.9572415449301856e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,32,48,17.713505615648042,0.34981255152149016,1.130037489695702,3.5827781843659783,0.25066015564171895,0.06996251030429804,3.582778184365976,2.220446049250313e-15,0.9999999999999993,6.197553783651978e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,33,47,20.016925419617632,0.33961866849300826,1.1320762663013983,3.816147094041554,0.25920695897037105,0.06792373369860165,3.8161470940415505,3.552713678800501e-15,0.9999999999999991,9.309687470767643e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,34,46,22.66068619187428,0.329568084398173,1.1340863831203654,4.068253224937624,0.2681532844378765,0.0659136168796346,4.068253224937621,3.552713678800501e-15,0.9999999999999991,8.7327741966086e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
60,20,local_loglinear,80,35,45,25.699175642368306,0.31966788213226904,1.1360664235735463,4.340720530560977,0.2775177877864973,0.06393357642645381,4.340720530560973,3.552713678800501e-15,0.9999999999999992,8.184617401160731e-16,0.0550546676309389,161.6759393869164,-1314.6426518494263
