T_report,n_buffer,terminal_rule,T0,t_max,max_abs_bubble_share_error,bubble_share_at_t,exact_bubble_share_at_t,fundamental_share_at_t,exact_fundamental_share_at_t,abs_log_q_error_at_t,abs_log_phi_error_at_t,periods_to_terminal_at_t,endpoint_t,endpoint_bubble_share,exact_endpoint_bubble_share,endpoint_fundamental_share,exact_endpoint_fundamental_share,terminal_phi,terminal_mc_resid
45,0,local_loglinear,40,40,0.2297280296871293,0.0,0.2297280296871293,1.0,0.7702719703128708,0.0,0.0,5,45,0.0,0.30702072275089914,1.0,0.6929792772491008,0.22228151099313256,-0.8534882364415353
45,5,local_loglinear,40,40,0.22972802968712916,1.4616780071967859e-16,0.2297280296871293,0.9999999999999999,0.7702719703128708,0.0,0.0,10,45,2.0493413740946547e-16,0.30702072275089914,0.9999999999999998,0.6929792772491008,0.18556010502728146,-2.287996073485374
45,20,local_loglinear,40,40,0.229728029687129,2.9233560143935717e-16,0.2297280296871293,0.9999999999999997,0.7702719703128708,0.0,0.0,25,45,4.0986827481893094e-16,0.30702072275089914,0.9999999999999996,0.6929792772491008,0.10336444075317451,-50.985189000261016
60,0,local_loglinear,40,40,0.229728029687129,2.9233560143935717e-16,0.2297280296871293,0.9999999999999997,0.7702719703128708,0.0,0.0,20,60,0.0,0.541459254495139,1.0,0.458540745504861,0.12640361822758675,-17.752530168792873
60,5,local_loglinear,40,40,0.229728029687129,2.9233560143935717e-16,0.2297280296871293,0.9999999999999997,0.7702719703128708,0.0,0.0,25,60,3.8672582663286337e-16,0.541459254495139,0.9999999999999997,0.458540745504861,0.10336444075317451,-50.985189000261016
60,20,local_loglinear,40,40,0.229728029687129,2.9233560143935717e-16,0.2297280296871293,0.9999999999999997,0.7702719703128708,0.0,0.0,40,60,2.5781721775524223e-16,0.541459254495139,0.9999999999999998,0.458540745504861,0.0550546676309389,-1314.6426518494263
