T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,Q_US_over_e_W,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,23,22,7,2.403641473905922,2.501456588751617,1.0856908278038873,0.18564007483521786,0.991582629095397,0.008417370904603039,1.0662820110954057,0.94663304638613,1.126394240266646,0.861477409160539,0.8578311224414643,0.00424157981973225,0.768508500802394,1.5685186645512552,2.2095335604590782,1.1544476385398145e-10
30,29,0,local_loglinear,24,23,6,2.3838113124487643,2.481503536909629,1.0791175406813946,0.18619750410363253,0.9863549258488099,0.013645074151190095,1.066340287320895,0.9439584298460796,1.1296475073534442,0.8583748235667104,0.8524764635769762,0.006895261328264873,0.7676491199035342,1.5935103899868153,2.2139126839128487,2.0952197208704622e-10
30,29,0,local_loglinear,25,24,5,2.3619494755746744,2.459384528338624,1.071811247654916,0.1868481029014752,0.9807239525783603,0.019276047421639686,1.0663303359767207,0.9415659645205983,1.1325073082050567,0.8553509396049698,0.8470346955724064,0.009770183692697804,0.7667096722158144,1.618969333920171,2.2187147125995264,3.756432694803483e-10
30,29,0,local_loglinear,26,25,4,2.3382160740667572,2.435268605146193,1.0638251071480063,0.18759142195988152,0.9747317292969657,0.02526827070303428,1.0662565783831357,0.9394446842488219,1.1349860148878401,0.8523925798059581,0.8415107467602969,0.012848410619228756,0.76569340491096,1.6449375002639937,2.223927021498601,6.714552150510894e-10
30,29,0,local_loglinear,27,26,3,2.3127594817709927,2.409312979224411,1.055207064219701,0.18842817771069664,0.9684201214072071,0.031579878592792876,1.066122204719468,0.9375844096004494,1.1370946378831053,0.8494861327410477,0.8359090019876436,0.016111859090974123,0.7646035153691639,1.6714630838179712,2.229537367653461,1.2004978092013132e-9
30,29,0,local_loglinear,28,27,2,2.285715828995327,2.3816627090507962,1.0459986555882481,0.18936074174358286,0.9618329884302301,0.03816701156976987,1.0659284975713985,0.9359760211282117,1.1388416727669413,0.8466165340138624,0.8302332992789709,0.019541113034008184,0.7634435400689914,1.6986047067659145,2.2355318429169984,2.1483754208087625e-9
30,29,0,local_loglinear,29,28,1,2.2572078004483402,2.3524498362034088,1.0362328353368975,0.19039404166130797,0.9550198133262013,0.04498018667379866,1.0656736453171984,0.9346119226320755,1.1402311692279978,0.8437655410407245,0.8244868903648734,0.023113419258341428,0.7622179981625359,1.7264389312144508,2.2418914528320664,3.847148948911552e-9
30,29,0,local_loglinear,30,29,0,2.227342195960699,2.3217915393431694,1.025930095805773,0.1915371818429878,0.948041882698409,0.051958117301590945,1.0653506676802773,0.9334867688211276,1.1412595263944412,0.8409087798236522,0.8186723410505334,0.02679925594303731,0.7609334855452622,1.75507358665106,2.248586246774477,1.484537636321352e-7
35,34,0,local_loglinear,28,27,7,2.285779489193262,2.3817127092722408,1.0460832097593822,0.18933101287810014,0.9617087686776592,0.0382912313223408,1.0659676391513524,0.9359664719142708,1.1388951112438874,0.8466740564796369,0.8302359968509478,0.01960580550106028,0.7634230474930063,1.6983852090054656,2.2356379608853394,1.1562419000207387e-10
35,34,0,local_loglinear,29,28,6,2.2573204727053255,2.3525385186674623,1.0363827383744078,0.19034059862198835,0.9547994001253365,0.045200599874663516,1.0657438658691905,0.9345941824209215,1.140327947589558,0.8438679740534286,0.8244916871872172,0.023228993811372278,0.7621814016939397,1.7260399858235673,2.2420817771681074,2.089226367807633e-10
