T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,binding_continuation_date,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
105,104,local_loglinear,103,102,63,62,false,0.0587033972828508,0.025627561974054816,0.09922750592638799,0.03251921947436579,3.872838286653588,1.3234653150255618,true,true
105,104,local_loglinear,103,102,64,63,false,0.05657186403853309,0.025443254297729204,0.09338582922241165,0.03208853833541812,3.625500600441762,1.240588738482672,true,true
105,104,local_loglinear,103,102,65,64,false,0.05451026020156112,0.025253321317792104,0.08777081665130704,0.031655727851301003,3.3898049212993584,1.1615907016177538,true,true
105,104,local_loglinear,103,102,66,65,false,0.05251754091421847,0.02505760500874474,0.08237980771642119,0.031220801667352426,3.165438298740119,1.086366901247392,true,true
105,104,local_loglinear,103,102,67,66,false,0.05059262858352444,0.02485595331921769,0.07721002579292023,0.030783778458268674,2.9520882166453526,1.0148131840067196,true,true
105,104,local_loglinear,103,102,68,67,false,0.04873441134886648,0.024648221277303855,0.07225857021468787,0.030344682548250932,2.7494426516854023,0.946825566443385,true,true
105,104,local_loglinear,103,102,69,68,false,0.04694174001722905,0.02443427225126629,0.06752240329788829,0.029903544541231144,2.5571901124429677,0.882300248688887,true,true
105,104,local_loglinear,103,102,70,69,false,0.04521342670473151,0.02421397929446917,0.06299834223078701,0.029460401960786052,2.375019666865289,0.8211336242492158,true,true
105,104,local_loglinear,103,102,71,70,false,0.04354824206766948,0.023987226593394615,0.05868304642282459,0.0290152998957083,2.2026209639863237,0.7632222878911494,true,true
105,104,local_loglinear,103,102,72,71,false,0.04194491411042722,0.0237539109250705,0.054573009556070175,0.028568291647405215,2.0396842562052155,0.7084630437158104,true,true
105,104,local_loglinear,103,102,73,72,false,0.04040212590966513,0.023513943205237905,0.0506645481132817,0.028119439371203342,1.8859004271078652,0.656752915073825,true,true
105,104,local_loglinear,103,102,74,73,false,0.03891851508393083,0.023267250106799822,0.04695379493139303,0.027668814706542727,1.7409610312869432,0.607989158468857,true,true
105,104,local_loglinear,103,102,75,74,false,0.03749267261181614,0.02301377562410743,0.04343669096312612,0.027216499389847527,1.604558352081883,0.5620692834171418,true,true
105,104,local_loglinear,103,102,76,75,false,0.036123142550393963,0.02275348275600026,0.0401089793831811,0.026762585839137088,1.4763854816828113,0.5188910797334074,true,true
105,104,local_loglinear,103,102,77,76,false,0.034808422748684203,0.022486355073809226,0.03696620302462493,0.02630717770584136,1.3561364299561254,0.4783526543578831,true,true
105,104,local_loglinear,103,102,78,77,false,0.033546965362601606,0.022212398309622225,0.03400370115893814,0.02585039038085543,1.2435062654170732,0.44035247885321316,true,true
105,104,local_loglinear,103,102,79,78,false,0.03233717893963814,0.02193164182039057,0.031216611357742702,0.0253923514472268,1.1381912930198443,0.40478944912050824,true,true
105,104,local_loglinear,103,102,80,79,false,0.031177430650289117,0.02164413998299013,0.028599872001896967,0.02493320106733116,1.0398892715552346,0.3715629582524093,true,true
105,104,local_loglinear,103,102,81,80,false,0.03006604949324372,0.02134997352266436,0.026148227911738077,0.024473092295197008,0.9482996734256072,0.34057298343706605,true,true
105,104,local_loglinear,103,102,82,81,false,0.029001330440532408,0.021049250532973414,0.023856239722676986,0.024012191305543724,0.8631239886180561,0.3117201875115624,true,true
105,104,local_loglinear,103,102,83,82,false,0.027981539148472966,0.020742107443898435,0.0217182951137236,0.023550677524526935,0.784066072289152,0.28490603495424427,true,true
105,104,local_loglinear,103,102,84,83,false,0.027004917402231682,0.0204287097306178,0.019728623014841653,0.023088743657170518,0.7108325361679141,0.2600329223798085,true,true
105,104,local_loglinear,103,102,85,84,false,0.026069689489013954,0.020109252305416592,0.017881311550792083,0.022626595601301182,0.6431331814114467,0.23700432273845007,true,true
105,104,local_loglinear,103,102,86,85,false,0.025174068953812943,0.019783959735246503,0.016170327655699316,0.022164452238246243,0.580681469335222,0.2157249420166536,true,true
105,104,local_loglinear,103,102,87,86,false,0.024316265989804284,0.019453086087869362,0.014589539705804764,0.021702545097033888,0.5231950259359331,0.19610088707567827,true,true
105,104,local_loglinear,103,102,88,87,false,0.02349449504403275,0.01911691443888959,0.013132741815429482,0.02124111788513651,0.4703961740229782,0.17803984255946254,true,true
105,104,local_loglinear,103,102,89,88,false,0.02270698297731183,0.018775756051519165,0.01179368077737799,0.02078042588243297,0.42201248598171737,0.16145125454300543,true,true
105,104,local_loglinear,103,102,90,89,false,0.02195197706743582,0.018429949186973504,0.010566083641386944,0.020320735197951023,0.37777734926072676,0.14624651828485993,true,true
105,104,local_loglinear,103,102,91,90,false,0.021227752872480125,0.018079857444752073,0.009443686283184151,0.01986232189033044,0.3374305357200655,0.13233916713035226,true,true
105,104,local_loglinear,103,102,92,91,false,0.020532621917171985,0.01772586761507294,0.008420262906297141,0.019405470953015314,0.3007187652034041,0.11964505935415001,true,true
