experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,rebased_NFA,cond_1b
terminal_rule_selected_full_path,105,0,local_loglinear,1,1.0769936921911165,0.03487232281050553,0.9880491462976563,1.0795678910018611,0.0,0.0
terminal_rule_selected_full_path,105,0,local_loglinear,2,1.0981306124113286,0.034516507897378354,0.9779677237590533,1.1056057611803007,-0.007721869750336188,0.8615872892378534
terminal_rule_selected_full_path,105,0,local_loglinear,3,1.1194468319834576,0.03418103139152066,0.9684625560930851,1.1341760466164899,-0.014630197267137757,0.849761070235313
terminal_rule_selected_full_path,105,0,local_loglinear,4,1.1408906094063627,0.033865469273928625,0.9595216294279774,1.1652597779972995,-0.020721452007969696,0.8370621720481048
terminal_rule_selected_full_path,105,0,local_loglinear,5,1.1624243150352525,0.03356913999174632,0.951125633099479,1.1988586908027743,-0.026004108761013372,0.8236155067881209
terminal_rule_selected_full_path,105,0,local_loglinear,6,1.1840225588479112,0.033291180203491595,0.9432501057655946,1.234993741765674,-0.03049654138431117,0.8095317800308267
terminal_rule_selected_full_path,105,0,local_loglinear,7,1.205670439247397,0.03303060593178705,0.9358671680672994,1.2737038959133866,-0.03422502246933197,0.7949090114149461
terminal_rule_selected_full_path,105,0,local_loglinear,8,1.2273619389665278,0.03278636105227467,0.9289468964811154,1.315045168023881,-0.037221883661674574,0.7798340517894002
terminal_rule_selected_full_path,105,0,local_loglinear,9,1.249098470948718,0.0325573552025544,0.9224583974057079,1.3590898879863988,-0.03952386561591219,0.7643840185601579
terminal_rule_selected_full_path,105,0,local_loglinear,10,1.2708876137042526,0.03234249238877751,0.9163706176820291,1.4059262131508452,-0.04117068785849731,0.7486275836941617
terminal_rule_selected_full_path,105,0,local_loglinear,11,1.292742006981457,0.03214069234342044,0.9106529497302457,1.455657844987572,-0.042203828947554915,0.7326261074965138
terminal_rule_selected_full_path,105,0,local_loglinear,12,1.3146783992728734,0.031950906043166465,0.9052756712230497,1.5084039351849436,-0.0426655091792676,0.7164346119708344
terminal_rule_selected_full_path,105,0,local_loglinear,13,1.336716853166069,0.03177212635406817,0.9002102466985978,1.5642991909287836,-0.04259786816948678,0.7001025943163449
terminal_rule_selected_full_path,105,0,local_loglinear,14,1.3588800974559028,0.03160339481891541,0.8954295198692697,1.6234941768003661,-0.04204231867698288,0.6836747029200952
terminal_rule_selected_full_path,105,0,local_loglinear,15,1.3811929770485263,0.03144380589010101,0.8909078335528617,1.6861557649409524,-0.04103904249437732,0.6671912963735911
terminal_rule_selected_full_path,105,0,local_loglinear,16,1.4036820385047777,0.0312925085957827,0.8866210768805095,1.7524677948254443,-0.039626627681550355,0.6506889026649522
terminal_rule_selected_full_path,105,0,local_loglinear,17,1.426375201120985,0.031148706695638538,0.8825466897097582,1.8226319005762974,-0.0378418118800147,0.634200595860495
terminal_rule_selected_full_path,105,0,local_loglinear,18,1.4493015030501883,0.03101165771801716,0.8786636353438195,1.8968685094496027,-0.03571931421178316,0.6177563172827345
terminal_rule_selected_full_path,105,0,local_loglinear,19,1.47249092834934,0.030880671010282114,0.8749523452913263,1.9754180405536719,-0.033291745055933256,0.6013831479035868
terminal_rule_selected_full_path,105,0,local_loglinear,20,1.4959742972214636,0.03075510518039658,0.8713946467779028,2.058542305161224,-0.030589575364286664,0.5851055365497946
terminal_rule_selected_full_path,105,0,local_loglinear,21,1.5197831875741952,0.03063436539755486,0.867973686264054,2.1465260865785725,-0.027641144868728023,0.5689455219388043
terminal_rule_selected_full_path,105,0,local_loglinear,22,1.5439499149356526,0.030517900295234705,0.8646738416983165,2.2396789617684814,-0.024472710672790606,0.5529228977957494
terminal_rule_selected_full_path,105,0,local_loglinear,23,1.5685075492078666,0.030405198786301046,0.8614806322785294,2.338337364473647,-0.021108521226159957,0.5370554092873168
terminal_rule_selected_full_path,105,0,local_loglinear,24,1.5934899560494724,0.030295786948747835,0.8583806302145217,2.442866900631864,-0.017570906078966584,0.5213588979317173
terminal_rule_selected_full_path,105,0,local_loglinear,25,1.6189318467128933,0.03018922515330002,0.8553613793435003,2.5536649188074807,-0.013880372302692796,0.5058474596797065
terminal_rule_selected_full_path,105,0,local_loglinear,26,1.6448688901680462,0.03008510487231329,0.8524113047155429,2.6711634581717867,-0.01005572067917888,0.49053357791956675
terminal_rule_selected_full_path,105,0,local_loglinear,27,1.6713378013299254,0.029983046087045676,0.8495196391329606,2.7958324755789365,-0.006114151331613015,0.4754282632758357
terminal_rule_selected_full_path,105,0,local_loglinear,28,1.6983764707164961,0.029882694587872217,0.8466763466563793,2.928183496290865,-0.002071377701715574,0.46054117318359244
terminal_rule_selected_full_path,105,0,local_loglinear,29,1.7260241058573882,0.02978371948438577,0.8438720520575966,3.0687736912028956,0.0020582626597863436,0.4458807329050448
terminal_rule_selected_full_path,105,0,local_loglinear,30,1.7543213719472348,0.029685811027750975,0.8410979791196108,3.218210407707321,0.006261704826720779,0.43145424402385396
terminal_rule_selected_full_path,105,0,local_loglinear,31,1.783310579053066,0.029588678287596558,0.8383458848152356,3.3771563032001097,0.01052704851472662,0.417267986622088
terminal_rule_selected_full_path,105,0,local_loglinear,32,1.8130358453982598,0.029492047353280565,0.8356080083429492,3.546335019417313,0.014843465956497411,0.40332731534383187
terminal_rule_selected_full_path,105,0,local_loglinear,33,1.8435433026859562,0.029395659423565725,0.8328770170010288,3.726537597195011,0.01920110748022382,0.38963674996323666
