T_solved,n_buffer,branch_iters,warm_start_T,status,elapsed_sec,branch_converged,max_u_residual,max_bgp_residual,residual_safe,error
30,0,60,,ok,5.49797797203064,true,1.0187088860673365e-7,9.985140561608041e-10,true,
45,0,60,30,ok,1.206002950668335,true,1.179029248801968e-7,9.985140561608041e-10,true,
60,0,60,45,ok,0.767117977142334,true,1.3789353756105648e-7,9.985140561608041e-10,true,
70,0,60,60,ok,0.994938850402832,true,1.581982999208967e-7,9.985140561608041e-10,true,
80,0,60,70,ok,1.1296429634094238,true,1.7889495376908808e-7,9.985140561608041e-10,true,
90,0,60,80,ok,1.3485150337219238,true,1.9534402793547443e-7,9.985140561608041e-10,true,
100,0,60,90,ok,1.6531529426574707,true,2.7039984346573995e-7,9.985140561608041e-10,true,
105,0,60,100,ok,1.7275111675262451,true,3.4175802765855584e-7,9.985140561608041e-10,true,
110,0,60,105,ok,1.8853490352630615,true,3.557468629190092e-7,9.985140561608041e-10,true,
