nu_b,t,e_W_over_e_US,Q_W_over_beta_e_US,Q_W_over_beta_e_W,Q_US_over_beta_e_W,zeta,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b
0.1,1,1.8911179616551044,1.9995097041712488,1.0573162249600125,0.4717159142978379,0.8920704383272011,1.0396491853085086,1.0843741369375528,0.9587550550077165
0.1,2,1.9694842106648112,2.060086791129633,1.0460032022466625,0.46198834584892384,0.9098787526606096,1.0421804127660521,1.074025331823612,0.970349936715655
0.1,3,2.0420803697022434,2.116358403796956,1.0363737075174682,0.4535673791461728,0.926221041291694,1.044607872327948,1.0640597398185216,0.9817191960538877
0.1,4,2.108713560394641,2.168166810106617,1.0281940851657676,0.44627308719854186,0.9410621106147455,1.046921814243347,1.0544692260764743,0.9928424541499327
0.1,5,2.169289648046695,2.21542810925687,1.021268926098329,0.43995586500820383,0.9543917035597256,1.0491133688068772,1.0452515911182998,1.0036945915427364
0.1,6,2.223799652611588,2.2581224571760976,1.0154343061094562,0.4344908863546037,0.9662206821382688,1.051174973380977,1.0364086373606933,1.0142476003074303
0.1,7,2.272306173047589,2.2962841991564167,1.010552286656278,0.4297736489150868,0.9765773154429389,1.0531006666144092,1.0279444667196858,1.0244723335833503
0.1,8,2.3149303962599825,2.329992363259032,1.0065064448690915,0.42571638152516933,0.9855037917784261,1.0548862536454195,1.0198640489756803,1.0343400718016431
0.1,9,2.351840078564585,2.35936182097605,1.00319823719309,0.422245137353075,0.9930530370059698,1.0565293462722931,1.012172081609518,1.0438238373382516
0.1,10,2.3832387335427705,2.3845352863679166,1.0005440297721324,0.4192974401129268,0.9992859001524573,1.058029324324341,1.0048721465882875,1.0528994438909778
0.1,11,2.4093561289274628,2.4056762616683804,0.9984726760751966,0.4168203658630604,1.0042687031539521,1.0593872046582662,0.9979661374551758,1.0615462438031362
0.1,12,2.4304401158099935,2.4229629294552915,0.9969235257819918,0.4147689829687828,1.0080711750010418,1.060605477074604,0.9914539350248563,1.0697476096537093
0.1,13,2.4467497351484817,2.4365829844903537,0.995844793395876,0.413105071974815,1.010764725442873,1.0616878876024174,0.9853332827304805,1.077491145595274
0.1,14,2.458549519227956,2.4467293230256404,0.99519220739307,0.41179608014424196,1.0124210548585828,1.0626392257845567,0.979599827785373,1.0847686939542596
0.1,15,2.466104866820288,2.4535965320131568,0.9949278982514401,0.41081425760397833,1.0131110400363343,1.0634650897498519,0.974247277073727,1.0915761478380537
0.1,16,2.469678374389293,2.4573780662684945,0.9950194696409244,0.41013595011689247,1.012903886563295,1.0641716805014352,0.969267637345185,1.0979131454509217
0.1,17,2.4695269887792732,2.458264044273568,0.9954392300400521,0.4097410113335613,1.0118664858979436,1.06476559450362,0.9646514983598912,1.1037826575856087
0.1,18,2.4658998659279745,2.4564395530810237,0.9961635454149347,0.40961232111198526,1.010062967712491,1.065253658544843,0.9603883389197952,1.1091905382181086
0.1,19,2.4590368149420816,2.4520834027507536,0.9971723025254946,0.40973538247235136,1.0075543898838863,1.065642771500002,0.9564668277197403,1.1141450394474652
0.1,20,2.4491672321818134,2.445367236664722,0.9984484540430071,0.41009799085016707,1.0043985611738262,1.065939781993882,0.9528751519139738,1.1186562897067924
0.1,21,2.4365094295068666,2.4364549442511003,0.9999776379869058,0.41068995890165866,1.000649957467679,1.0661514107479542,0.9496010763878354,1.1227361017780875
0.1,22,2.4212702794489283,2.4255023381468903,1.0017478671149944,0.4115028783369924,0.9963596892250478,1.066284121860192,0.9466325592729978,1.1263970496420332
