nu_b,T,max_funding_identity_error,max_NFA_adding_up_residual,max_NFA_equilibrium_identity_error,max_leakage_decomposition_error,max_switch_factorization_error,fixed_nu_b_error,max_common_growth_log_gap,residual_safe
0.1,80,2.38041664157862e-8,1.4210854715202004e-14,2.0630037056434958e-7,2.7755575615628914e-17,5.551115123125783e-17,0.0,9.619733356246163e-9,true
0.5,44,1.3404178877962636e-9,6.314393452555578e-16,2.602329907119838e-9,2.7755575615628914e-17,4.440892098500626e-16,0.0,9.220498184414616e-9,true
1.0,13,9.251514554442508e-9,1.5959455978986625e-16,9.832978542512194e-9,0.0,5.551115123125783e-17,0.0,7.841959998033943e-9,true
1.3,9,1.0583410370301749e-8,1.3877787807814457e-16,1.0638018688169382e-8,0.0,5.551115123125783e-17,0.0,4.620363897034352e-9,true
