nu_b,t,bubble_share_upper,log10_bubble_share_upper,a_t,dividend_leakage,switch_leakage,state_price_SDF_factor,physical_payoff_crash_factor
0.1,1,2.8771490645997687e-5,-4.541037636804123,0.0,0.0,0.0,NaN,NaN
0.1,2,3.802763223141469e-5,-4.4199007148420035,0.3217122706398465,0.034516507910841966,0.2871957627290045,0.3493499469646711,0.8220861781268508
0.1,3,5.0098923072873015e-5,-4.300171609632464,0.3174347213625942,0.03418103140637177,0.28325368995622247,0.3523341870461667,0.8039347312019639
0.1,4,6.577418440565624e-5,-4.181944528423848,0.31288619338148865,0.03386546928958557,0.2790207240919031,0.3554484387644663,0.7849822749588524
0.1,5,8.603971330119825e-5,-4.065301045424452,0.3081076425145193,0.03356914000746999,0.2745385025070493,0.35868278343646265,0.7654075277233965
0.1,6,0.00011212137102866734,-3.9503116002932686,0.3031351073447366,0.03329118022342616,0.26984392712131045,0.36202804324425825,0.7453674712686505
0.1,7,0.00014553357065713186,-3.837036815135373,0.29800027703836784,0.03303060595475745,0.2649696710836104,0.3654758324815973,0.7249991587253648
0.1,8,0.000188135765018844,-3.7255286362739177,0.29273104596657107,0.032786361100751595,0.25994468486581945,0.3690185992391034,0.7044216345783424
0.1,9,0.00024219695886546662,-3.6158313143566265,0.2873520292178766,0.03255735526366294,0.2547946739542137,0.3726496549778012,0.6837378501514829
0.1,10,0.00031046865372500967,-3.5079822415468964,0.2818850210975028,0.032342492415469576,0.24954252868203325,0.37636319030102583,0.6630364900521811
0.1,11,0.0003962664785974828,-3.402012664420494,0.27634939580234325,0.03214069236842515,0.2442087034339181,0.3801542761903605,0.6423936773280743
0.1,12,0.0005035605590346731,-3.2979482929890995,0.2707624445472635,0.03195090607634442,0.23881153847091907,0.38401885034129785,0.6218745206353142
0.1,13,0.0006370744341626311,-3.195809822833318,0.2651396594362053,0.03177212638860225,0.23336753304760308,0.38795369021524995,0.6015345102610644
0.1,14,0.0008023920418104967,-3.0956133873342564,0.2594949644544421,0.0316033948726092,0.22789156958183288,0.3919563740530805,0.5814207515629553
0.1,15,0.001006071965484218,-2.997370952585427,0.25384090701366263,0.03144380595177281,0.22239710106188984,0.39602523300228054,0.5615730577970751
0.1,16,0.001255767770798163,-2.901090667275542,0.2481888114174488,0.031292508625507746,0.21689630279194105,0.400159296403795,0.5420249004363356
0.1,17,0.0015603528710901782,-2.8067771755959394,0.2425489070311317,0.03114870672111381,0.21140020031001788,0.40435823388530934,0.522804242858521
0.1,18,0.0019300479506021056,-2.7144319011356406,0.23693043180266715,0.031011657737410273,0.20591877406525688,0.40862229603843037,0.5039342592453411
0.1,19,0.0023765485667084038,-2.6240533061165636,0.2313417218297643,0.030880671025691853,0.20046105080407245,0.41295225673931096,0.4854339636909159
0.1,20,0.002913150147514844,-2.5356371306978795,0.22579028609949675,0.03075510522808559,0.19503518087141117,0.41734935796159234,0.4673187514268557
0.1,21,0.003554867238537666,-2.449176613962946,0.22028287541933236,0.030634365401029505,0.18964851001830285,0.42181525124295105,0.4496008844143756
0.1,22,0.004318543489562194,-2.364662702514823,0.21482553349549957,0.030517900310827205,0.18430763318467236,0.4263519911425555,0.43228983800628495
0.1,23,0.005222948712641741,-2.282084238747736,0.20942366917583904,0.030405198786118418,0.17901847038972063,0.43096191748687374,0.4153927832734158
0.1,24,0.00628885898933187,-2.2014281430424214,0.20408208759740928,0.03029578699073928,0.17378630060667,0.43564770014450116,0.3989147665625834
0.1,25,0.00753911589460352,-2.1226795804707668,0.19880504673304425,0.030189225200639155,0.1686158215324051,0.44041227042275,0.38285904561776046
0.1,26,0.008998660836157454,-2.045822116642976,0.19359629987896518,0.030085104939686032,0.16351119493927915,0.4452588070105177,0.367227312216683
0.1,27,0.010694540691693889,-1.9708378627377354,0.18845913702205902,0.029983046197184338,0.15847609082487468,0.4501907183507059,0.35201989815662804
0.1,28,0.012655881200834924,-1.8977076104949446,0.18339642306138054,0.029882694722376577,0.15351372833900395,0.4552116301686738,0.3372359539278931
0.1,29,0.014913825009730144,-1.8264109569778626,0.1784106355823137,0.029783719665454095,0.14862691591685961,0.4603253775112266,0.3228736089251018
0.1,30,0.017501431789824006,-1.7569264202860668,0.1735038984570112,0.0296858112156292,0.14381808724138198,0.465536000321895,0.308930108824965
0.1,31,0.020453538546595554,-1.6892315464185534,0.16867801401757385,0.029588678465434365,0.13908933555213948,0.4708477432007274,0.2954019373792437
0.1,32,0.023806579030206183,-1.6233030075789978,0.16393449358271261,0.029492047504103072,0.13444244607860953,0.4762650581137994,0.2822849247245967
0.1,33,0.027598362008760462,-1.5591166929951665,0.15927458429634964,0.02939565949930487,0.12987892479704477,0.48179260999155116,0.2695743398789831
0.1,34,0.031867809165341966,-1.4966477921932748,0.15469929538667096,0.029299269071743718,0.12540002631492725,0.4874352854654691,0.2572649745600144
