nu_b,path,t,regime,phi_US,phi_W,e_US,e_W,Q_US,Q_W,q_US,q_W,N_US,N_W
0.1,all_u,1,u,0.9880491467316569,0.7484992855702696,2.689294087761685,5.085772353539001,1.0795678900471426,2.4197713316324347,1.0769936913319347,2.3149722406011226,1.0,1.0
0.1,realized_switch_tau_5,1,u,0.9880491467316569,0.7484992855702696,2.689294087761685,5.085772353539001,1.0795678900471426,2.4197713316324347,1.0769936913319347,2.3149722406011226,1.0,1.0
0.1,all_u,2,u,0.9779677241405221,0.7526055736101508,2.700251744659502,5.318103175926998,1.10560576018519,2.5032388283540037,1.0981306116014495,2.2927273667010906,1.0023901706536686,1.0452701285973516
0.1,realized_switch_tau_5,2,u,0.9779677241405221,0.7526055736101508,2.700251744659502,5.318103175926998,1.10560576018519,2.5032388283540037,1.0981306116014495,2.2927273667010906,1.0023901706536686,1.0452701285973516
0.1,all_u,3,u,0.9684625565138665,0.7561498531420735,2.7211552098206506,5.55681763688774,1.1341760453803806,2.5915228633529113,1.1194468310389876,2.273783845193491,1.0068071580054028,1.091817049296973
0.1,realized_switch_tau_5,3,u,0.9684625565138665,0.7561498531420735,2.7211552098206506,5.55681763688774,1.1341760453803806,2.5915228633529113,1.1194468310389876,2.273783845193491,1.0068071580054028,1.091817049296973
0.1,all_u,4,u,0.9595216298715907,0.7591967256735758,2.751642150783762,5.802425116711195,1.1652597765328792,2.684708633078883,1.140890608353843,2.257685912168579,1.013157582774809,1.1397402039033229
0.1,realized_switch_tau_5,4,u,0.9595216298715907,0.7591967256735758,2.751642150783762,5.802425116711195,1.1652597765328792,2.684708633078883,1.140890608353843,2.257685912168579,1.013157582774809,1.1397402039033229
0.1,all_u,5,u,0.9511256335449826,0.7618028423708925,2.791443398320569,6.0554492670850975,1.198858689141173,2.78290897651751,1.1624243139151902,2.2440519432740578,1.0213597763016016,1.1891417750399724
0.1,realized_switch_tau_5,5,b,0.8831400282844702,0.7862281021898649,1.7934994273077118,5.158704385186571,0.9018609264462824,2.2271981331897135,0.8628340855043175,1.8035472445514897,1.0213597763016016,1.1891417750399724
0.1,all_u,6,u,0.9432501063304076,0.7640177509885969,2.8403765135126893,6.316428304035632,1.2349937395870867,2.886263096399348,1.184022557391654,2.2325614404160468,1.0313434386994773,1.240126809389832
0.1,realized_switch_tau_5,6,b,0.8831400282583375,0.7862281021920967,1.7976477484063775,5.170636346716286,0.9039469091608983,2.2323495899112205,0.8450786271727257,1.7407370860798281,1.0452309912155986,1.2348986919627816
0.1,all_u,7,u,0.9358671687181274,0.7658847120573105,2.8983399996193446,6.585915872725783,1.2737038932311167,2.9949355552090124,1.2056704375073242,2.2229444284887183,1.0430491647960827,1.2928034338268788
0.1,realized_switch_tau_5,7,b,0.8831400279500293,0.7862281022409702,1.8018056644690665,5.182595923311588,0.906037717274072,2.237512968785519,0.8276885423382236,1.6801143532293294,1.0696601240349917,1.2824162866194302
0.1,all_u,8,u,0.9289468978546283,0.7674414565270962,2.9653083111095246,6.864482343669791,1.315045162975733,3.109115573817179,1.2273619354007106,2.214972821426378,1.0564279040169957,1.3472831424963407
