nu_b,available,direct_T80,T_max,plot_horizon,next_failed,max_u_residual,max_bgp_residual,xi_W_eff_min,xi_W_eff_max,max_common_growth_log_gap,theta_US_star_min,psi_min,equity_weight_min
0.1,true,residual_safe,80,80,,2.68223946635149e-7,2.2443232822437213e-11,0.04768472237988387,0.06246390287383108,9.619733356246163e-9,0.007441197658476982,0.9525656820071635,0.21183263806599992
0.5,true,unavailable,44,44,45,1.632865410057639e-8,9.309115660475803e-10,0.3010863527368462,2.8381238937433912,9.220498184414616e-9,0.0070799141497568585,0.7758591732285941,0.1083604212338518
1.0,true,unavailable,13,13,14,6.762990065643257e-8,7.461081810181601e-10,0.6021727590110088,2.5568412520166346,7.841959998033943e-9,0.017132321491746403,0.882940103415944,0.1661700485197317
1.3,true,unavailable,9,9,10,7.574086898863335e-8,4.796181080916849e-11,0.7828245318713171,2.53225068709388,4.620363897034352e-9,0.02189937291697988,0.9017148179777189,0.17779971054187968
