nu_b,t,s_W,A_t,B_t,zeta,m_t,mu_t,zeta_from_A_B,zeta_from_m_mu
0.1,1,0.4501099780043991,1.8915801424984515,1.9995097041712488,0.8920704383272011,1.8911179616551044,0.47579230123200567,0.8920704383272027,0.8920704383272026
0.1,2,0.4501099780043991,1.969965543871888,2.060086791129633,0.9098787526606096,1.9694842106648112,0.47070144101099815,0.9098787527422552,0.9098787527422547
0.1,3,0.4501099780043991,2.042579445088649,2.116358403796956,0.926221041291694,2.0420803697022434,0.4663681683828606,0.9262210412916931,0.9262210412916931
0.1,4,0.4501099780043991,2.109228920637356,2.168166810106617,0.9410621106147455,2.108713560394641,0.4626873383245955,0.9410621105307388,0.9410621105307385
0.1,5,0.4501099780043991,2.1698198128165966,2.21542810925687,0.9543917035597256,2.169289648046695,0.45957101674424805,0.9543917035597267,0.9543917035597266
0.1,6,0.4501099780043991,2.224343139384872,2.2581224571760976,0.9662206821382688,2.223799652611588,0.4569454377492553,0.9662206822087742,0.9662206822087741
0.1,7,0.4501099780043991,2.2728615145993567,2.2962841991564167,0.9765773154429389,2.272306173047589,0.4547485289953251,0.97657731544294,0.9765773154429398
0.1,8,0.4501099780043991,2.315496154982879,2.329992363259032,0.9855037917784261,2.3149303962599825,0.45292790019109125,0.985503791723847,0.9855037917238466
0.1,9,0.4501099780043991,2.352414857850155,2.35936182097605,0.9930530370059698,2.351840078564585,0.4514392067368906,0.9930530368741048,0.9930530368741043
0.1,10,0.4501099780043991,2.3838211865203744,2.3845352863679166,0.9992859001524573,2.3832387335427705,0.45024481339745953,0.9992859001524579,0.9992859001524577
0.1,11,0.4501099780043991,2.4099449648806766,2.4056762616683804,1.0042687031539521,2.4093561289274628,0.4493127042338385,1.004268703212296,1.004268703212296
0.1,12,0.4501099780043991,2.4310341045961015,2.4229629294552915,1.0080711750010418,2.4304401158099935,0.4486155866018963,1.00807117514081,1.0080711751408096
0.1,13,0.4501099780043991,2.4473477099332275,2.4365829844903537,1.010764725442873,2.4467497351484817,0.4481301570281442,1.0107647254428738,1.0107647254428738
0.1,14,0.4501099780043991,2.4591503778276027,2.4467293230256404,1.0124210548585828,2.458549519227956,0.4478364933268815,1.0124210548019623,1.0124210548019623
0.1,15,0.4501099780043991,2.466707571913381,2.4535965320131568,1.0131110400363343,2.466104866820288,0.447717554213148,1.0131110399002243,1.0131110399002243
0.1,16,0.4501099780043991,2.470281952831788,2.4573780662684945,1.012903886563295,2.469678374389293,0.44775876133841597,1.0129038865632936,1.012903886563294
0.1,17,0.4501099780043991,2.4701305302237966,2.458264044273568,1.0118664858979436,2.4695269887792732,0.44794765351802346,1.0118664859502284,1.0118664859502289
0.1,18,0.4501099780043991,2.4665025209197586,2.4564395530810237,1.010062967712491,2.4658998659279745,0.44827359543672063,1.010062967838735,1.0100629678387352
0.1,19,0.4501099780043991,2.45963779263464,2.4520834027507536,1.0075543898838863,2.4590368149420816,0.4487275361364726,1.0075543898838863,1.007554389883886
0.1,20,0.4501099780043991,2.4497657977921135,2.445367236664722,1.0043985611738262,2.4491672321818134,0.44930180431935324,1.0043985611273913,1.0043985611273911
0.1,21,0.4501099780043991,2.437104901606326,2.4364549442511003,1.000649957467679,2.4365094295068666,0.4499899370941077,1.0006499573552259,1.0006499573552259
0.1,22,0.4501099780043991,2.4218620271676943,2.4255023381468903,0.9963596892250478,2.4212702794489283,0.45078654020174747,0.996359689020804,0.996359689020804
