nu_b,t,Y_US,delta_NFA,VA,CA,VA_asset,VA_liability,CA_asset,CA_liability,CA_bond,adding_up_residual,n_W,n_US_star,bond,q_W,q_US,NFA
0.1,1,2.724277160731979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32728177615795895,0.4188124200974726,-0.17597544291825196,2.3149722406011226,1.0769936913319347,0.13061444944561534
0.1,2,2.733395545733502,-0.02110692444539214,-0.016132746571895153,-0.0049741778734969586,-0.007280341840412312,-0.00885240473148284,0.012082734984196082,-0.012854607923178807,-0.004202304934514234,-2.7755575615628914e-17,0.3325518030960425,0.43051832082309976,-0.1801777478527662,2.2927273667010906,1.0981306116014495,0.1095075250002232
0.1,3,2.7525705622806886,-0.019163725961310163,-0.015476725232886462,-0.003687000728423727,-0.006299702234340869,-0.009177022998545593,0.013416504262297546,-0.013151065891655487,-0.003952439099065785,2.6020852139652106e-17,0.33845232186815816,0.442266146201684,-0.18413018695183198,2.273783845193491,1.1194468310389876,0.09034379903891304
0.1,4,2.7814295079208087,-0.01736460783414967,-0.014932239562607877,-0.002432368271541769,-0.005448382809559653,-0.009483856753048225,0.014790414775211648,-0.013511293133241056,-0.0037114899135123613,-2.42861286636753e-17,0.345003461110111,0.45410890573910895,-0.18784167686534434,2.257685912168579,1.140890608353843,0.07297919120476337
0.1,5,2.8196932232660123,-0.01568835110168021,-0.01448241392624888,-0.0012059371754314513,-0.004703766457277361,-0.00977864746897152,0.016206469744059343,-0.013931192180038007,-0.003481214739452787,1.214306433183765e-16,0.35222542840575843,0.46609350724242404,-0.19132289160479712,2.2440519432740578,1.1624243139151902,0.05729084010308316
0.1,6,2.8671696583669397,-0.01411514849350548,-0.014114048343981379,-1.1001495241191872e-6,-0.00404724729176052,-0.010066801052220858,0.017669030227220963,-0.014406819398912137,-0.003263310977832945,1.734723475976807e-17,0.36013966982700607,0.4782611972150287,-0.19458620258263007,2.2325614404160468,1.184022557391654,0.04317569160957768
0.1,7,2.923748065402951,-0.012626585011989433,-0.013816808561518238,0.001190223549528937,-0.0034634675002304456,-0.010353341061287793,0.019184194217335946,-0.014934536971904756,-0.0030594336959022528,-1.3183898417423734e-16,0.36876975250989996,0.49064811200310404,-0.19764563627853232,2.2229444284887183,1.2056704375073242,0.03054910659758825
0.1,8,2.989393976775939,-0.011205529679291892,-0.013582580051394778,0.002377050372102939,-0.0029396875634854205,-0.010642892487909358,0.020759319910177158,-0.015511124100938455,-0.0028711454371357636,-5.377642775528102e-17,0.3781420209681688,0.5032858870990657,-0.20051678171566809,2.214972821426378,1.2273619354007106,0.019343576918296357
0.1,9,3.064145040053047,-0.009835981164552865,-0.013404961454529407,0.0035689802899763826,-0.002465272217316717,-0.010939689237212691,0.022402675747026646,-0.01613385194130209,-0.0026998435157481737,1.5959455978986625e-16,0.3882860773842064,0.5162022843059764,-0.20321662523141626,2.2084533867150364,1.2490984663022007,0.009507595753743492
0.1,10,3.1481077266210313,-0.008502906614285877,-0.013278884660874273,0.00477597804658841,-0.002031278267358569,-0.011247606393515705,0.024123207878762504,-0.016800524172655228,-0.0025467056595188664,-1.3877787807814457e-17,0.3992351365264167,0.5294218042886852,-0.20576333089093513,2.203221990624188,1.2708876112468765,0.0010046891394576152
0.1,11,3.2414549130006094,-0.007192048213947033,-0.013200306733422477,0.006008258519475583,-0.0016301144118206039,-0.011570192321601874,0.025930382026927486,-0.017509498549014655,-0.0024126249584372483,-1.3877787807814457e-16,0.4110262889913446,0.5429662690679753,-0.20817595584937237,2.199138897071843,1.2927420045262528,-0.006187359074489418
0.1,12,3.344424301925941,-0.005889756143713565,-0.013165994648894307,0.007276238505180686,-0.0012552739632129854,-0.011910720685681322,0.027834114960260087,-0.01825968245324964,-0.002298194001829762,5.551115123125783e-17,0.4237007147329912,0.5568553559408695,-0.21047414985120214,2.1960848978585727,1.3146783960927613,-0.012077115218202983
0.1,13,3.4573176643049432,-0.004582796629774899,-0.013173340612440635,0.00859054398266574,-0.0009011096678629174,-0.012272230944577718,0.029844748480694027,-0.019050520970226085,-0.0022036835278022027,-3.469446951953614e-18,0.4373038678486486,0.5711070809595774,-0.21267783337900434,2.193958138010101,1.3367168497300481,-0.016659911847977882
0.1,14,3.5805008639087434,-0.0032581945303442605,-0.013220243728423328,0.009962049198078946,-0.0005626589223834903,-0.012657584806039839,0.03197308649129087,-0.019881968164743063,-0.002129069128468858,1.214306433183765e-16,0.4518856630375346,0.5857382233807865,-0.2148069025074732,2.19267148366343,1.358880092365339,-0.019918106378322142
0.1,15,3.7144046526963224,-0.0019030515339522047,-0.013304997401655716,0.011401945867703666,-0.00023549146773780755,-0.013069505933917909,0.034230452630685984,-0.020754459261572048,-0.00207404750141027,-1.5439038936193583e-16,0.4675006743817962,0.6007646966515116,-0.21688095000888347,2.192150353016897,1.3811929710750173,-0.021821157912274347
0.1,16,3.8595262106782244,-0.0005044011158127359,-0.013426228583148878,0.012921827467336087,8.440699046035596e-5,-0.013510635573609235,0.03662879195512741,-0.0216688730895787,-0.0020380913982126214,5.551115123125783e-17,0.4842083675105487,0.6162018630123214,-0.2189190414070961,2.192330902468664,1.4036820348447654,-0.022325559028087083
0.1,17,4.016431436527531,0.0009509648815018146,-0.013582827649584309,0.014533792531086033,0.00040074155726671935,-0.013983569206851029,0.03918077883306502,-0.02262650123395222,-0.002020485068026767,9.020562075079397e-17,0.5020733683272833,0.6320648009482923,-0.22093952647512285,2.1931585245920218,1.4263751976639947,-0.02137459414658527
0.1,18,4.185757983299346,0.002476637613797128,-0.013773919396121076,0.01625055700991838,0.0007169893110483836,-0.01449090870716946,0.041899955368855796,-0.02362901296648336,-0.002020385392454055,-1.7694179454963432e-16,0.5211657822348688,0.6483685258577597,-0.2229599118675769,2.1945865814384486,1.449301499975765,-0.01889795653278814
0.1,19,4.3682190676832295,0.004086768037994459,-0.013998813745778603,0.01808558178377284,0.0010364799044420303,-0.015035293650220632,0.044800868572828584,-0.024678430345001223,-0.002036856444054519,2.220446049250313e-16,0.5415615626496469,0.6651281743672576,-0.22499676831163143,2.196575353418062,1.4724909255116971,-0.014811188494793681
0.1,20,4.5646080692314195,0.00579621704794997,-0.014256990897682217,0.020053207945632257,0.0013624574065906852,-0.015619448304272903,0.047899235886193534,-0.025777100627327867,-0.0020689273132334096,-6.938893903907228e-17,0.5633429408064137,0.6823591527168982,-0.22706569562486484,2.19909114755959,1.4959742914345613,-0.009014971446843711
0.1,21,4.775803968741636,0.00762072660409685,-0.014548073997547059,0.022168800601643897,0.0016981428093151957,-0.016246216806862255,0.051212085479179055,-0.026927690557221134,-0.0021155943203140237,1.3877787807814457e-17,0.5865989039275371,0.7000772659408622,-0.22918128994517886,2.202105550840981,1.5197831855369939,-0.0013942448427468612
0.1,22,5.002777682152737,0.00957715988704222,-0.01487177395401521,0.024448933841057646,0.002046801653639569,-0.01691857560765478,0.05475798261318737,-0.02813314814179574,-0.002175900630333988,-2.1510571102112408e-16,0.6114257588460525,0.7182988079273323,-0.23135719057551285,2.2055948203229647,1.5439499117410183,0.008182915044295358
0.1,23,5.246599320419685,0.01168357579943291,-0.015227947609182835,0.02691152340861559,0.0024117728092850343,-0.01763972041846787,0.058557168697037504,-0.029396726822850317,-0.0022489184655715977,1.5612511283791264e-16,0.637927739593461,0.7370406538761148,-0.23360610904108445,2.2095393267072505,1.5685075473987575,0.01986649084372827
0.1,24,5.508446521798843,0.013959563477785819,-0.015616495551609426,0.02957605902939517,0.002796550919715986,-0.01841304647132541,0.06263180160989999,-0.03072196216117089,-0.002333780419333936,7.632783294297951e-17,0.6662177017462728,0.7563203249891715,-0.23593988946041838,2.213923131872234,1.5934899501664892,0.03382605432151409
0.1,25,5.7896138897727445,0.01642640122609129,-0.016037396130850114,0.03246379735694135,0.0032048223110991724,-0.019242218441949288,0.06700617490388178,-0.0321126805970497,-0.0024296969498907306,6.245004513516506e-17,0.6964178910590916,0.7761560461740821,-0.23836958641030911,2.218733604939369,1.6189318400723631,0.05025245554760538
0.1,26,6.091523689358876,0.019107339331953188,-0.016490660391753988,0.03559799972370727,0.003640530944516178,-0.020131191336270164,0.07170696325891072,-0.033573008417855175,-0.0025359551173482764,-9.71445146547012e-17,0.7286607944095426,0.7965667967210642,-0.2409055415276574,2.223961114156543,1.6448688812582215,0.06935979487955857
0.1,27,6.415737919068344,0.022027875045373735,-0.0169763152999491,0.0390041903453227,0.004107936701670393,-0.02108425200161949,0.07676349903120253,-0.03510738277404422,-0.0026519259118356064,1.3183898417423734e-16,0.7630900828369235,0.8175723546835654,-0.243557467439493,2.229598767140191,1.671337787680645,0.0913876699249323
0.1,28,6.763971915948346,0.025216056293365874,-0.017494389765015397,0.042710446058381396,0.004611676261596606,-0.022106066026612,0.08220808106452117,-0.03672056594178737,-0.0027770690643524054,-1.249000902703301e-16,0.7998616563123547,0.8391933362138884,-0.2463345365038454,2.2356421902763586,1.698376453922201,0.11660372621829818
0.1,29,7.138109683943481,0.028702854289208046,-0.018044862826180272,0.04674771711538852,0.005156843561001012,-0.023201706387181283,0.08807630935981897,-0.0384176686817718,-0.0029109235626586516,-2.0122792321330962e-16,0.8391447959344941,0.8614512346129433,-0.24924546006650405,2.2420893596340896,1.726024083361036,0.14530658050750622
0.1,30,7.540221135941996,0.03252253531458105,-0.018627652901729626,0.05115018821631052,0.005749060389584511,-0.024376713291314137,0.09440747273059161,-0.040204171030062595,-0.003053113484218495,1.5959455978986625e-16,0.8811234408347506,0.8843684561829989,-0.25229857355072255,2.248940454245458,1.754321347688792,0.17782911582208727
0.1,31,7.97258150396719,0.036713111756902395,-0.019242572715874012,0.055955684472776365,0.006394567639922862,-0.025637140355796874,0.10124497668431964,-0.04208595077292106,-0.0032033414386222203,4.163336342344337e-17,0.9259976000160531,0.9079683561887443,-0.25550191498934477,2.2561977434555427,1.7833105548190968,0.21454222757898966
0.1,32,8.437693191200573,0.04131685285951736,-0.019889272965665443,0.06120612582518277,0.007100330066219042,-0.026989603031884486,0.10863682394013767,-0.04406931649958787,-0.0033613816153670317,3.469446951953614e-17,0.973984913588323,0.9322752760723246,-0.2588632966047118,2.263865506380734,1.8130358231590367,0.255859080438507
0.1,33,8.938310373349143,0.04638082750535788,-0.02056721644705046,0.06694804395240872,0.00787413893134698,-0.02844135537839744,0.11663616684861042,-0.046161040009424364,-0.003527082886777333,-3.885780586188048e-16,1.0253223852493236,0.9573145796272177,-0.26239037949148913,2.271949963153619,1.8435432881839817,0.3022399079438649
0.1,34,9.477466735829646,0.05195757088432118,-0.02127559253109141,0.07323316341541217,0.008724751073794206,-0.030000343604885616,0.1253018971614725,-0.04836840639652515,-0.003700327349535182,4.163336342344337e-16,1.080268290449045,0.9831126961165239,-0.2660907068410243,2.2804592390646024,1.874881308353452,0.3541974788281861
0.1,35,10.058506762688198,0.058105900531239874,-0.02201319459883074,0.08011909513007068,0.009662053876732569,-0.03167524847556331,0.13469945486570284,-0.050699207316726745,-0.003881152418905409,-6.938893903907228e-17,1.139104342243439,1.0096971384170355,-0.2699718592599297,2.2894033633734963,1.907100654722069,0.41230337935942596
0.1,36,10.685121001831424,0.06489146093792209,-0.02277851670600127,0.08766997764392317,0.01069717076408306,-0.03347568747008433,0.14490141515160418,-0.053161899498165195,-0.004069538009515816,1.8041124150158794e-16,1.2021380029352018,1.0370965801616663,-0.27404139726944554,2.298794224568016,1.9402548414543066,0.47719484029734804
0.1,37,11.361386031017522,0.07238803736661792,-0.02356943126345848,0.09595746863007608,0.011842735188759862,-0.03541216645221834,0.15598859569847182,-0.055765542390570286,-0.004265584677825451,3.191891195797325e-16,1.269705148988029,1.0653408736939787,-0.278306981947271,2.308645618634125,1.9744003271589246,0.549582877663966
0.1,38,12.091809609639148,0.08067846671009082,-0.024383163363213098,0.10506163007330449,0.01311308554845343,-0.03749624891166653,0.168050976444091,-0.05851992036075321,-0.004469426010033306,-5.689893001203927e-16,1.3421729854445708,1.0944611032584257,-0.2827764079573043,2.31897328057903,2.0095968073067776,0.6302613443740568
0.1,39,12.88138183866001,0.08985590884887129,-0.025216148339929426,0.1150720571888009,0.014524524479752892,-0.03974067281968232,0.18118889663935472,-0.06143559341238056,-0.00468124603817327,-1.8041124150158794e-16,1.4199433052121977,1.124489632179432,-0.28745765399547757,2.329794929231824,2.0459075292697295,0.7201172532229281
0.1,40,13.735633205403293,0.10002530350739303,-0.02606383737602099,0.12608914088341366,0.0160956336054656,-0.04215947098148659,0.19551438652415967,-0.06452397206011526,-0.0049012735806307495,3.608224830031759e-16,1.503456121050305,1.1554601533121618,-0.2923589275761083,2.341130335051467,2.0833996232606498,0.8201425567303211
0.1,41,14.660700515191717,0.11130502227807026,-0.026920493915547936,0.1382255161936182,0.017847627149672394,-0.04476812106522033,0.2111526952745696,-0.06779739758369366,-0.005129781497257735,0.0,1.5931937196602315,1.18740774156257,-0.29748870907336605,2.3530014012567144,2.12214446525013,0.9314475790083914
0.1,42,15.663401895202362,0.12382879954754289,-0.027778913629033848,0.15160771317657723,0.019804782133030954,-0.0475836957620648,0.22824402978877362,-0.07126923458328403,-0.00536708202891234,-4.996003610813204e-16,1.6896851866433156,1.220368910431729,-0.3028557911022784,2.365432270076141,2.1622180592621136,1.0552763785559343
0.1,43,16.75132221950879,0.13774790185625596,-0.028630168222273912,0.16637807007852928,0.021994902676382794,-0.050625070898656706,0.2469455681854149,-0.07495396651376589,-0.005613531593119725,5.828670879282072e-16,1.7935114715528129,1.2543816691302858,-0.3084693226953981,2.3784494302254098,2.203701475027554,1.1930242804121902
0.1,44,17.93291058573536,0.15323371694858734,-0.029463194423233065,0.1826969113718207,0.024449914061329174,-0.05391310848456224,0.2674337460340283,-0.07886731050649105,-0.005869524155716566,-3.0531133177191805e-16,1.9053110511681481,1.2894855845799056,-0.3143388468511147,2.3920818571427356,2.246681303106469,1.3462579973607776
0.1,45,19.217591678276296,0.17048069093996876,-0.030264377275953727,0.2007450682159226,0.027206522754998963,-0.05747090003095269,0.2899069013523776,-0.08302633948531332,-0.006135493651141688,-1.3877787807814457e-16,2.0257862755810567,1.3257218458539175,-0.32047434050225637,2.406361164838095,2.2912501611985707,1.5167386883007463
0.1,46,20.61589321034829,0.189709760303705,-0.031017019749112924,0.22072678005281748,0.030307006506107945,-0.06132402625522087,0.31458831379958724,-0.08744962037232845,-0.006411913374441303,4.440892098500626e-16,2.1557104833214864,1.3631333321998476,-0.3268862538766977,2.4213217788334758,2.3375072447994834,1.7064484486044513
0.1,47,22.13959199592926,0.21117234073903735,-0.031700701619559395,0.2428730423585976,0.03380014695907083,-0.06550084857863023,0.34172970701829225,-0.09215736895030999,-0.006699295709384656,-8.604228440844963e-16,2.295935985258363,1.4017646851873413,-0.33358554958608233,2.437001132448249,2.385558926195113,1.9176207893434887
0.1,48,23.80188163671471,0.23515493662803655,-0.03229056036696602,0.26744549699500286,0.03774230022155513,-0.07003286058852115,0.3716153114420633,-0.0971716188256788,-0.006998195621381598,-2.7755575615628914e-16,2.4474030398424946,1.4416623833512032,-0.34058374520746393,2.453439874845201,2.4355194233659785,2.1527757259715252
0.1,49,25.617565373869695,0.26198459875680813,-0.03275629836828676,0.29474089712509355,0.04219873241144314,-0.0749550307797299,0.4045665237147228,-0.10251642045676042,-0.00730920613286884,1.3322676295501878e-15,2.6111499337969426,1.4828748240496659,-0.34789295134033277,2.4706821237614887,2.487511506703475,2.4147603247283334
