t,regime,is_switch,N_US,N_W,phi_US,phi_W,q_US,d_US,q_US_over_d_US,Q_US,aggregate_price_dividend_US,Y_US,Y_W,Y_W_over_Y_US,omega,omega_star,theta,theta_US_star,R_f,R_f_W,I_US,I_W,Psi,nu_b_eff,bgp_converged,bgp_residual,common_growth_log_gap,all_u_q_US,all_u_d_US,all_u_q_US_over_d_US,original_helper_finite
1,u,false,1.0,1.0,0.9932766422851227,0.7466805409353546,1.0667190368509896,0.03739578011241075,28.525117904866796,1.0681534235841932,28.56347481917349,2.725595527795278,5.291350195272988,1.9413556198315083,0.45138530502173735,0.21115375823105406,-0.13256979499398883,0.07010524895779272,1.0752095835098048,1.082066485073997,0.0014343867332037188,0.10601093123115696,0.9498797934550802,,,,,1.0667190368509896,0.03739578011241075,28.525117904866796,true
2,u,false,1.0013446715429755,1.0455975026316362,0.9850947192487884,0.7502535895968687,1.0833643712649312,0.037666465452542396,28.76203960867814,1.088055053238462,28.847780863747108,2.7301075960486854,5.535736320700589,2.027662326830093,0.45052685742569587,0.21026827811790683,-0.13101238613055913,0.06638515919076754,1.0768704603415336,1.0841253868650884,0.003233912732817231,0.10836476627316546,0.9487810521259147,,,,,1.0833643712649312,0.037666465452542396,28.76203960867814,true
3,u,false,1.004329736234591,1.0926016627732076,0.9771604546661242,0.7534054885927134,1.1005061758861976,0.037954274653829466,28.995579178461785,1.1103198551278055,29.12802834748748,2.742693704907298,5.787439386659844,2.1101296788280837,0.44969700214537617,0.20942142229848892,-0.12953969152569075,0.063122220278436,1.0782567727476196,1.0858992077676881,0.005048777775482021,0.1109827941379818,0.9477151099290295,,,,,1.1005061758861976,0.037954274653829466,28.995579178461785,true
4,u,false,1.008917423142769,1.1410989859481904,0.9695114709384454,0.7561709199962325,1.1180545030267444,0.038257647028899236,29.22434048759411,1.13490303070218,29.402541918446264,2.763223333132342,6.046917851508025,2.188356539626257,0.4488899802500833,0.20860390305844193,-0.12808535254590908,0.060227457929916024,1.0793794768191174,1.0874003088960331,0.006878362575267577,0.11386994960724302,0.9466717606802191,,,,,1.1180545030267444,0.038257647028899236,29.22434048759411,true
5,u,false,1.0150695047780085,1.1911809468168466,0.9621723310206097,0.7585831856660605,1.1359354434818032,0.038575258360370006,29.447254322184858,1.161776892753415,29.670038519955163,2.79158910751615,6.314657815992847,2.262029823440381,0.4481012587027607,0.2078085399054072,-0.12660405188552565,0.0576337227014728,1.080253464650395,1.0886448575854601,0.00872346467855341,0.11703122461747774,0.9456431562708852,,,,,1.1359354434818032,0.038575258360370006,29.447254322184858,true
6,u,false,1.0227490474215717,1.2429437465224922,0.9551573234477998,0.7606735474004699,1.1540886321782011,0.03890598384468929,29.663525199240926,1.1909289975155055,29.929563572422452,2.8277135622596736,6.591171054870822,2.330918924335358,0.44732721118089513,0.2070297168532771,-0.1250655179535092,0.055289306333882765,1.0808953578437281,1.0896506500673173,0.010585948315185533,0.120472111292017,0.9446231999034598,,,,,1.1540886321782011,0.03890598384468929,29.663525199240926,true
7,u,false,1.031921608367091,1.2964882236969717,0.948472656978005,0.7624709204784703,1.1724653384772796,0.039248869934123354,29.872588445098817,1.2223608251323042,30.18043946745192,2.8715533031024774,6.876994081817767,2.3948690328637605,0.4465648963055083,0.20626300542570133,-0.12345046684680261,0.05315371544753728,1.08132220401527,1.0904358255479658,0.012468507296163884,0.12419888433075307,0.9436071235148306,,,,,1.1724653384772796,0.039248869934123354,29.872588445098817,true
8,u,false,1.0425560441043191,1.3519198814863156,0.9421182212324031,0.7640017838547546,1.1910269302797607,0.03960311198806086,30.074074245448674,1.2560868284702196,30.42222242787174,2.923101517383525,7.172687976240708,2.4537936618297804,0.4458119019092555,0.20550489778714146,-0.12174776558003901,0.05119479346885992,1.0815507184279591,1.0910181172422422,0.014374503616041595,0.12821878333665654,0.9425911886538153,,,,,1.1910269302797607,0.03960311198806086,30.074074245448674,true
9,u,false,1.0546250437638525,1.4093490039586867,0.9360890218275343,0.765290217157954,1.2097435720405154,0.03996803565930189,30.267776539049596,1.292133723441558,30.654665180192847,2.982389462009543,7.478838779664632,2.5076667131949186,0.4450662319051769,0.20475261130053632,-0.11995237561808778,0.04938670402360859,1.0815968616938458,1.0914144350584136,0.016307855835290264,0.13254013599876086,0.9415724672902162,,,,,1.2097435720405154,0.03996803565930189,30.267776539049596,true
10,u,false,1.0681054673942778,1.4688908437188903,0.9303763440051582,0.7663580148367745,1.228593117563827,0.040343081399609404,30.453626122265465,1.330539991672239,30.87768468005189,3.049487343606217,7.79605833888252,2.5565144106035786,0.44432622635116037,0.2040039464516647,-0.11806383961700594,0.04770849174524115,1.081475628472091,1.0916406550702382,0.018272965599334792,0.13717244226530914,0.9405486835675898,,,,,1.228593117563827,0.040343081399609404,30.453626122265465,true
11,u,false,1.0829785489198915,1.5306658668075124,0.9249687048049748,0.7672248379669192,1.2475601333940038,0.04072779108535672,30.631666980892366,1.371355532365465,31.091333710404175,3.124504892284643,8.124985495544706,2.600407352732197,0.44359050227700786,0.20325717915688027,-0.11608512893088509,0.04614302757285063,1.0812009658787123,1.091711537078265,0.020274669412120347,0.14212643881591747,0.9395180944141246,,,,,1.2475601333940038,0.04072779108535672,30.631666980892366,true
12,u,false,1.0992300055586692,1.5948000459371448,0.9198526202785366,0.767908385953293,1.2666350542813243,0.04112179671590552,30.802035792161824,1.414641469925384,31.295776283927523,3.2075918228207736,8.466287564547645,2.639452908039386,0.4428579122946175,0.20251098102186868,-0.11402176183807058,0.04467622561583364,1.0807857716246532,1.0916407198581906,0.022318212166918525,0.14741415036530708,0.9384794025355758,,,,,1.2666350542813243,0.04112179671590552,30.802035792161824,true
13,u,false,1.1168500864900166,1.6614251949509413,0.9150132309264205,0.768424569204333,1.2858134247987374,0.04152481045389384,30.964943867146896,1.4604700688032868,31.491265973909606,3.2989383355501753,8.820662046895706,2.67378809474614,0.4421275125943819,0.20176435592028746,-0.1118811018025655,0.04329644467764328,1.0802419370588014,1.09144076155964,0.024409234106792556,0.15304893916343534,0.9374316875635094,,,,,1.2858134247987374,0.04152481045389384,30.964943867146896,true
14,u,false,1.1358335825680834,1.7306793408969383,0.9104347980681191,0.7687876791958623,1.3050952447947193,0.04193661619956505,31.120661681050347,1.508924779212477,31.678127350593748,3.3987757461347328,9.18883855594198,2.7035730634455692,0.4413985408034209,0.20101659206213635,-0.10967180526213244,0.041994028203428145,1.0795804146838845,1.091123203792403,0.026553771724721315,0.15904555305229562,0.9363743552441487,,,,,1.3050952447947193,0.04193661619956505,31.120661681050347,true
15,u,false,1.1561798154048277,1.8027071305527185,0.9061011047073206,0.7690105461933353,1.324484378921535,0.042357062079119746,31.26950534122267,1.560100371117905,31.85673974280054,3.507377326824889,9.571580928440508,2.728985232137923,0.4406703974795229,0.20026722154709029,-0.10740336764797583,0.040760939254195334,1.0788112943974528,1.0906986456596568,0.028758266389826613,0.1654201800491088,0.9353070944712838,,,,,1.324484378921535,0.042357062079119746,31.26950534122267,true
16,b,true,1.1778926168900692,1.877660270935474,0.7790665642762586,0.807362605143565,1.0624933269970707,0.02921481267635504,36.36830873322689,1.3068028188910503,37.9753038132056,2.0166907592360257,10.024345367487426,4.9706903855130005,0.4383338214185767,0.2007189349172168,-0.1708936840222995,0.036248756290172636,1.1060724127157437,1.119796085023103,0.055299773526234816,0.1318005172468132,0.9368595763843617,0.7883546449126457,true,6.544366243157431e-10,9.614995952200722e-10,1.3439880484965834,0.04278605406384587,31.411825135617043,true
17,b,false,1.2299397894426995,1.9427676358787929,0.7790665642762586,0.807362605143565,1.0528146072461348,0.028948682078368412,36.3683087332269,1.3521158546362428,37.975303813205606,2.0866189680975644,10.371936847299537,4.970690387596713,0.4383338214185767,0.2007189349172168,-0.17089368409393826,0.036248756290172636,1.1060724127157437,1.119796085023103,0.05721727827773339,0.1363706647377814,0.9368595763890006,0.7883546382414786,true,7.268325158884115e-10,6.730497201234975e-10,1.3636163771798553,0.04322355028485269,31.54799566887319,true
18,b,false,1.2842867541256817,2.0101325811924684,0.7790665642762586,0.807362605143565,1.0432240551375032,0.02868497577904662,36.3683087332269,1.3990001075838587,37.97530381320561,2.1589719186011282,10.731580968197802,4.9706903900589685,0.4383338214185767,0.2007189349172168,-0.1708936841785912,0.036248756290172636,1.1060724127157437,1.119796085023103,0.059201271985483424,0.14109928086396814,0.9368595763944823,0.7883546335716616,true,8.233643281063685e-10,4.711348047803376e-10,1.3833819902955609,0.04366955601660353,31.67840748757756,true
19,b,false,1.3410351311343776,2.079833387868721,0.7790665642762586,0.807362605143565,1.0337208676009653,0.028423671696796146,36.36830873322689,1.4475100593805337,37.9753038132056,2.2338336881849727,11.103695652270616,4.970690392485107,0.4383338214185767,0.2007189349172168,-0.17089368426200247,0.036248756290172636,1.1060724127157437,1.119796085023103,0.06125406014093074,0.1459918604826834,0.9368595763998836,0.7883546303027895,true,9.017966096092067e-10,3.297943584890106e-10,1.4032996690325812,0.04412411933160147,31.80346010957198,true
20,b,false,1.4002910309239287,2.1519510512721247,0.7790665642762586,0.807362605143565,1.0243042488352063,0.02816474794989242,36.36830873322688,1.497702080756805,37.9753038132056,2.311291269568826,11.488713312942403,4.970690394675196,0.4383338214185767,0.2007189349172168,-0.17089368433729835,0.036248756290172636,1.1060724127157437,1.119796085023103,0.06337802817559347,0.1510540889839365,0.9368595764047594,0.7883546280145792,true,9.727653010693595e-10,2.3085605649342256e-10,1.4233860406474435,0.04458732715354025,31.923556120462045,true
21,b,false,1.4621652526189615,2.226569375259738,0.7790665640990557,0.8073626049617906,1.0149734106711306,0.027908182860122036,36.368308741499064,1.5496344977283423,37.975303823132215,2.391434671810108,11.887081357161827,4.970690396557788,0.43833382065575105,0.2007189341577738,-0.17089368040295186,0.036248755442742496,1.106072412098339,1.119796084722853,0.06557564431285968,0.1562918491072056,0.9368595752475604,0.788354626412832,true,3.5737004317417016e-16,1.5673376485558776e-10,1.4436593185989322,0.045059301899919885,32.03909642908824,true
22,b,false,1.5267734912421773,2.303775069637678,0.7790665640990557,0.8073626049617906,1.0057275708849414,0.0276539549318478,36.368308741499064,1.6033676567644966,37.9753038231322,2.474357025263983,12.299262706866994,4.970690398066066,0.43833382065575105,0.20071893415777378,-0.17089368045480682,0.036248755442742496,1.106072412098339,1.119796084722853,0.06784946212598046,0.16171122694919465,0.9368595752509181,0.7883546253253669,true,5.240322251445451e-11,1.0971362707223875e-10,1.4641390747171705,0.04554019846788653,32.15047636978644,true
23,b,false,1.5942365538947,2.383657850708093,0.7790665640990557,0.8073626049617906,0.9965659555830959,0.02740204287932523,36.368308741499064,1.658963998721297,37.975303823132215,2.560154689149373,12.725736334040453,4.970690399285465,0.43833382065575105,0.20071893415777378,-0.1708936804967301,0.036248755442742496,1.106072412098339,1.119796084722853,0.07020212396372329,0.16731852026062122,0.936859575253633,0.7883546245641414,true,9.476961592644066e-11,7.679953895056713e-11,1.4848460533984642,0.04603020170691593,32.2580827008492,true
24,b,false,1.6646805857928675,2.4663105457321945,0.7790665640990557,0.8073626049617906,0.9874877975191525,0.0271524256059879,36.36830874149906,1.7164881289586416,37.9753038231322,2.6489273640717284,13.166997819560331,4.970690400253569,0.43833382065575105,0.20071893415777378,-0.1708936805300138,0.036248755442742496,1.106072412098339,1.119796084722853,0.07263636372115029,0.17312024495985895,0.9368595752557882,0.7883546240312835,true,1.284050661482937e-10,5.3759670326503084e-11,1.5058020058476498,0.046529524081954314,32.36229115938131,true
25,b,false,1.7382373060922305,2.5518292007315155,0.7790665640990557,0.8073626049617906,0.9784923364353948,0.026905082207434608,36.36830874149906,1.7760068930076574,37.9753038231322,2.7407782077247025,13.623559928438434,4.970690401011409,0.43833382065575105,0.20071893415777378,-0.17089368055606863,0.036248755442742496,1.106072412098339,1.119796084722853,0.07515501009030429,0.17912314290299894,0.9368595752574754,0.788354623658283,true,1.5473526049800732e-10,3.763176575910521e-11,1.5270295728799832,0.04703840392994291,32.46346485638159,true
26,b,false,1.815044254181462,2.6403131920975595,0.7790665640990557,0.8073626049617906,0.9695788190002528,0.026659991969708734,36.36830874149906,1.8375894542498,37.9753038231322,2.835813954766485,14.09595320567547,4.970690401598014,0.43833382065575105,0.20071893415777378,-0.17089368057623613,0.036248755442742496,1.106072412098339,1.119796084722853,0.07776098984734348,0.18533418971817925,0.9368595752587813,0.7883546233971827,true,1.751160547318881e-10,2.6342233949705474e-11,1.5485521759331677,0.047557103765974225,32.56195296403044,false
27,b,false,1.8952450468591773,2.7318653420714845,0.7790665640990557,0.8073626049617906,0.9607464987456726,0.02641713436757609,36.36830874149906,1.9013073742886553,37.9753038231322,2.9341450408515697,14.5847265927774,4.970690402047921,0.43833382065575105,0.20071893415777378,-0.17089368059170407,0.036248755442742496,1.106072412098339,1.119796084722853,0.08045733125362242,0.19176060291156827,0.9368595752597829,0.7883546232144124,true,1.907475361831149e-10,1.8439555438121147e-11,1.5703939588227267,0.04808590923367129,32.65809015259478,false
28,b,false,1.978989646874546,2.826592038228012,0.7790665640990557,0.8073626049617906,0.9519946360047147,0.0261764890628091,36.36830874149906,1.9672346961081162,37.97530382313221,3.035885730962535,15.090448065649284,4.97069040239035,0.43833382065575105,0.20071893415777378,-0.1708936806034769,0.036248755442742496,1.106072412098339,1.119796084722853,0.0832471675746839,0.19840985025441954,0.9368595752605453,0.7883546230864732,true,2.0264472584484848e-10,1.2907681867790899e-11,1.5925797302615647,0.04862512802758832,32.7521961352572,false
29,b,false,2.066434643333824,2.92460335710241,0.7790665640990557,0.8073626049617906,0.9433224978495417,0.025938035902481706,36.36830874149906,2.0354480301137476,37.975303823132194,3.1411542521912286,15.61370529460798,4.970690402649301,0.43833382065575105,0.20071893415777378,-0.17089368061237972,0.036248755442742496,1.106072412098339,1.119796084722853,0.08613374072125808,0.20528965846094752,0.9368595752611217,0.7883546229969158,true,2.1164172447798166e-10,9.035376613564239e-12,1.615134956808783,0.049175089476719384,32.84457586139065,false
30,b,false,2.1577435444971207,3.0260131921042084,0.7790665640990557,0.8073626049617906,0.9347293580298991,0.025701754917277757,36.36830874149906,2.1060266431574584,37.97530382313221,3.2500729311238565,16.155106327280546,4.970690402844038,0.43833382065575105,0.20071893415777378,-0.17089368061907487,0.036248755442742496,1.106072412098339,1.119796084722853,0.08912040501650577,0.21240802216710364,0.9368595752615554,0.7883546229342256,true,2.1840760037578454e-10,6.324760160048015e-12,1.6380857567906448,0.0497361441266576,32.935519742324836,false
