T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_effective,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,minus_nfa_final,cond_1b_final,bubble_share_final,bubble_share_max,error,search_stage,selected_for_downstream,search_right_censored,search_outcome
45,0,local_loglinear,91.96756601333618,ok,45,500,,true,4.861494162372316e-7,45,4.861494162372316e-7,7.028978302899893e-10,true,true,0.9887778638428714,true,0.10401832637183328,0.40859404019822676,T_report_plus_1_only,67.6533598232033,0.26536800565411967,0.2113672774330262,,0.27524741108512946,6.017438000439206,6.825875314129835,-42.59135505257086,0.03510093437027721,0.9873301219141472,0.9873301219141472,,coarse_grid,false,false,safe_at_cap_right_censored
46,0,local_loglinear,6.180690050125122,ok,46,500,45,true,4.909504583691672e-7,46,4.909504583691672e-7,7.028904708688332e-10,true,true,0.9887778647716711,true,0.0959813737777303,0.40859404019822676,T_report_plus_1_only,77.60977349197526,0.25559387805624667,0.2041368035713144,,0.2651961200875936,6.499871924166899,7.3731235086546425,-48.41464355943856,0.030937169783760012,0.9891944198323883,0.9891944198323883,,coarse_grid,false,false,safe_at_cap_right_censored
47,0,local_loglinear,5.634120941162109,ok,47,500,46,true,4.93497916502957e-7,47,4.93497916502957e-7,7.028841419317259e-10,true,true,0.9887778655807901,true,0.08830000416287032,0.40859404019822676,T_report_plus_1_only,89.18156490320021,0.24612147520959493,0.19718147532614058,,0.255443664311547,7.0245440999887405,7.968284619598859,-54.999813977354734,0.027238455321878775,0.9907995487962326,0.9907995487962326,,coarse_grid,false,false,safe_at_cap_right_censored
48,0,local_loglinear,5.841482877731323,ok,48,500,47,true,5.008319908875162e-7,48,5.008319908875162e-7,7.028791386324343e-10,true,true,0.9887778662386849,true,0.08099542792155434,0.40859404019822676,T_report_plus_1_only,102.64593787265662,0.23694915138047723,0.1904920392387365,,0.24599037422385336,7.595014884659809,8.615397349476616,-62.441731859464085,0.023958069811251228,0.9921784520024032,0.9921784520024032,,coarse_grid,false,false,safe_at_cap_right_censored
49,0,local_loglinear,5.844125986099243,ok,49,500,48,true,5.031623918768799e-7,49,5.031623918768799e-7,7.028743293046312e-10,true,true,0.9887778668109802,true,0.07408327652308555,0.40859404019822676,T_report_plus_1_only,118.32950776238968,0.2280737576431591,0.1840581073232518,,0.2368348116718401,8.215163601833934,9.318862187358407,-70.84705126692779,0.02105295678385001,0.9933605361312496,0.9933605361312496,,coarse_grid,false,false,safe_at_cap_right_censored
50,0,local_loglinear,5.996714115142822,ok,50,500,49,true,5.182306690443079e-7,50,5.182306690443079e-7,7.028705958508478e-10,true,true,0.9887778673181865,true,0.06757393857524852,0.40859404019822676,T_report_plus_1_only,136.61735191685378,0.21949093846710915,0.17786790509304404,,0.22797407389307006,8.88921931201414,10.083476358332973,-80.3361402058058,0.01848366200243708,0.9943719055177875,0.9943719055177875,,coarse_grid,false,false,safe_at_cap_right_censored
51,0,local_loglinear,6.274060010910034,ok,51,500,50,true,5.179269896608014e-7,51,5.179269896608014e-7,7.028672474484034e-10,true,true,0.9887778677374712,true,0.06147232900824495,0.40859404019822676,T_report_plus_1_only,157.96379243950648,0.21119529761948094,0.1719093234110052,,0.2194039741022969,9.621802267193516,10.91448085297071,-91.04459308384799,0.01621419682710181,0.9952356227241265,0.9952356227241265,,coarse_grid,false,false,safe_at_cap_right_censored
52,0,local_loglinear,6.277566909790039,ok,52,500,51,true,5.291998165578317e-7,52,5.291998165578317e-7,7.028647805063618e-10,true,true,0.9887778680706258,true,0.055778745375319794,0.40859404019822676,T_report_plus_1_only,182.90515444936537,0.20318069724851834,0.16616913040879905,,0.21111935713332844,10.417958360146784,11.817599478930383,-103.12610128212691,0.01421188903770603,0.9959719666173217,0.9959719666173217,,coarse_grid,false,false,safe_at_cap_right_censored
53,0,local_loglinear,6.318196058273315,ok,53,500,52,true,5.33396996091046e-7,53,5.33396996091046e-7,7.028621744890578e-10,true,true,0.9887778683584971,true,0.05048876101635258,0.40859404019822676,T_report_plus_1_only,212.07499604806156,0.19544037259529845,0.16063432499806313,,0.20311423543697563,11.283209511247412,12.799096005228906,-116.75428947259661,0.01244718278540915,0.996598698560007,0.996598698560007,,coarse_grid,false,false,safe_at_cap_right_censored
54,0,local_loglinear,6.555938959121704,ok,54,500,53,true,5.392565242576077e-7,54,5.392565242576077e-7,7.028608042145584e-10,true,true,0.9887778685999042,true,0.04559409060966735,0.40859404019822676,T_report_plus_1_only,246.2221546772842,0.1879671584387904,0.155291627055163,,0.1953820373847836,12.22359727544471,13.86582366629543,-132.12614186578412,0.010893441391190549,0.9971313140454997,0.9971313140454997,,coarse_grid,false,false,safe_at_cap_right_censored
