T_report,n_buffer,terminal_rule,solved_t,is_reported_period,periods_to_extended_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_Q_US,Q_US_over_beta_e_US,abs_US_funding_gap,omega_times_one_minus_theta,omega_star_S_star_over_beta_e_US,omega_US,theta_US,omega_star,S_star_over_beta_e_US,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
45,0,local_loglinear,38,true,7,0.043068450427351385,0.03673328773001244,0.2210611621119042,0.8544065971945025,0.14559340280549748,0.8417578076671424,0.012648793377882933,0.8360676835291521,-0.0068058175792318765,0.34676170614811075,0.03647690374576803,0.35257827358913296,0.32450359417699304,0.0829760382083835,0.2834629738893553,3.5952395252626883,0.6096250572819317,6.045171115255083e-9
45,0,local_loglinear,39,true,6,0.03857973537366461,0.032368888275259196,0.2053093776077584,0.8618299033414057,0.13817009665859425,0.8499538770366137,0.011876030766771078,0.8451367436200735,-0.005699827220748221,0.3590978973245062,0.03307184713487492,0.3407944637096858,0.3150614437592518,0.07851187048272101,0.2735989002966965,3.8593305257460324,0.6006437949719827,6.818608066846357e-9
45,0,local_loglinear,40,true,5,0.034509431099952526,0.02844889958643935,0.19025730972458557,0.8692919591575061,0.13070804084249388,0.8581804305747825,0.011111533715949501,0.8541084597186896,-0.00476751027314967,0.3714541269771634,0.029913609538742926,0.3292298640241581,0.30573088215956556,0.0740509367262876,0.26398006060129586,4.147134596461184,0.5913125646365405,7.64227687250948e-9
45,0,local_loglinear,41,true,4,0.030826752888171615,0.024939423456793768,0.17593229378576897,0.8767342413157899,0.12326575868421008,0.8663737049795774,0.01036054220066371,0.8629364064499209,-0.003983258214585478,0.38376839326269413,0.026996861603378036,0.31790344155353567,0.29652134731413615,0.06962848022505264,0.25460628885500347,4.460639206800295,0.5816464775538671,8.513947748760338e-9
45,0,local_loglinear,42,true,3,0.02750197860596524,0.021807479594124043,0.16235289717214366,0.8841022319291305,0.11589776807086949,0.8744743921144893,0.009627846469689276,0.8715765169649787,-0.0033248660250755424,0.39598054140949906,0.024313938345098478,0.3068308832299766,0.2874417739540974,0.06527641249609806,0.24547543632877397,4.801993926622945,0.5716664776221002,9.430975370152303e-9
45,0,local_loglinear,43,true,2,0.024506588172137765,0.019021216918272042,0.14952942055508775,0.8913460396307663,0.10865396036923369,0.8824283408113093,0.008917706323067334,0.8799879997141046,-0.0027731526998067105,0.408032940848661,0.02185535879657055,0.2960247395804615,0.2785005286679144,0.06102307286066666,0.23658337697524798,5.1735265219679505,0.5613995048393544,1.039035726086242e-8
45,0,local_loglinear,44,true,1,0.02181337981566541,0.016550101359169903,0.13746450494836276,0.8984209029854768,0.10157909701452317,0.8901871179087917,0.008233793484629473,0.8881340963376269,-0.0023116121536497993,0.41987103047447694,0.01961029193970549,0.285494617643595,0.26970535843665355,0.05689307844594538,0.22792406033072568,5.577761034904769,0.5508784474774604,1.1388789276628514e-8
45,0,local_loglinear,45,true,0,0.01939655996351349,0.014365074066101937,0.12615381613383286,0.9052875617680729,0.0947124382319271,0.897707896662826,0.007579674470281548,0.8959816736281667,-0.0019266276146802067,0.4314862683008838,0.017566432647159222,0.27524741108512946,0.2610633522872703,0.052907262934525745,0.2194896081676449,6.017438000439206,0.5401418872768495,4.861494162372316e-7
46,0,local_loglinear,39,true,7,0.03856062139594743,0.032369258147850355,0.20490821424516117,0.8621009005961674,0.1378990994038326,0.8502148112863632,0.011886093189532003,0.8453985119874594,-0.005697075675684765,0.3595810949608526,0.0330553896078047,0.34073115059505854,0.3150548093530624,0.07834713000798588,0.273850367570391,3.8607064175048253,0.5999030856310608,5.9220024508819945e-9
46,0,local_loglinear,40,true,6,0.03448836290936659,0.028449852750321043,0.18981861299914726,0.8695946809258573,0.13040531907414266,0.8584729761910972,0.011121709197449465,0.8544021640728952,-0.004764515224068005,0.37202035928299493,0.029895431580370065,0.32916187037801053,0.305723607640883,0.07386818621853108,0.2642744009512347,4.148780328733679,0.5904363274992669,6.6361461450265676e-9
