T_report,n_buffer,t,terminal_contaminated,bubble_share_LL,bubble_share_HKT_scalar,bubble_share_difference,abs_bubble_share_difference,fundamental_share_LL,fundamental_share_HKT_scalar,q_US_LL,q_US_HKT_scalar,phi_US_LL,phi_US_HKT_scalar
105,0,1,false,8.304807617164723e-5,8.304807693219e-5,7.605427653758698e-13,7.605427653758698e-13,0.9999169519238283,0.9999169519230678,0.8815630370345096,0.8815630370345096,0.6531098294466041,0.6531098294466041
105,0,2,false,0.0001161805113886298,0.00011618051245259874,1.0639689406203787e-12,1.0639689406203787e-12,0.9998838194886113,0.9998838194875475,0.8882731138674413,0.8882731138674413,0.6535581569152112,0.6535581569152112
105,0,3,false,0.0001615542104588588,0.00016155421193841105,1.479552266293871e-12,1.479552266293871e-12,0.9998384457895412,0.9998384457880616,0.8963426843284092,0.8963426843284092,0.6533588483982664,0.6533588483982664
105,0,4,false,0.00022325858441914767,0.00022325858646373928,2.0445916010594645e-12,2.0445916010594645e-12,0.9997767414155809,0.9997767414135362,0.9057830653063343,0.9057830653063343,0.6525388454543021,0.6525388454543021
105,0,5,false,0.00030656612181375573,0.0003065661246215112,2.8077554929499537e-12,2.8077554929499537e-12,0.9996934338781863,0.9996934338753785,0.9166220563123478,0.9166220563123478,0.651120380514738,0.651120380514738
105,0,6,false,0.00041820166111270493,0.00041820166494304094,3.830336004970181e-12,3.830336004970181e-12,0.9995817983388873,0.9995817983350569,0.9289041716682921,0.9289041716682921,0.6491213352276326,0.6491213352276326
105,0,7,false,0.0005666392651926895,0.0005666392703825217,5.189832179459952e-12,5.189832179459952e-12,0.9994333607348074,0.9994333607296175,0.9426909489561701,0.9426909489561701,0.6465556867138513,0.6465556867138513
105,0,8,false,0.0007624273129579916,0.0007624273199410822,6.983090538106862e-12,6.983090538106862e-12,0.999237572687042,0.999237572680059,0.9580613861118924,0.9580613861118924,0.6434340100982577,0.6434340100982577
105,0,9,false,0.0010185268133392383,0.001018526822668069,9.328830676696986e-12,9.328830676696986e-12,0.9989814731866608,0.998981473177332,0.9751125101428105,0.9751125101428105,0.6397640281967006,0.6397640281967006
105,0,10,false,0.0013506507773383435,0.0013506507897089175,1.2370573966233311e-11,1.2370573966233311e-11,0.9986493492226617,0.9986493492102911,0.9939600286161723,0.9939600286161723,0.6355512184669251,0.6355512184669251
105,0,11,false,0.0017775892281374028,0.0017775892444181689,1.6280766014856174e-11,1.6280766014856174e-11,0.9982224107718627,0.9982224107555818,1.0147390271034842,1.0147390271034842,0.6307994786849512,0.6307994786849512
105,0,12,false,0.0023214914806687086,0.002321491501931096,2.126238725017049e-11,2.126238725017049e-11,0.9976785085193313,0.9976785084980689,1.0376047176223873,1.0376047176223873,0.625511834047299,0.625511834047299
105,0,13,false,0.0030080879712976695,0.00300808799884834,2.7550670512327402e-11,2.7550670512327402e-11,0.9969919120287023,0.9969919120011517,1.0627333102522514,1.0627333102522514,0.6196911450854128,0.6196911450854128
105,0,14,false,0.0038668178264362253,0.003866817861851793,3.541556761396669e-11,3.541556761396669e-11,0.9961331821735638,0.9961331821381482,1.0903230626153348,1.0903230626153348,0.6133407861717154,0.6133407861717154
105,0,15,false,0.004930836083424437,0.004930836128585071,4.516063391302172e-11,4.516063391302172e-11,0.9950691639165756,0.995069163871415,1.1205955615984295,1.1205955615984295,0.6064652685615884,0.6064652685615884
105,0,16,false,0.0062368743335110685,0.006236874390633683,5.712261479801084e-11,5.712261479801084e-11,0.993763125666489,0.9937631256093663,1.1537972547795425,1.1537972547795425,0.5990707970844609,0.5990707970844609
105,0,17,false,0.007824934276885827,0.007824934348553306,7.166747924280958e-11,7.166747924280958e-11,0.9921750657231142,0.9921750656514466,1.1902012290046333,1.1902012290046333,0.5911657563199135,0.5911657563199135
105,0,18,false,0.009737801885803851,0.009737801974990886,8.918703449378729e-11,8.918703449378729e-11,0.9902621981141962,0.990262198025009,1.2301092226552919,1.2301092226552919,0.5827611242726363,0.5827611242726363
105,0,19,false,0.01202038056077641,0.012020380670869345,1.1009293476860194e-10,1.1009293476860194e-10,0.9879796194392236,0.9879796193291306,1.2738538624270892,1.2738538624270892,0.5738708089119149,0.5738708089119149
105,0,20,false,0.014718854294665167,0.01471885442947312,1.348079529950308e-10,1.348079529950308e-10,0.9852811457053349,0.9852811455705269,1.3218011044663085,1.3218011044663085,0.5645119047414721,0.5645119047414721
105,0,21,false,0.01787970478012224,0.017879704943880012,1.6375777123212032e-10,1.6375777123212032e-10,0.9821202952198778,0.98212029505612,1.3743528618955994,1.3743528618955994,0.5547048647528714,0.5547048647528714
105,0,22,false,0.021548622197005485,0.021548622986553335,7.895478507102816e-10,7.895478507102816e-10,0.9784513778029945,0.9784513770134466,1.4319498184554238,1.4319498193763718,0.5444735791432915,0.544473578953272
105,0,23,false,0.02576935150984748,0.025769352446300183,9.364527035760073e-10,9.364527035760073e-10,0.9742306484901525,0.9742306475536998,1.4950743879085788,1.495074389045041,0.5338453623787636,0.5338453621597437
105,0,24,false,0.030582538268403646,0.03058253936898545,1.1005818027765013e-9,1.1005818027765013e-9,0.9694174617315964,0.9694174606310145,1.5642538352878284,1.564253836691286,0.5228508391488716,0.522850838896838
105,0,25,false,0.03602462639557209,0.03602462824523352,1.8496614240248732e-9,1.8496614240248732e-9,0.9639753736044279,0.9639753717547664,1.6400635380622317,1.6400635412324427,0.5115237320498743,0.5115237315186857
105,0,26,false,0.04212687118530312,0.04212687379421391,2.608910788792773e-9,2.608910788792773e-9,0.9578731288146969,0.9578731262057861,1.7231303974728915,1.7231304027121799,0.4999005513565169,0.4999005505418011
105,0,27,false,0.04891450990794615,0.048914513394646794,3.4867006434846637e-9,3.4867006434846637e-9,0.9510854900920538,0.9510854866053532,1.8141363902579553,1.8141363980584702,0.488020196156066,0.4880201950341413
105,0,28,false,0.05640614010225209,0.05640614455164157,4.449389481853139e-9,4.449389481853139e-9,0.9435938598977479,0.9435938554483585,1.913822295470118,1.9138223067307936,0.47592347402530344,0.4759234725316069
