experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,minus_NFA,cond_1b
terminal_rule_selected_full_path,105,0,local_loglinear,1,0.8815630370345096,0.13062196588932082,0.6531098294466041,0.9427241474886037,0.1025020984314583,0.0
terminal_rule_selected_full_path,105,0,local_loglinear,2,0.8882731138674413,0.13071163138304223,0.6535581569152112,1.0157167607219018,0.08157237720680799,1.0729727825425408
terminal_rule_selected_full_path,105,0,local_loglinear,3,0.8963426843284092,0.1306717696796533,0.6533588483982664,1.0960016613234012,0.05778537955822394,1.0394920350883208
terminal_rule_selected_full_path,105,0,local_loglinear,4,0.9057830653063343,0.13050776909086043,0.6525388454543021,1.1845106369318938,0.030784186170297545,1.0057375433655844
terminal_rule_selected_full_path,105,0,local_loglinear,5,0.9166220563123478,0.1302240761029476,0.651120380514738,1.2823243558304902,0.00016444079558852742,0.9716860377829959
terminal_rule_selected_full_path,105,0,local_loglinear,6,0.9289041716682921,0.12982426704552652,0.6491213352276326,1.3907004651204666,-0.03453138626648755,0.9372961718606614
terminal_rule_selected_full_path,105,0,local_loglinear,7,0.9426909489561701,0.12931113734277028,0.6465556867138513,1.5111073190616677,-0.07382080879087938,0.9025259706576104
terminal_rule_selected_full_path,105,0,local_loglinear,8,0.9580613861118924,0.12868680201965157,0.6434340100982577,1.6452646387149594,-0.11828931760045758,0.8673528321481004
terminal_rule_selected_full_path,105,0,local_loglinear,9,0.9751125101428105,0.1279528056393401,0.6397640281967006,1.795192643070444,-0.16859974622244644,0.8317895955288449
terminal_rule_selected_full_path,105,0,local_loglinear,10,0.9939600286161723,0.12711024369338503,0.6355512184669251,1.9632714461297645,-0.22550333676563517,0.7958916034329878
terminal_rule_selected_full_path,105,0,local_loglinear,11,1.0147390271034842,0.12615989573699027,0.6307994786849512,2.1523129236941383,-0.2898528929387223,0.7597537133388809
terminal_rule_selected_full_path,105,0,local_loglinear,12,1.0376047176223873,0.12510236680945977,0.625511834047299,2.365647838392485,-0.36261839800207785,0.7235003946732
terminal_rule_selected_full_path,105,0,local_loglinear,13,1.0627333102522514,0.12393822901708255,0.6196911450854128,2.6072318459740873,-0.4449053598818469,0.6872735783609276
terminal_rule_selected_full_path,105,0,local_loglinear,14,1.0903230626153348,0.12266815723434307,0.6133407861717154,2.8817748962059047,-0.5379761741114781,0.651221962356544
terminal_rule_selected_full_path,105,0,local_loglinear,15,1.1205955615984295,0.1212930537123177,0.6064652685615884,3.1948997013651406,-0.6432747822988354,0.6154932869619
terminal_rule_selected_full_path,105,0,local_loglinear,16,1.1537972547795425,0.11981415941689218,0.5990707970844609,3.553336296769316,-0.7624549932522524,0.5802295948528866
terminal_rule_selected_full_path,105,0,local_loglinear,17,1.1902012290046333,0.11823315126398272,0.5911657563199135,3.965161433087175,-0.897412912919715,0.5455647007932531
terminal_rule_selected_full_path,105,0,local_loglinear,18,1.2301092226552919,0.11655222485452726,0.5827611242726363,4.440093705168049,-1.0503240049458018,0.5116230021801201
terminal_rule_selected_full_path,105,0,local_loglinear,19,1.2738538624270892,0.11477416178238299,0.5738708089119149,4.989858091069459,-1.2236853378762778,0.478518918978265
terminal_rule_selected_full_path,105,0,local_loglinear,20,1.3218011044663085,0.11290238094829441,0.5645119047414721,5.62863700305428,-1.4203636668041035,0.4463566271814261
terminal_rule_selected_full_path,105,0,local_loglinear,21,1.3743528618955994,0.1109409729505743,0.5547048647528714,6.37362931006013,-1.6436500555489442,0.4152298493461771
terminal_rule_selected_full_path,105,0,local_loglinear,22,1.4319498184554238,0.10889471582865831,0.5444735791432915,7.245744368678767,-1.8973217218791207,0.38522158283683766
terminal_rule_selected_full_path,105,0,local_loglinear,23,1.4950743879085788,0.10676907247575272,0.5338453623787636,8.270464851622478,-2.185712043976018,0.3564038363276
terminal_rule_selected_full_path,105,0,local_loglinear,24,1.5642538352878284,0.10457016782977432,0.5228508391488716,9.47892116100683,-2.5137894763149955,0.328837354098132
terminal_rule_selected_full_path,105,0,local_loglinear,25,1.6400635380622317,0.10230474640997488,0.5115237320498743,10.90923111410218,-2.887246380501594,0.3025713365608204
terminal_rule_selected_full_path,105,0,local_loglinear,26,1.7231303974728915,0.09998011027130338,0.4999005513565169,12.608172749481882,-3.312598694643631,0.2776432589176742
terminal_rule_selected_full_path,105,0,local_loglinear,27,1.8141363902579553,0.0976040392312132,0.488020196156066,14.633275702934867,-3.797297602268113,0.25407877272266344
terminal_rule_selected_full_path,105,0,local_loglinear,28,1.913822295470118,0.0951846948050607,0.47592347402530344,17.05543936491798,-4.349854185137744,0.23189176079132715
terminal_rule_selected_full_path,105,0,local_loglinear,29,2.022991615128848,0.09273051111698734,0.4636525555849366,19.96221449315971,-4.979978267620407,0.2110845250631413
terminal_rule_selected_full_path,105,0,local_loglinear,30,2.1425147109936806,0.09025007682246,0.4512503841123,23.461921168714237,-5.6987328602837835,0.1916481931508805
terminal_rule_selected_full_path,105,0,local_loglinear,31,2.2733332155737425,0.0877520119061986,0.43876005953099295,27.68882235344473,-6.518705536079867,0.17356330185958918
terminal_rule_selected_full_path,105,0,local_loglinear,32,2.416464755921372,0.08524484429777754,0.4262242214888877,32.80963073152898,-7.45419859635048,0.15680059034874502
terminal_rule_selected_full_path,105,0,local_loglinear,33,2.57300807585801,0.08273689037153918,0.4136844518576959,39.03170167156421,-8.521439815186461,0.14132194280049293
terminal_rule_selected_full_path,105,0,local_loglinear,34,2.7441486218869837,0.08023614385766831,0.4011807192883415,46.61336015092739,-9.738816347396089,0.12708150376883567
terminal_rule_selected_full_path,105,0,local_loglinear,35,2.931164697655739,0.07775017654346163,0.38875088271730807,55.87693151352072,-11.127134645075884,0.11402688860389816
terminal_rule_selected_full_path,105,0,local_loglinear,36,3.135434300282742,0.07528605358419495,0.37643026792097467,67.22520151579751,-12.709909966920108,0.10210045752260576
terminal_rule_selected_full_path,105,0,local_loglinear,37,3.358442766731812,0.07285026538737027,0.3642513269368513,81.16223024885241,-14.513689919059843,0.09124061570754885
terminal_rule_selected_full_path,105,0,local_loglinear,38,3.6017913826644894,0.0704486770306587,0.35224338515329345,98.31969985563212,-16.568417245413784,0.08138306638820644
terminal_rule_selected_full_path,105,0,local_loglinear,39,3.867207109528416,0.06808649547572437,0.3404324773786218,119.49030296523252,-18.907838379563103,0.07246201539045163
terminal_rule_selected_full_path,105,0,local_loglinear,40,4.1565536040917745,0.06576825397085115,0.32884126985425577,145.67009888960467,-21.569965346385686,0.06441126677781986
terminal_rule_selected_full_path,105,0,local_loglinear,41,4.471843708324735,0.06349781244902877,0.3174890622451439,178.11230412356628,-24.597599996981444,0.057165196059177
terminal_rule_selected_full_path,105,0,local_loglinear,42,4.81525358781199,0.061278372246797434,0.30639186123398715,218.39567732138846,-28.038931101387135,0.0506595917287586
terminal_rule_selected_full_path,105,0,local_loglinear,43,5.189138701368862,0.05911250307127822,0.2955625153563911,268.5115518391541,-31.94821612527562,0.044832339937667234
terminal_rule_selected_full_path,105,0,local_loglinear,44,5.596051766537937,0.05700218002957888,0.2850109001478944,330.9747179474495,-36.38656165732618,0.03962397788513649
terminal_rule_selected_full_path,105,0,local_loglinear,45,6.038762905560849,0.05494882828234125,0.2747441414117063,408.964839647975,-41.42281674866058,0.034978103665340564
terminal_rule_selected_full_path,105,0,local_loglinear,46,6.520282086138635,0.052953373270300995,0.264766866351505,506.5069979113401,-47.13459863522479,0.03084166127703435
terminal_rule_selected_full_path,105,0,local_loglinear,47,7.043884056408393,0.051016294059778144,0.25508147029889067,628.7024223517847,-53.60946733019682,0.02716511229011356
terminal_rule_selected_full_path,105,0,local_loglinear,48,7.613135884618598,0.049137678044376736,0.24568839022188366,782.0236519072223,-60.94627244127173,0.023902514316308247
terminal_rule_selected_full_path,105,0,local_loglinear,49,8.231927268167507,0.047317275193652725,0.2365863759682636,974.6924811825742,-69.2566951897785,0.02101151134002581
terminal_rule_selected_full_path,105,0,local_loglinear,50,8.904503764780229,0.04555455043570278,0.22777275217851387,1217.1643660536154,-78.66701277022253,0.018453266094714215
terminal_rule_selected_full_path,105,0,local_loglinear,51,9.635503123052846,0.04384873302271781,0.21924366511358903,1522.7498432449363,-89.32011502749174,0.016192338247316564
terminal_rule_selected_full_path,105,0,local_loglinear,52,10.429994913876671,0.04219886203194026,0.2109943101597013,1908.4124261281418,-101.37780722994148,0.014196526010799418
terminal_rule_selected_full_path,105,0,local_loglinear,53,11.293523689441054,0.04060382745170564,0.20301913725852822,2395.7939757919044,-115.02343852301101,0.012436682027503658
terminal_rule_selected_full_path,105,0,local_loglinear,54,12.232155954571212,0.0390624065158312,0.195312032579156,3012.533503918267,-130.46489792644206,0.01088651330388112
terminal_rule_selected_full_path,105,0,local_loglinear,55,13.25253125563781,0.03757329523025302,0.18786647615126503,3793.9647531027827,-147.93802952006945,0.009522372947916751
terminal_rule_selected_full_path,105,0,local_loglinear,56,14.361917757724441,0.036135135178492976,0.18067567589246486,4785.303064679437,-167.71052339092057,0.008323052091725095
terminal_rule_selected_full_path,105,0,local_loglinear,57,15.568272731161185,0.034746535847089526,0.17373267923544763,6044.4647092417545,-190.08634684580466,0.007269571956936873
terminal_rule_selected_full_path,105,0,local_loglinear,58,16.88030841919396,0.03340609282345188,0.16703046411725936,7645.704279621173,-215.41079091186475,0.006344986422976609
terminal_rule_selected_full_path,105,0,local_loglinear,59,18.307563821033533,0.03211240227857993,0.16056201139289963,9684.31087729788,-244.07621664396174,0.00553419257496888
terminal_rule_selected_full_path,105,0,local_loglinear,60,19.860482983101384,0.030864072185810675,0.15432036092905335,12282.675494778303,-276.5285980257049,0.004823752942101748
terminal_rule_selected_full_path,105,0,local_loglinear,61,21.550500454444506,0.029659730735120276,0.14829865367560138,15598.135215249737,-313.27497162236614,0.004201730023033337
terminal_rule_selected_full_path,105,0,local_loglinear,62,23.390134628216344,0.02849803239045122,0.14249016195225608,19833.121146145677,-354.891918277026,0.003657533483239198
terminal_rule_selected_full_path,105,0,local_loglinear,63,25.3930897608209,0.027377662010090346,0.1368883100504517,25248.29489708416,-402.0352191521306,0.003181779991226226
terminal_rule_selected_full_path,105,0,local_loglinear,64,27.57436753465078,0.026297337412390313,0.13148668706195155,32179.564029982856,-455.45084750059686,0.002766165358494382
terminal_rule_selected_full_path,105,0,local_loglinear,65,29.950389110519787,0.025255810725375045,0.12627905362687522,41060.134777805055,-515.9874785979773,0.002403348336512161
terminal_rule_selected_full_path,105,0,local_loglinear,66,32.53912870108667,0.024251868813381337,0.12125934406690667,52449.109421731984,-584.6107257544936,0.0020868460271782846
terminal_rule_selected_full_path,105,0,local_loglinear,67,35.36025979419255,0.023284333026694536,0.11642166513347268,67068.59083539594,-662.4193329167174,0.0018109385508928216
terminal_rule_selected_full_path,105,0,local_loglinear,68,38.43531525364514,0.022352058479035864,0.11176029239517932,85851.85023539112,-750.6635885019932,0.0015705843579821403
terminal_rule_selected_full_path,105,0,local_loglinear,69,41.78786264115873,0.02145393301650325,0.10726966508251624,110005.88849267886,-850.7662539767043,0.001361343745444214
