T_report,n_buffer,terminal_rule,reference_rule,T0,status,residual_safe,max_u_residual,max_bgp_residual,max_log_q_US_error,t_max_log_q_US_error,max_log_d_over_q_US_error,t_max_log_d_over_q_US_error,max_log_phi_US_error,t_max_log_phi_US_error,max_log_Q_US_error,t_max_log_Q_US_error,max_log_minus_NFA_error,t_max_log_minus_NFA_error,max_log_cond_1b_error,t_max_log_cond_1b_error,log_cond_1b_start_t,domain_status,domain_message
105,0,local_loglinear,local_loglinear,105,ok,true,1.034012695870799e-6,7.02855526651707e-10,0.0,1,0.0,1,0.0,1,0.0,1,,6,0.0,2,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345314, ref=-0.0345314)"
105,0,hkt_scalar_terminal_us,local_loglinear,105,ok,true,1.082157695580271e-6,7.02855526651707e-10,1.4933643566195087e-7,70,7.549150238261859e-8,69,7.549150238261859e-8,69,2.1841161590430147e-7,78,,6,8.087808094359161e-7,98,2,domain_failure,"log_minus_NFA nonpositive/nonfinite at t=6 (case=-0.0345314, ref=-0.0345314)"
