T_report,reference_T_report,evaluation_t,periods_to_terminal,terminal_contaminated,terminal_anchor_weight,terminal_anchor_fraction_of_fundamental_value,terminal_anchor_scale_bubble_share_exposure,bubble_share_derivative_wrt_terminal_value,fundamental_share,bubble_share,reference_bubble_share,bubble_share_difference_from_longest,abs_bubble_share_difference_from_longest,max_u_residual
45,105,1,44,false,4.3433046522806335e-5,3.757320326543848e-6,3.7562205124699944e-6,-4.926823675721088e-5,0.9997072876469744,0.00029271235302559225,8.304807617164723e-5,0.00020966427685394502,0.00020966427685394502,4.861494162372316e-7
45,105,20,25,false,0.011541642184164012,0.0007021884254483684,0.0006657583364604509,-0.008732378526480978,0.9481192117847062,0.051880788215293835,0.014718854294665167,0.037161933920628665,0.037161933920628665,4.861494162372316e-7
45,105,40,5,false,0.4899018688010716,0.030205654858691457,0.009006271307878155,-0.11813020711194488,0.29816507372581147,0.7018349262741885,0.19889827180199016,0.5029366544721984,0.5029366544721984,4.861494162372316e-7
46,105,1,45,false,3.791709742610165e-5,3.0217240566628675e-6,3.020888411240681e-6,-4.301122324778287e-5,0.9997234540922612,0.00027654590773885755,8.304807617164723e-5,0.00019349783156721032,0.00019349783156721032,4.909504583691672e-7
46,105,20,26,false,0.010075908888033534,0.000563018990704533,0.0005354225379416227,-0.007623313137158723,0.9509848633553594,0.04901513664464069,0.014718854294665167,0.03429628234997552,0.03429628234997552,4.909504583691672e-7
46,105,40,6,false,0.4277699243373308,0.021485204486800018,0.007241736120949361,-0.10310739312339004,0.3370568860723902,0.6629431139276099,0.19889827180199016,0.4640448421256197,0.4640448421256197,4.909504583691672e-7
47,105,1,46,false,3.3173883283771356e-5,2.432674688373672e-6,2.432037554997863e-6,-3.763076153837039e-5,0.9997380934742923,0.000261906525707654,8.304807617164723e-5,0.00017885844953600678,0.00017885844953600678,4.93497916502957e-7
47,105,20,27,false,0.008815501252829098,0.00045203506675855023,0.00043105156212159027,-0.006669633251183027,0.9535799185062603,0.04642008149373967,0.014718854294665167,0.031701227199074505,0.031701227199074505,4.93497916502957e-7
47,105,40,7,false,0.37432122670195905,0.01565897874092074,0.0058291551553357,-0.09019414489296111,0.3722564064859922,0.6277435935140079,0.19889827180199016,0.4288453217120177,0.4288453217120177,4.93497916502957e-7
48,105,1,47,false,2.90846104655747e-5,1.960375489485208e-6,1.9598881118951036e-6,-3.299209806971902e-5,0.9997513855928528,0.0002486144071472216,8.304807617164723e-5,0.0001655663309755744,0.0001655663309755744,5.008319908875162e-7
48,105,20,28,false,0.007728856861316856,0.00036337821832320964,0.0003473662899501704,-0.00584744743059284,0.9559359158979714,0.04406408410202859,0.014718854294665167,0.029345229807363423,0.029345229807363423,5.008319908875162e-7
48,105,40,8,false,0.3282260819625508,0.011620140307502528,0.004696833271776158,-0.07906491344024841,0.4041976385382932,0.5958023614617068,0.19889827180199016,0.3969040896597167,0.3969040896597167,5.008319908875162e-7
49,105,1,48,false,2.555031215413439e-5,1.5812292590485891e-6,1.5808552702839785e-6,-2.8982969706800977e-5,0.9997634822638967,0.0002365177361033859,8.304807617164723e-5,0.00015346965993173867,0.00015346965993173867,5.031623918768799e-7
49,105,20,29,false,0.0067896804277237845,0.0002924452168887839,0.000280185942748939,-0.005136852717393424,0.9580801003679705,0.0419198996320294,0.014718854294665167,0.02720104533736423,0.02720104533736423,5.031623918768799e-7
49,105,40,9,false,0.2883753778366862,0.008743205457443351,0.0037880352017059258,-0.06944880506336079,0.43325473936804937,0.5667452606319506,0.19889827180199016,0.3678469888299605,0.3678469888299605,5.031623918768799e-7
50,105,1,49,false,2.2488294527436255e-5,1.276515586028606e-6,1.2762277527750354e-6,-2.5509572691063737e-5,0.9997745164597119,0.00022548354028807265,8.304807617164723e-5,0.00014243546411642541,0.00014243546411642541,5.182306690443079e-7
50,105,20,30,false,0.00597599989422984,0.00023560962956397695,0.000226193745647257,-0.004521219495741368,0.9600360819965418,0.03996391800345826,0.014718854294665167,0.025245063708793095,0.025245063708793095,5.182306690443079e-7
50,105,40,10,false,0.25384139695069335,0.006650942987775996,0.0030577799641401866,-0.0611197022623141,0.45975134199168277,0.5402486580083172,0.19889827180199016,0.34135038620632707,0.34135038620632707,5.182306690443079e-7
51,105,1,50,false,1.982925344865839e-5,1.031357299208562e-6,1.0311351501070982e-6,-2.2493291909771545e-5,0.9997846051008373,0.00021539489916270368,8.304807617164723e-5,0.00013234682299105644,0.00013234682299105644,5.179269896608014e-7
51,105,20,31,false,0.005269400563935901,0.0001900074756842833,0.00018275382025724566,-0.003986611285867995,0.9618243682206993,0.03817563177930077,0.014718854294665167,0.023456777484635604,0.023456777484635604,5.179269896608014e-7
51,105,40,11,false,0.22384597309748752,0.005104343925249132,0.0024703399711287185,-0.05388825905236916,0.48396816658629566,0.5160318334137043,0.19889827180199016,0.31713356161171413,0.31713356161171413,5.179269896608014e-7
52,105,1,51,false,1.7514950197904915e-5,8.339130573721414e-7,8.337411456888447e-7,-1.986806427678373e-5,0.9997938493925992,0.00020615060740079199,8.304807617164723e-5,0.00012310253122914475,0.00012310253122914475,5.291998165578317e-7
52,105,20,32,false,0.004654407657215073,0.00015337191996963077,0.00014776814446496942,-0.0035213171467811336,0.9634628326634304,0.036537167336569594,0.014718854294665167,0.021818313041904427,0.021818313041904427,5.291998165578317e-7
52,105,40,12,false,0.19773467273132564,0.003946050137844405,0.001997291379050984,-0.04759548416632967,0.5061495189572116,0.4938504810427884,0.19889827180199016,0.29495220924079824,0.29495220924079824,5.291998165578317e-7
53,105,1,52,false,1.5496305292390433e-5,6.747430754115303e-7,6.746097030716408e-7,-1.7578216461010717e-5,0.9998023361116999,0.0001976638883000745,8.304807617164723e-5,0.00011461581212842726,0.00011461581212842726,5.33396996091046e-7
53,105,20,33,false,0.004117979950915969,0.00012390493228254192,0.00011956418119793492,-0.0031154681714644908,0.9649670840002661,0.0350329159997339,0.014718854294665167,0.02031406170506873,0.02031406170506873,5.33396996091046e-7
53,105,40,13,false,0.17495564161650817,0.0030692448041252604,0.0016159836152440236,-0.04210747289412986,0.5265085447312768,0.4734914552687231,0.19889827180199016,0.27459318346673295,0.27459318346673295,5.33396996091046e-7
54,105,1,53,false,1.3731852516019636e-5,5.463114112361578e-7,5.462076900774582e-7,-1.5576711282953846e-5,0.9998101427929815,0.00018985720701842105,8.304807617164723e-5,0.00010680913084677382,0.00010680913084677382,5.392565242576077e-7
54,105,20,34,false,0.0036490990564160305,0.00010017759932115229,9.680670297591792e-5,-0.002760726532972653,0.966350797303219,0.033649202696781,0.014718854294665167,0.01893034840211583,0.01893034840211583,5.392565242576077e-7
54,105,40,14,false,0.15504236055322965,0.0023996040761659985,0.0013083404111583767,-0.037311156936558516,0.5452317839236197,0.45476821607638035,0.19889827180199016,0.2558699442743902,0.2558699442743902,5.392565242576077e-7
55,105,1,54,false,1.2186466154818784e-5,4.425935366145687e-7,4.425126914547965e-7,-1.3823703913468839e-5,0.9998173376855194,0.00018266231448064735,8.304807617164723e-5,9.961423830900012e-5,9.961423830900012e-5,5.463753654090315e-7
55,105,20,35,false,0.003238431287658148,8.10522534958713e-5,7.84282663626876e-5,-0.0024500294648728987,0.967625981758578,0.03237401824142201,0.014718854294665167,0.017655163946756845,0.017655163946756845,5.463753654090315e-7
55,105,40,15,false,0.13759945238504243,0.001884350490287698,0.0010599149570875272,-0.033110802973956584,0.5624829152275711,0.4375170847724289,0.19889827180199016,0.23861881297043874,0.23861881297043874,5.463753654090315e-7
56,105,1,55,false,1.0830317189693869e-5,3.5876691509780224e-7,3.5870376488634946e-7,-1.2285357809454446e-5,0.9998239798353882,0.00017602016461176856,8.304807617164723e-5,9.297208844012133e-5,9.297208844012133e-5,5.546935906285936e-7
56,105,20,36,false,0.0028780503346650453,6.562157478551098e-5,6.357439238736712e-5,-0.0021773793153381654,0.9688032113701137,0.0311967886298863,0.014718854294665167,0.016477934335221132,0.016477934335221132,5.546935906285936e-7
56,105,40,16,false,0.1222910140545624,0.0014853678922767699,0.0008591456370126548,-0.029425148533013912,0.5784059568540677,0.42159404314593235,0.19889827180199016,0.2226957713439422,0.2226957713439422,5.546935906285936e-7
57,105,1,56,false,9.63801211160116e-6,2.9096619135949404e-7,2.9091676250175137e-7,-1.0932867857121387e-5,0.9998301216457084,0.0001698783542916592,8.304807617164723e-5,8.683027812001197e-5,8.683027812001197e-5,5.636713050205693e-7
57,105,20,37,false,0.002561208456146799,5.31607677839853e-5,5.1560193908415875e-5,-0.001937670355742641,0.9698918216893851,0.03010817831061483,0.014718854294665167,0.015389324015949661,0.015389324015949661,5.636713050205693e-7
