T_report,n_buffer,T0,status,max_log_q_diff,t_max_log_q_diff,max_log_phi_diff,t_max_log_phi_diff,max_log_dividend_yield_diff,t_max_log_dividend_yield_diff,max_u_residual_LL,max_u_residual_asym
45,5,20,ok,0.0008109898677482463,20,0.00043476571457079505,20,0.000434765714570684,20,8.51231349644807e-6,4.0478533524936726e-8
45,5,30,ok,0.006519351338313273,30,0.00343981761922163,30,0.003439817619221852,30,8.51231349644807e-6,4.0478533524936726e-8
45,5,40,ok,0.025068245500559083,40,0.013050019379286848,40,0.013050019379286848,40,8.51231349644807e-6,4.0478533524936726e-8
45,5,45,ok,0.03792665954097996,45,0.01961709890908203,45,0.019617098909081587,45,8.51231349644807e-6,4.0478533524936726e-8
