t,Y_US,e_US,q_US,q_W,n_W,n_US_star,gross_row_equity_asset,gross_foreign_us_equity_claim,bond,NFA,dNFA,CA,VA,RES,NFA_over_current_Y,ahp_rebased_NFA_change_current_Y,ahp_cum_CA_current_Y,ahp_cum_VA_current_Y,ahp_cum_RES_current_Y,dNFA_over_current_Y,CA_over_current_Y,VA_over_current_Y,RES_over_current_Y,periodnorm_cum_dNFA,periodnorm_cum_CA,periodnorm_cum_VA,periodnorm_cum_RES,late_NFA_change_over_endpoint_Y,late_cum_CA_over_endpoint_Y,late_cum_VA_over_endpoint_Y,late_cum_RES_over_endpoint_Y,omega,omega_star,theta,theta_US_star,Psi
1.0,1.7949973212591137,1.7791120848274533,0.8405219658187826,1.9715176547840019,0.25955655473120903,0.5304872520793225,0.5117203300674886,0.4458861879595162,-0.12666835924182412,-0.060834217133851676,0.0,0.0,0.0,0.0,-0.03389097934206335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019678706036139387,0.0,0.0,0.0,0.44814240326592025,0.2088408922066675,-0.15821669986964812,0.05600531138013762,0.9475711763798748
2.0,1.8560678445099164,1.8433177195726729,0.8736672980528358,1.954643106449062,0.27090058774239806,0.5669279002063442,0.5295139663636776,0.4953063667640445,-0.12573537561254985,-0.09152777601291673,-0.030693558879065053,-0.008730483034503734,-0.021963075844561374,5.551115123125783e-17,-0.04931273190451941,-0.0165368733529078,-0.004703752107083654,-0.011833121245824176,2.990793218871545e-17,-0.0165368733529078,-0.004703752107083654,-0.011833121245824176,2.990793218871545e-17,-0.0165368733529078,-0.004703752107083654,-0.011833121245824176,2.990793218871545e-17,0.01894283956519834,0.0,0.0,0.0,0.445667659795639,0.20640390077745652,-0.15158100138615332,0.049787706260514444,0.9442950175860362
3.0,1.9293814135368812,1.920082645261157,0.9078298403709263,1.9407150277131822,0.2840477908968161,0.6048442140526593,0.5512558163821826,0.549095626292704,-0.12600031083270594,-0.12384012074322737,-0.03231234473031064,-0.009171521632533049,-0.02314082309777762,3.122502256758253e-17,-0.0641864381372927,-0.03265601252676901,-0.009278623988721542,-0.023377388538047512,4.4955431409406156e-17,-0.016747515293555497,-0.004753607331440031,-0.01199390796211548,1.6183955307386217e-17,-0.0332843886464633,-0.009457359438523685,-0.023827029207939658,4.6091887496101665e-17,0.018168163315428486,0.0,0.0,0.0,0.4431970347447517,0.20401381030087856,-0.1458274160387834,0.044721189230176234,0.9410160293437775
4.0,2.0158937397926926,2.010410126743044,0.9428723256326702,1.9292610635806435,0.2991785283039613,0.6446034413752172,0.577193485716192,0.6077787458802736,-0.12739332960508026,-0.15797858976916185,-0.03413846902593448,-0.009689751360484077,-0.02444871766545036,-4.5102810375396984e-17,-0.07836652629587897,-0.04818923275454993,-0.013687108344489576,-0.03450212441006038,2.0652558516167026e-17,-0.016934656997072257,-0.00480667763841587,-0.012127979358656364,-2.2373605059180944e-17,-0.050219045643535555,-0.014264037076939556,-0.035955008566596024,2.371828243692072e-17,0.017349706426006674,0.0,0.0,0.0,0.4407461944605824,0.2016780430277549,-0.14081519200757228,0.0405581786311311,0.9377521620664184
5.0,2.1167298486005652,2.1154793370759353,0.9786720099650473,1.9198910886876703,0.31649298580340923,0.6865772188379972,0.6076320630761187,0.6719339067563949,-0.12986363002717166,-0.1941654737074478,-0.03618688393828595,-0.010306988918764387,-0.025879895019521527,-3.8163916471489756e-17,-0.0917289817762132,-0.06298926462521681,-0.01790438443117399,-0.04508488019404282,1.6390598706997832e-18,-0.01709565533939544,-0.004869298236418148,-0.012226357102977273,-1.8029658577697614e-17,-0.06731470098293099,-0.019133335313357702,-0.048181365669573296,5.688623859223106e-18,0.0164821395634301,0.0,0.0,0.0,0.4383290919697034,0.19940292978287438,-0.1364162908363435,0.03710820956466038,0.9345191593816492
6.0,2.233209269863051,2.2366713132924705,1.0151203072305215,1.9122827315469333,0.33621684193813667,0.731143067548202,0.6429416608935435,0.7421981753589968,-0.13337976156395506,-0.23263627602940828,-0.038470802321960484,-0.011038240085520179,-0.027432562236440382,7.632783294297951e-17,-0.1041712835285134,-0.07693056858307425,-0.021913300151582493,-0.05501726843149179,3.5732110273672025e-17,-0.017226689339472277,-0.004942770135553435,-0.012283919203918876,3.417854026177324e-17,-0.08454139032240326,-0.024076105448911138,-0.060465284873492176,3.986716412099635e-17,0.015559816621001926,0.0,0.0,0.0,0.4359576306458989,0.1971935043561532,-0.1325181167123793,0.034224631760577086,0.9313303883464058
7.0,2.366873438657376,2.3755972610498794,1.0521220057540208,1.906169436242561,0.35860669340038326,0.7786873409860748,0.6835651185918175,0.8192740870535342,-0.13792919626975844,-0.2736381647314752,-0.04100188870206689,-0.011892960498030486,-0.029108928204036377,-2.7755575615628914e-17,-0.11561165893462311,-0.0899093057203506,-0.025700548468845074,-0.06420875725150553,2.1987531495906767e-17,-0.017323228201557524,-0.005024755571542872,-0.01229847263001464,-1.1726683464483609e-17,-0.10186461852396078,-0.02910086102045401,-0.07276375750350682,2.814048065651274e-17,0.014576811839445402,0.0,0.0,0.0,0.43364159920168505,0.19505348882403592,-0.1290241111443477,0.03179423456630455,0.928196892586838
8.0,2.519516242095886,2.534130160906649,1.0895942516654895,1.901330637999474,0.3839555026892734,0.8296091040981903,0.730026360891605,0.9039373109547448,-0.14351751915991115,-0.317428469223051,-0.04379030449157584,-0.012875915524012994,-0.030914388967562836,-6.938893903907228e-18,-0.12598786382857163,-0.10184266638255475,-0.02925397337091025,-0.07258869301164451,1.7901377106375683e-17,-0.017380441435514787,-0.005110471331314788,-0.012269970104199996,-2.75405801636549e-18,-0.11924505995947557,-0.0342113323517688,-0.08503372760770682,2.538642264014725e-17,0.01352695584344917,0.0,0.0,0.0,0.4313887721048862,0.1929853865082762,-0.12585297522415093,0.029729251063885496,0.9251275666760155
9.0,2.693218667433533,2.71444065020001,1.127465432276845,1.897583694112263,0.41259833209968727,0.8843245777182522,0.7829398672102829,0.9970453922901477,-0.1501675412392632,-0.36427306631912804,-0.04684459709607702,-0.013987661154186967,-0.03285693594188996,-9.71445146547012e-17,-0.13525565923180577,-0.11266773576704574,-0.032560862312603175,-0.08010687345444255,-1.932323762217817e-17,-0.017393536463460264,-0.005193659662071302,-0.012199876801388926,-3.6070043561399256e-17,-0.13663859642293583,-0.0394049920138401,-0.09723360440909574,-1.0683620921252008e-17,0.012403874336884052,0.0,0.0,0.0,0.42920509653247224,0.1909906259622707,-0.12293716835318318,0.027961261701645816,0.9221293840297436
10.0,2.890388543766587,2.9190381991720735,1.1656740744734406,1.8947772553282003,0.4449186082946433,0.9432719203002816,0.8430216594689669,1.0995476226728158,-0.15791854882968043,-0.4144445120335294,-0.05017144571440135,-0.015224672377264992,-0.03494677333713644,7.632783294297951e-17,-0.1433871279788043,-0.12234005551339242,-0.035607044875421434,-0.086733010637971,8.402375077236856e-18,-0.017358028152512958,-0.005267344561719401,-0.012090683590793584,2.6407464528458687e-17,-0.15399662457544877,-0.0446723365755595,-0.10932428799988933,1.572384360720668e-17,0.011201032892353868,0.0,0.0,0.0,0.427094916765626,0.18906972419283077,-0.12022114291273586,0.026436583997754146,0.9192076422706094
