T_report,model_T,terminal_rule,cutoff_t,cutoff_model_t,t,model_t,binding_continuation_date,exact_leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,total_leakage_envelope,dividend_envelope_ok,switch_envelope_ok
112,111,local_loglinear,110,109,70,69,false,0.1522729130211237,0.026377227261835633,0.3776870572778642,0.033372790727051564,3.2074864994982213,1.1025349572264587,true,true
112,111,local_loglinear,110,109,71,70,false,0.14913456743004017,0.026219167458515297,0.36874619991457463,0.03296404580833598,3.025743773538825,1.041545303654611,true,true
112,111,local_loglinear,110,109,72,71,false,0.14598971688903517,0.026055924430638488,0.3598013773751901,0.0325533706707863,2.8514219578570232,0.9830273566231273,true,true
112,111,local_loglinear,110,109,73,72,false,0.1428384927988121,0.025887292982077453,0.35085359945020395,0.032140744808515025,2.6843484522383214,0.9269235622212888,true,true
112,111,local_loglinear,110,109,74,73,false,0.13968116560722998,0.025713065874526757,0.34190429919810966,0.03172614940864809,2.5243516286843106,0.8731766923034182,true,true
112,111,local_loglinear,110,109,75,74,false,0.1365181552830254,0.02553303482692888,0.3329553613682897,0.03130956781451293,2.371260865032539,0.8217298561586924,true,true
112,111,local_loglinear,110,109,76,75,false,0.13335004282614665,0.025346991524757723,0.3240091539041667,0.030890986033309187,2.2249065631433713,0.7725265070810996,true,true
112,111,local_loglinear,110,109,77,76,false,0.13017758005152869,0.025154728694362628,0.31506855407149814,0.03047039328353662,2.085120149911209,0.7255104432539397,true,true
112,111,local_loglinear,110,109,78,77,false,0.1270017006443829,0.02495604151349014,0.3061369773926783,0.030047782579454275,1.9517340611020721,0.6806258029468116,true,true
112,111,local_loglinear,110,109,79,78,false,0.12382352776124564,0.024750729136211794,0.29721839587510157,0.029623151360099194,1.8245817117611411,0.6378170552804795,true,true
112,111,local_loglinear,110,109,80,79,false,0.12064438455055033,0.024538596363704184,0.28831736456053836,0.029196502159916947,1.7034974534495726,0.5970289866431078,true,true
112,111,local_loglinear,110,109,81,80,false,0.11746579923628679,0.024319455531075593,0.2794390311156337,0.02876784331849892,1.5883165194525497,0.5582066831360154,true,true
112,111,local_loglinear,110,109,82,81,false,0.11428951065590637,0.02409312856446032,0.27058914627433817,0.028337189728651718,1.478874960151938,0.5212955097792977,true,true
112,111,local_loglinear,110,109,83,82,false,0.11111747148592967,0.023859449225632098,0.2617740667808927,0.027904563619053267,1.3750095704127223,0.48624108708996067,true,true
112,111,local_loglinear,110,109,84,83,false,0.10795184935494159,0.023618265504881573,0.25300075155018004,0.02746999536733892,1.2765578113527116,0.4529892658182428,true,true
112,111,local_loglinear,110,109,85,84,false,0.10479502357096666,0.023369442170994754,0.24427674419991574,0.027033524336937124,1.1833577288845296,0.4214861006317803,true,true
112,111,local_loglinear,110,109,86,85,false,0.10164958283808807,0.023112863472382488,0.2356101580971167,0.026595199730390515,1.095247871977239,0.3916778237228035,true,true
112,111,local_loglinear,110,109,87,86,false,0.09851831538431141,0.02284843585494844,0.2270096385880889,0.026155081450789836,1.012067213946247,0.3635108194328721,true,true
112,111,local_loglinear,110,109,88,87,false,0.09540419865232067,0.02257609089453323,0.2184843232733623,0.025713240957551797,0.9336550796466117,0.33693160083975565,true,true
112,111,local_loglinear,110,109,89,88,false,0.09231038360554653,0.022295788048371505,0.21004378667152504,0.025269762109296882,0.859851083270366,0.31188678986608553,true,true
112,111,local_loglinear,110,109,90,89,false,0.08924017671024435,0.022007517573562257,0.20169797741004633,0.02482474197263427,0.7904950793093584,0.2883231017424204,true,true
112,111,local_loglinear,110,109,91,90,false,0.08619701754266228,0.02171130321647868,0.19345714297855077,0.02437829158793732,0.7254271318883342,0.2661873355507154,true,true
112,111,local_loglinear,110,109,92,91,false,0.08318445171747607,0.021407204800838922,0.1853317407499114,0.023930536670187526,0.6644875055811952,0.24542637186391925,true,true
112,111,local_loglinear,110,109,93,92,false,0.08020610333794564,0.02109532059117851,0.17733234824030142,0.02348161822849654,0.6075166819013196,0.2259871788622697,true,true
112,111,local_loglinear,110,109,94,93,false,0.07726564146878545,0.020775789369468847,0.1694695562979498,0.02303169308528439,0.5543554050389979,0.2078168280982837,true,true
112,111,local_loglinear,110,109,95,94,false,0.0743667450760376,0.020448792063017508,0.16175385903906028,0.02258093427611526,0.5048447600497662,0.19086252095937065,true,true
112,111,local_loglinear,110,109,96,95,false,0.07151306645494997,0.020114553069517222,0.15419554015629824,0.02212953130884001,0.4588262858585206,0.17507162659501355,true,true
112,111,local_loglinear,110,109,97,96,false,0.06870819209607582,0.019773340854713852,0.1468045537240859,0.021677690268110995,0.4161421254483185,0.16039173208421717,true,true
112,111,local_loglinear,110,109,98,97,false,0.06595560411104501,0.019425468126441345,0.139590407953811,0.0212256337422797,0.37663521357135704,0.14677070493273203,true,true
112,111,local_loglinear,110,109,99,98,false,0.06325863938737626,0.01907129110413917,0.13256204484971126,0.020773600562818312,0.3401495024927928,0.1341567680604159,true,true
112,111,local_loglinear,110,109,100,99,false,0.060620452364599536,0.018711208147888448,0.12572773265013326,0.02032184533718302,0.3065302240056215,0.12249858667239019,true,true
112,111,local_loglinear,110,109,101,100,false,0.05804397583844814,0.018345657312669825,0.119094955577335,0.019870637768729126,0.2756241856956376,0.11174536633394166,true,true
112,111,local_loglinear,110,109,102,101,false,0.05553188416681065,0.017975112802640077,0.11267031409251173,0.019420261750907854,0.24728009742637708,0.10184696089303355,true,true
