T_report,n_buffer,terminal_rule,elapsed_sec,status,T_extended,branch_iters,warm_start_T,branch_converged,max_u_residual,max_u_residual_t,terminal_u_residual,max_bgp_residual,residual_safe,hard_valid,model_residuals,psi_interior,equity_interior,theta_interior,positive_foreign_claims,positive_returns,accounting_exact,positive_output,finite_accounting,exact_common,extended_bgp_valid,exponent_ordering,robust_ordering_002,accounting_residual_max,accounting_scale,nfa_identity_error,psi_ok,psi_min,equity_weights_ok,equity_weight_min,nu_b_reference,nu_b_eff_min,nu_b_eff_max,nu_b_ordering_ok,max_common_growth_log_gap,max_common_growth_level_gap,all_extended_bgp_converged,max_extended_bgp_residual,terminal_successor_scope,terminal_successor_N_US,terminal_successor_phi_US,terminal_successor_phi_W,hkt_scalar_root_residual,phi_US_report_end,q_US_report_end,q_growth,nfa_final,nfa_min,rebased_nfa_t15,nfa_savings_identity_error,nfa_portfolio_identity_error,cond_1b_final,error,search_stage,selected_for_downstream,search_right_censored
30,0,local_loglinear,1.8543848991394043,ok,30,60,,true,1.0187088860673365e-7,30,1.0187088860673365e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.706168622523819e-16,1.0,1.869299048884443e-8,true,0.91856793256672,true,0.1890507935573904,1.6606529874949896,0.49230847829161994,1.6606529874949896,true,1.48424197932151e-9,1.533067450765202e-9,true,9.985140561608041e-10,T_report_plus_1_only,1.6841747390738209,0.8576643848862839,0.7602107891316532,,0.8601130614280935,1.6386402796927975,1.5361498417627935,0.17354322138089762,0.008457988009292539,-0.03793686116443221,0.0,1.869299048884443e-8,0.738149997691694,,coarse_grid,false,false
45,0,local_loglinear,0.7957830429077148,ok,45,60,30,true,1.179029248801968e-7,45,1.179029248801968e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,5.551115123125783e-16,1.1678680829992798,3.540196580331667e-8,true,0.9021993595103142,true,0.1761946367332604,1.6606529874949896,0.3421606306993527,1.6606529874949896,true,1.9735763197303857e-9,2.0350214846587278e-9,true,9.985140561608041e-10,T_report_plus_1_only,2.684157505938503,0.8239469300957809,0.7388433414572703,,0.8262897997947938,2.050256295103735,1.9220209110734316,1.1678681184012456,0.008458043212505872,-0.037936853825772394,0.0,3.540196580331667e-8,0.6018285909243606,,coarse_grid,false,false
60,0,local_loglinear,0.8427548408508301,ok,60,60,45,true,1.3789353756105648e-7,60,1.3789353756105648e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,7.424616477180734e-16,5.4195768777406474,6.572724053910406e-8,true,0.8893600099666492,true,0.16414808231057498,1.6606529874949896,0.2633548395584151,1.6606529874949896,true,2.7479050944412275e-9,2.8317015399181855e-9,true,9.985140561608041e-10,T_report_plus_1_only,4.756928588333093,0.7820981934822325,0.7048119725220853,,0.7852916453947766,2.6909750234110286,2.522665228988177,5.419576943467888,0.008458043212505872,-0.037936853825772394,0.0,6.572724053910406e-8,0.4669182365453468,,coarse_grid,false,false
70,0,local_loglinear,1.0472080707550049,ok,70,60,60,true,1.581982999208967e-7,70,1.581982999208967e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.7200464103316335e-15,15.099623747735619,8.787820782174549e-8,true,0.8842559768844023,true,0.1569053027165532,1.6606529874949896,0.23136214826228144,1.6606529874949896,true,2.929524817174567e-9,3.0187672361847717e-9,true,9.985140561608041e-10,T_report_plus_1_only,7.52456282949958,0.7431049676236515,0.6706402260416126,,0.7473979527028594,3.386902664753283,3.1750653618145694,15.09962365985741,0.008458043212505872,-0.037936853825772394,0.0,8.787820782174549e-8,0.3777313722007138,,coarse_grid,false,false
80,0,local_loglinear,1.2607970237731934,ok,80,60,70,true,1.7889495376908808e-7,80,1.7889495376908808e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1.1102230246251565e-14,45.559152522018344,7.69223760244131e-8,true,0.8833909063959583,true,0.15036249209298944,1.6606529874949896,0.20885496741413045,1.6606529874949896,true,3.2062868610127637e-9,3.3043299207946575e-9,true,9.985140561608041e-10,T_report_plus_1_only,12.972228693862798,0.689358710062077,0.62124697244591,,0.6953002485342212,4.549732764161973,4.265165059314105,45.55915244509597,0.008458043212505872,-0.037936853825772394,0.0,7.69223760244131e-8,0.28835137343268663,,coarse_grid,false,false
90,0,local_loglinear,1.3373241424560547,ok,90,60,80,true,1.9534402793547443e-7,90,1.9534402793547443e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,2.042810365310288e-14,158.98152976299642,1.7261561424675165e-7,true,0.883395715644988,true,0.14453336023477795,1.6606529874949896,0.1925925486670646,1.6606529874949896,true,3.6462702301953698e-9,3.758935829267784e-9,true,9.985140561608041e-10,T_report_plus_1_only,25.156207416039756,0.6154310020484217,0.5491610788752131,,0.6235088203580404,6.7572478873063195,6.334608883643201,158.98152993561203,0.008458043212505872,-0.037936853825772394,0.0,1.7261561424675165e-7,0.20167297841122003,,coarse_grid,false,false
100,0,local_loglinear,1.9369981288909912,ok,100,60,90,true,2.7039984346573995e-7,100,2.7039984346573995e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,1.1368683772161603e-13,689.3120990384214,2.3037953269522404e-6,true,0.8833957014687245,true,0.13946056383464303,1.6606529874949896,0.1807161187202448,1.6606529874949896,true,3.873645841590001e-9,3.994169661680758e-9,true,9.985140561608041e-10,T_report_plus_1_only,56.996390021103075,0.5198209837082544,0.448492002635138,,0.5299224038736086,11.584432902215541,10.859872657949238,689.312096734626,0.008458043212505872,-0.037936853825772394,0.0,2.3037953269522404e-6,0.12561590868841915,,coarse_grid,false,false
105,0,local_loglinear,1.7675371170043945,ok,105,60,100,true,3.4175802765855584e-7,105,3.4175802765855584e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,7.460698725481052e-14,1590.4548527495774,7.31001478015969e-6,true,0.8833957014687245,true,0.1372444034683368,1.6606529874949896,0.17609111257229668,1.6606529874949896,true,4.087342617142831e-9,4.215419346920157e-9,true,9.985140561608041e-10,T_report_plus_1_only,91.91656313108626,0.4660319001349018,0.38832432553167573,,0.4767579649034593,16.188641443739087,15.176106251224667,1590.4548454395626,0.008458043212505872,-0.037936853825772394,0.0,7.31001478015969e-6,0.09455758318489031,,coarse_grid,false,false
110,0,local_loglinear,1.9859318733215332,ok,110,60,105,true,3.557468629190092e-7,110,3.557468629190092e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,3.694822225952521e-13,3961.696704652301,1.9221241927880328e-5,true,0.8833957014687245,true,0.13527150108106167,1.6606529874949896,0.17223454464468002,1.6606529874949896,true,4.0882132679165295e-9,4.216317517347079e-9,true,9.985140561608041e-10,T_report_plus_1_only,155.700630906475,0.41075158736293804,0.3242646544741971,,0.42168684713708754,23.68406238958881,22.202718401922667,3961.696685431059,0.008458043212505872,-0.037936853825772394,0.0,1.9221241927880328e-5,0.06909304605724026,,coarse_grid,false,false
111,0,local_loglinear,1.702390193939209,ok,111,60,110,true,3.7289485329524903e-7,111,3.7289485329524903e-7,9.985140561608041e-10,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,7.673861546209082e-13,4800.3091939643455,2.433348709018901e-5,true,0.8833957014687245,true,0.13490806703417627,1.6606529874949896,0.17154979813932875,1.6606529874949896,true,4.212879132353686e-9,4.345771298375212e-9,true,9.985140561608041e-10,T_report_plus_1_only,174.0398158989091,0.39971535415143217,0.3112560520357888,,0.410639016287486,25.69596854798091,24.0887878249415,4800.309169630858,0.008458043212505872,-0.037936853825772394,0.0,2.433348709018901e-5,0.06467758322041144,,coarse_grid,false,false
