T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,1,0,29,1.8905489305136576,1.9413556198390234,0.9038178659949064,0.8825268256329689,0.11747317436703109,,,,0.9932766422587088,0.9337836851161863,0.06176440676376291,0.7466805409444501,1.0667190369025332,2.3249284524483467,9.473207821437359e-12
30,29,0,local_loglinear,2,1,28,1.9730369965709544,2.0276623268218215,0.9344461533124112,0.8969721908018902,0.10302780919810983,1.041048522200272,1.0940509703749202,0.9515539498525515,0.9850947192014079,0.9334988401518682,0.0537980776662023,0.7502535896130195,1.0833643713615027,2.3054292629134516,1.014565280960124e-9
30,29,0,local_loglinear,3,2,27,2.051702867229914,2.1101296787732777,0.9637229364474748,0.91059776887321,0.08940223112679002,1.041928942601582,1.0964242699077142,0.9502972263549775,0.9771604546317588,0.932868146734311,0.046387001492892994,0.7534054886027763,1.1005061759619843,2.288431337435443,1.0913231208721502e-11
30,29,0,local_loglinear,4,3,26,2.1261740259070985,2.1883565395488493,0.991525477151268,0.9233037041006772,0.07669629589932281,1.0427915173620654,1.0987247389510892,0.949092598349591,0.9695114708712592,0.931903226123771,0.03956333168876449,0.7561709200156521,1.1180545031755462,2.2736719494811717,8.681643449566459e-10
30,29,0,local_loglinear,5,4,25,2.196164190610178,2.2620298233224174,1.0177579894819364,0.9350165023281333,0.06498349767186673,1.0436295526060284,1.1010319875468715,0.9478648798671715,0.9621723308824452,0.9306175157811509,0.033345211490375996,0.7585831857090354,1.1359354437911555,2.260913730927849,1.0366797865381682e-11
30,29,0,local_loglinear,6,5,24,2.2614673295808556,2.3309189241239254,1.0423505318778405,0.9456855069500648,0.054314493049935186,1.0444387177661534,1.1034044893245494,0.9465601489491021,0.9551573231862478,0.9290256677417159,0.02773969537037698,0.7606735474821651,1.1540886327756972,2.249944674528751,6.003844154202752e-11
30,29,0,local_loglinear,7,6,23,2.321950637064423,2.3948690324723962,1.065257220630104,0.9552798436042663,0.04472015639573368,1.0452162421013758,1.1058860594165292,0.9451391788525093,0.9484726564820433,0.9271430685781499,0.02274507209769832,0.7624709206334038,1.1724653396342204,2.240576761353988,1.4677826256715877e-10
30,29,0,local_loglinear,8,7,22,2.377546815520367,2.4537936608077606,1.0864539936335118,0.9637856696646031,0.036214330335396894,1.045960402602604,1.1085101408133562,0.9435731474997088,0.9421182210105922,0.9249854570980991,0.018352751380416525,0.7640017838591149,1.191026930874831,2.2326439585951827,3.176691517542928e-10
30,29,0,local_loglinear,9,8,21,2.4282460079652624,2.5076667120278286,1.1059361171619202,0.9712036446057648,0.028796355394235196,1.0466702004326667,1.1113027189526226,0.9418407627213667,0.9360890214400303,0.9225686219848723,0.014548820207598151,0.7652902172539332,1.2097435730544148,2.2260000111374585,1.188319067685945e-9
30,29,0,local_loglinear,10,9,20,2.474087693613529,2.55651440883793,1.123715585840108,0.9775466033627372,0.022453396637262757,1.0473451437396069,1.1142843345222249,0.9399262928601435,0.9303763440691598,0.9199081655980603,0.011315330273535873,0.7663580147626389,1.2285931175514326,2.2205162447612294,1.7621322251166605e-11
30,29,0,local_loglinear,11,10,19,2.5151528022119254,2.600407351406515,1.1398185274675159,0.9828374334530696,0.01716256654693038,1.0479850952512055,1.1174714915062762,0.9378181933201645,0.9249687039216561,0.9170193225169092,0.008631359860370308,0.7672248382185705,1.2475601356899582,2.216079486199663,8.263456840575679e-11
30,29,0,local_loglinear,12,11,18,2.5515562372990788,2.639452906101302,1.1542827101981106,0.9871071371772285,0.012892862822771467,1.0485901818443992,1.1208776465469403,0.9355081574467693,0.919852618509899,0.9139168231535211,0.006473895739477709,0.7679083864784388,1.2666350589098292,2.2125901760668327,9.399413283003059e-10
30,29,0,local_loglinear,13,12,17,2.5834399543107955,2.6737880912416254,1.1671552050879408,0.9903931020501698,0.009606897949830162,1.0491607175504534,1.1245138975964204,0.9329904412857593,0.9150132282527343,0.9106147946232124,0.004818552393810904,0.7684245700412311,1.285813431981103,2.209960671348024,1.536841131320353e-11
30,29,0,local_loglinear,14,13,16,2.6109666757813357,2.7035730576365213,1.1784902478695118,0.9927375670424672,0.007262432957532816,1.0496971553968524,1.1283894731490478,0.9302613861394992,0.9104347936610157,0.9071266918630665,0.0036401579558085345,0.7687876805199172,1.3050952568624536,2.2081137478686093,1.04974874241898e-9
30,29,0,local_loglinear,15,14,15,2.6343142886532207,2.7289852227866653,1.1883473273060288,0.9941862649252149,0.005813735074785109,1.0502000627268202,1.1325120767506054,0.9273190849673284,0.9061010968944426,0.9034652532499126,0.002913234442611795,0.7690105485597822,1.3244844006513743,2.2069812992950864,1.7062002645764452e-11
30,29,0,local_loglinear,16,15,14,2.6536709436251606,2.750214096484111,1.1967895022696309,0.9947872618458831,0.005212738154116936,1.0506700866926584,1.136888123842346,0.9241631297384864,0.9019957519990184,0.8996424761401556,0.002612374849107507,0.7691046912254728,1.3439880931387123,2.206503198436329,1.0344899019127654e-9
30,29,0,local_loglinear,17,16,13,2.669230833612676,2.7674567814890563,1.20388195591918,0.994589946415302,0.005410053584698038,1.0511079509236347,1.1415229204037063,0.9207944335904392,0.8981024552426535,0.8956696079906867,0.002712550600557473,0.769080443310305,1.3636164647217768,2.206626325930845,1.7156893328505e-11
30,29,0,local_loglinear,18,17,12,2.6811906304776745,2.7809141431872297,1.209690767794195,0.9936441954432094,0.006355804556790634,1.0515144298004135,1.1464207852519848,0.917215077855806,0.894405170139732,0.8915571500631403,0.0031893421921875414,0.7689470776569732,1.383382164424663,2.207303722179246,1.0296824584518842e-9
30,29,0,local_loglinear,19,18,11,2.6897465238614298,2.7907875937410997,1.214281899482848,0.9919996649107302,0.008000335089269783,1.051890351042439,1.1515851577940086,0.9134281941054657,0.8908882742828531,0.8873148705662393,0.004019122941230649,0.7687129102406799,1.403300008499658,2.2084938697356105,1.7319445198140396e-11
30,29,0,local_loglinear,20,19,10,2.695091819583637,2.7972764591462216,1.2177203639296865,0.9897052349705553,0.010294765029444708,1.052236570621208,1.157018680399849,0.9094378409323264,0.8875366574583227,0.8829518252533568,0.005179183596320844,0.7683853964878381,1.4233867066762003,2.210160061999621,7.041966211007119e-11
30,29,0,local_loglinear,21,20,9,2.6974150271233466,2.8005758571513746,1.2200695652917146,0.986808562892567,0.01319143710743298,1.0525539698095328,1.162723289393145,0.9052488923300811,0.8843357921198666,0.8784763831409126,0.00664782174773719,0.7679712159242866,1.4436606253152453,2.2122698641010388,1.0371433280022903e-9
