T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,23,22,7,2.693716735926281,2.7983561300773507,1.2217427112372217,0.979391265601418,0.020608734398582018,1.0531057621292375,1.1749505623929777,0.8962979344291869,0.8783312615234284,0.869218529226377,0.01042924778894655,0.7669061670381221,1.4848510790788918,2.217709029259654,1.2323032478757016e-11
30,29,0,local_loglinear,24,23,6,2.688036722516584,2.7931931773107075,1.2211811829504398,0.9749577047132552,0.025042295286744842,1.0533417018858238,1.181474538339233,0.8915483725671124,0.8755015174762368,0.8644496939717592,0.012703772456769513,0.7662654857211579,1.505811862940811,2.2209906333088534,5.688068759541219e-11
30,29,0,local_loglinear,25,24,5,2.6800161443130546,2.785551463055235,1.2197587242345918,0.9700961857934582,0.029903814206541757,1.053551718782487,1.1882726168649922,0.8866245875143214,0.8727701600948632,0.8595956756768779,0.015210111092326423,0.7655586864614775,1.5270488936870286,2.2246193542553963,1.5203214663586876e-10
30,29,0,local_loglinear,26,25,4,2.6698034355737,2.7755869498811103,1.2175241150573177,0.9648467795029533,0.03515322049704672,1.0537358007524484,1.1953454731034305,0.8815324309688259,0.8701249171987052,0.8546618584372712,0.017930880825397483,0.7647898344311561,1.5485900324966684,2.2285767630188538,3.393105445245795e-10
30,29,0,local_loglinear,27,26,3,2.657537043499926,2.763445729701359,1.2145215979632142,0.9592496502210774,0.04075034977892256,1.0538929948357683,1.2026947437660762,0.87627637877226,0.8675530495593026,0.8496530979275299,0.02084851608560137,0.7639628852695757,1.5704680904765902,2.232845005787099,7.058717969092493e-10
30,29,0,local_loglinear,28,27,2,2.6433444422779697,2.749263248549348,1.2107894446054852,0.9533472553837701,0.046652744616229924,1.0540205327679282,1.2103242889985715,0.8708579529871537,0.8650402728686782,0.844573713633368,0.023944044921153457,0.763082035329283,1.5927248158046519,2.23740495479549,1.4217640928972802e-9
30,29,0,local_loglinear,29,28,1,2.627340282013043,2.7331629167282814,1.2063572333117667,0.9471885439227155,0.052811456077284546,1.0541121673980864,1.2182425299157171,0.8652728348525266,0.8625687144266653,0.8394274419266066,0.027194771955592195,0.7621523539786368,1.6154187235049209,2.2422328605583837,2.817637408119879e-9
30,29,0,local_loglinear,30,29,0,2.6096227697991603,2.7152534078460713,1.201240635876993,0.9408369215597167,0.059163078440283345,1.0541549887272288,1.226466945408108,0.859505421384559,0.8601130327957046,0.8342173156527319,0.0305698753510954,0.7611809587770718,1.638640383146399,2.2472941026657063,1.1937065975860493e-7
45,44,0,local_loglinear,38,37,7,2.4198252277337158,2.5205938262784007,1.142442531688993,0.8816554407571536,0.11834455924284637,1.0544785358035,1.3010285008563147,0.8104961075867748,0.842204563458987,0.7906587229874278,0.06315650962393013,0.7514569572378271,1.8393013093817905,2.2989173224970045,1.3184312952960395e-11
45,44,0,local_loglinear,39,38,6,2.3911631719750917,2.4910047020963995,1.1331098354458635,0.8737257051805414,0.12627429481945862,1.054435559804759,1.3115644317142374,0.8039525427100775,0.839981879340293,0.7850065316516455,0.06768828106760166,0.7500394431551441,1.8671139027931096,2.3065910012356294,6.067221740198986e-11
