record,T_report,required_successor_t,classification,branch_converged,max_u_residual,bgp_equilibrium_residual,common_growth_log_gap,common_growth_tolerance,nu_b_eff,phi_b,phi_floor,diagnostic
selected_safe,112,113,hard_valid_residual_safe,true,4.2499931186935136e-7,9.985140561608041e-10,4.213714974166116e-9,1.0e-7,0.17089271025237446,0.002575504984,0.001,"All Notebook 15 hard-valid components pass; the required t=113 switch successor is interior and common-growth valid."
first_invalid,113,114,invalid_required_common_growth_successor,false,,1.612505360e-13,0.007092871533,1.0e-7,0.2095883948,0.007188928486,0.001,"The t=114 common-growth iteration cycles through nu_b approximately 0.184 to 0.400 and repeatedly loses the interior BGP; more outer transition sweeps cannot supply this required successor. Every T>=113 contains the same invalid prefix successor."
