experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,Q_US,rebased_NFA,cond_1b
terminal_rule_selected_full_path,105,0,local_loglinear,1,1.0667190368697315,0.03505682266854772,0.9932766422755183,1.0681534236050094,0.0,0.0
terminal_rule_selected_full_path,105,0,local_loglinear,2,1.083364371299011,0.034768048914073375,0.9850947192320787,1.0880550532784021,-0.006302320371681243,0.8809449773838521
terminal_rule_selected_full_path,105,0,local_loglinear,3,1.10050617573145,0.03448801604974626,0.9771604547428103,1.1103198549605557,-0.012094331771392769,0.8815266747310999
terminal_rule_selected_full_path,105,0,local_loglinear,4,1.1180545029724822,0.034218051916325314,0.9695114709625504,1.1349030306302932,-0.01733796428497446,0.8817370608346887
terminal_rule_selected_full_path,105,0,local_loglinear,5,1.1359354436448321,0.03395902344500268,0.9621723309417423,1.1617768929211354,-0.022008478241864807,0.881494735318605
terminal_rule_selected_full_path,105,0,local_loglinear,6,1.1540886322725397,0.03371143494370142,0.9551573234048734,1.1909289976239965,-0.02609250519345634,0.8807531034085896
terminal_rule_selected_full_path,105,0,local_loglinear,7,1.1724653386413668,0.03347550553787406,0.9484726569064315,1.2223608253321285,-0.029586335056806076,0.8794884891456433
terminal_rule_selected_full_path,105,0,local_loglinear,8,1.191026930560612,0.033251231333434855,0.9421182211139875,1.256086828825368,-0.0324943777467525,0.8776925934991658
terminal_rule_selected_full_path,105,0,local_loglinear,9,1.2097435708927469,0.033038436082099165,0.9360890223261428,1.29213372214904,-0.034827760859745975,0.875367563558471
terminal_rule_selected_full_path,105,0,local_loglinear,10,1.2285931173481655,0.03283681214421879,0.9303763440861988,1.3305399913488538,-0.036603066765561895,0.872522685509881
terminal_rule_selected_full_path,105,0,local_loglinear,11,1.2475601331158161,0.03264595429083372,0.924968704906955,1.371355531939532,-0.03784118321309789,0.8691721670246786
terminal_rule_selected_full_path,105,0,local_loglinear,12,1.266635055301397,0.03246538658309778,0.9198526198544367,1.4146414710588162,-0.03856629523442235,0.8653335968925322
terminal_rule_selected_full_path,105,0,local_loglinear,13,1.2858134266369892,0.032294584595435126,0.9150132302039949,1.4604700710926992,-0.03880498309141053,0.8610269021426943
terminal_rule_selected_full_path,105,0,local_loglinear,14,1.3050952441989985,0.03213299288192153,0.9104347983211097,1.50892477865686,-0.03858544944944287,0.8562736153641347
terminal_rule_selected_full_path,105,0,local_loglinear,15,1.324484376346682,0.03198003902447971,0.9061011056935916,1.5601003679205998,-0.03793685316766103,0.8510963575763674
terminal_rule_selected_full_path,105,0,local_loglinear,16,1.3439880478893949,0.031835144755571414,0.901995768074523,1.6141031810536475,-0.03688874597562325,0.8455184663124165
terminal_rule_selected_full_path,105,0,local_loglinear,17,1.3636163756207593,0.031697734813273926,0.8981024863760944,1.6710514471431148,-0.03547059981550845,0.839563728867997
terminal_rule_selected_full_path,105,0,local_loglinear,18,1.3833819911119194,0.03156724339820078,0.8944052296156885,1.731075732792645,-0.03371143204643431,0.8332561458456139
terminal_rule_selected_full_path,105,0,local_loglinear,19,1.403299670440496,0.03144311958408565,0.8908883882157599,1.7943194285244453,-0.031639490921433984,0.8266197635153388
terminal_rule_selected_full_path,105,0,local_loglinear,20,1.4233860403525087,0.03132483099077923,0.8875368780720779,1.8609393643512497,-0.029282021024047287,0.8196785075678549
terminal_rule_selected_full_path,105,0,local_loglinear,21,1.4436593157782858,0.03121186651651894,0.8843362179680363,1.9311065067611777,-0.026665083924769496,0.8124560257006948
terminal_rule_selected_full_path,105,0,local_loglinear,22,1.464139073474095,0.031103738212509148,0.8812725826877591,2.005006750229886,-0.023813429451280503,0.8049755587377878
terminal_rule_selected_full_path,105,0,local_loglinear,23,1.4848460489089577,0.030999982573874398,0.8783328395931076,2.0828417929870384,-0.02075040699084725,0.7972598007064938
