T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,t,model_t,evaluation_date,bound_status,lower_bound_certified,hkt_gate_passed,prefix_stable,finite_prefix_product,omitted_tail_bound,bubble_share_lower,log_bubble_share_lower,log10_bubble_share_lower,bubble_share_lower_scientific,lower_bound_float64_underflow,bubble_share_upper,relative_interval_width_bound,leakage,dividend_leakage,switch_leakage,dividend_envelope,switch_envelope,Q_US,NFA,B_agg_lower,B_agg_upper,V_agg_lower,V_agg_upper,NFA_bubble_lower,NFA_bubble_upper,NFA_fund_lower,NFA_fund_upper
30,29,local_loglinear,local_loglinear,22,21,1,0,true,diagnostic_only_hkt_gate_failed,false,false,true,0.003019469737596408,9095.621888217642,0.0,-9101.42456226423,-3952.698464850074,2.00232767e-3953,true,0.003019469737596408,1.0,0.0,0.0,0.0,0.052131056567304775,41.584001213861676,1.0681534236414416,0.14218193684500813,0.0,0.0032252569377953285,1.0649281667036463,1.0681534236414416,-0.0032252569377953285,-0.0,0.14218193684500813,0.14540719378280345
30,29,local_loglinear,local_loglinear,22,21,2,1,false,diagnostic_only_hkt_gate_failed,false,false,true,0.004011113042309663,9095.621888217642,0.0,-9101.140574727158,-3952.5751306297943,2.65992487e-3953,true,0.004011113042309663,1.0,0.32841637469188,0.034768048912990866,0.8809449773366677,0.052113546493507544,41.580256898598975,1.0880550533514717,0.12497592409583813,0.0,0.004364311815249024,1.0836907415362227,1.0880550533514717,-0.004364311815249024,-0.0,0.12497592409583813,0.12934023591108715
30,29,local_loglinear,local_loglinear,22,21,3,2,false,diagnostic_only_hkt_gate_failed,false,false,true,0.0053280827532660845,9095.621888217642,0.0,-9100.856652031738,-3952.4518245698864,3.53325864e-3953,true,0.0053280827532660845,1.0,0.32833024077478734,0.0344880160458268,0.8815266741868816,0.05207478034198522,41.57196395356135,1.1103198552282123,0.1090108890170125,0.0,0.005915876071250334,1.104403979156962,1.1103198552282123,-0.005915876071250334,-0.0,0.1090108890170125,0.11492676508826284
30,29,local_loglinear,local_loglinear,22,21,4,3,false,diagnostic_only_hkt_gate_failed,false,false,true,0.007076388708568147,9095.621888217642,0.0,-9100.572879788459,-3952.3285838505126,4.69262824e-3953,true,0.007076388708568147,1.0,0.32813040567554314,0.03421805191310327,0.8817370612873195,0.05201548132545386,41.559269823304895,1.134903030892856,0.09427326922637969,0.0,0.008031014993129974,1.126872015899726,1.134903030892856,-0.008031014993129974,-0.0,0.09427326922637969,0.10230428421950966
30,29,local_loglinear,local_loglinear,22,21,5,4,true,diagnostic_only_hkt_gate_failed,false,false,true,0.009395962423295481,9095.621888217642,0.0,-9100.28936342906,-3952.2054542600963,6.23082767e-3953,true,0.009395962423295481,1.0,0.3277906019943158,0.033959023442909846,0.881494735654218,0.051936488368196435,41.542343350324316,1.1617768931422372,0.08074330863974688,0.0,0.01091601203221743,1.1508608811100198,1.1617768931422372,-0.01091601203221743,-0.0,0.08074330863974688,0.0916593206719643
30,29,local_loglinear,local_loglinear,22,21,6,5,false,diagnostic_only_hkt_gate_failed,false,false,true,0.012471221484360195,9095.621888217642,0.0,-9100.00621978789,-3952.0824865391505,8.27015141e-3953,true,0.012471221484360195,1.0,0.32729580244384576,0.03371143493598523,0.8807531025235814,0.051838718418953204,41.5213672611905,1.1909289982680689,0.06839980556328107,0.0,0.014852339309548306,1.1760766589585205,1.1909289982680689,-0.014852339309548306,-0.0,0.06839980556328107,0.08325214487282938
30,29,local_loglinear,local_loglinear,22,21,7,6,false,diagnostic_only_hkt_gate_failed,false,false,true,0.01654480050530467,9095.621888217642,0.0,-9099.723571613025,-3951.9597339964866,1.09714999e-3952,true,0.01654480050530467,1.0,0.3266383349901241,0.03347550552289565,0.8794884884016857,0.05172313622790835,41.49653225331646,1.2223608265980754,0.05722319768753481,0.0,0.020223716021564475,1.2021371105765108,1.2223608265980754,-0.020223716021564475,-0.0,0.05722319768753481,0.07744691370909929
30,29,local_loglinear,local_loglinear,22,21,8,7,false,diagnostic_only_hkt_gate_failed,false,false,true,0.021935351782664928,9095.621888217642,0.0,-9099.44154392463,-3951.8372509276724,1.45461838e-3952,true,0.021935351782664928,1.0,0.3258154291816279,0.033251231329785615,0.877692593555527,0.051590730161146806,41.468032347865105,1.2560868294196388,0.047197571827742646,0.0,0.02755270647289201,1.2285341229467468,1.2560868294196388,-0.02755270647289201,-0.0,0.047197571827742646,0.07475027830063466
30,29,local_loglinear,local_loglinear,22,21,9,8,false,diagnostic_only_hkt_gate_failed,false,false,true,0.029060559968053814,9095.621888217642,0.0,-9099.160261569292,-3951.7150915528928,1.92711862e-3952,true,0.029060559968053814,1.0,0.3248276232806894,0.033038436050824606,0.8753675616895945,0.05144249298494723,41.436061261661706,1.2921337249544667,0.03831198757060861,0.0,0.03755012960078403,1.2545835953536826,1.2921337249544667,-0.03755012960078403,-0.0,0.03831198757060861,0.07586211717139263
30,29,local_loglinear,local_loglinear,22,21,10,9,true,diagnostic_only_hkt_gate_failed,false,false,true,0.03846681538793192,9095.621888217642,0.0,-9098.879847564987,-3951.593309298175,2.55088395e-3952,true,0.03846681538793192,1.0,0.3236777071817736,0.03283681214361742,0.8725226851144685,0.05127940678793853,41.40080960943115,1.3305399920847558,0.03056134825823098,0.0,0.0511816362417847,1.279358355842971,1.3305399920847558,-0.0511816362417847,-0.0,0.03056134825823098,0.08174298450001569
