T_report,model_T,terminal_rule,gate_source_terminal_rule,cutoff_t,cutoff_model_t,endpoint_guard,bound_status,lower_bound_certified,hkt_gate_passed,finite_envelope_diagnostics_pass,future_uniform_inputs_configured,future_envelope_certification_flag,prefix_stable,leakage_reconstruction_error,finite_prefix_nonnegative,continuation_nonnegative,validation_start_t,validation_end_t,zeta_continuation_min,zeta_lower_assumption,zeta_lower_ok,q_price_epsilon,q_lower_continuation_ok,observed_lambda_ratio_max,lambda_ratio_bound,lambda_bound_source,lambda_observed_within_bound,observed_nu_b_eff_max,nu_b_uniform_bound,nu_b_bound_source,nu_b_observed_within_bound,nu_b_ordering,psi,kappa_D,kappa_S,K_u,C_phi,C_D,qbar_u,C_b,C_S,N_K,phi_upper_K,theoretical_G_lower,observed_G_continuation_min,G_lower,G_lower_source,omitted_tail_bound,tail_dividend_envelope_ok,tail_switch_envelope_ok
30,29,local_loglinear,local_loglinear,22,21,8,diagnostic_only_hkt_gate_failed,false,false,true,false,false,true,1.1102230246251565e-16,true,true,23,29,0.9471885439227155,0.5,true,0.5,true,0.8962979344291869,0.9411128311506464,observed_continuation_plus_5pct_conditional,true,0.6243714465200909,1.6606529874949896,reference_exponent_conditional,true,true,0.5,0.25,0.06701025937875782,11.764705882352942,1.4770466027403018,0.052131056567304775,1.2162162162162162,88.00000000000001,41.584001213861676,1.3376472001754618,1.3734371862119488,0.9253125627576102,1.023745647260379,1.02255836489736,observed_continuation_growth_with_5pct_haircut_conditional,9095.621888217642,true,true
45,44,local_loglinear,local_loglinear,22,21,23,diagnostic_only_hkt_gate_failed,false,false,true,false,false,true,1.1102230246251565e-16,true,true,23,44,0.8331515843968893,0.5,true,0.5,true,0.8963001245909274,0.9411151308204738,observed_continuation_plus_5pct_conditional,true,0.6243712225930501,1.6606529874949896,reference_exponent_conditional,true,true,0.5,0.25,0.06701025937875782,11.764705882352942,1.4770466027403018,0.052131056567304775,1.2162162162162162,88.00000000000001,41.58402663798958,1.337646968015899,1.3734372458047566,0.9253125508390487,1.0237454833868038,1.0225582092174637,observed_continuation_growth_with_5pct_haircut_conditional,9095.689672756595,true,true
60,59,local_loglinear,local_loglinear,22,21,38,diagnostic_only_hkt_gate_failed,false,false,true,false,false,true,1.1102230246251565e-16,true,true,23,59,0.7104551088711933,0.5,true,0.5,true,0.8963001245909274,0.9411151308204738,observed_continuation_plus_5pct_conditional,true,0.6243712225930501,1.6606529874949896,reference_exponent_conditional,true,true,0.5,0.25,0.06701025937875782,11.764705882352942,1.4770466027403018,0.052131056567304775,1.2162162162162162,88.00000000000001,41.58402663798958,1.337646968015899,1.3734372458047566,0.9253125508390487,1.0237454833868038,1.0225582092174637,observed_continuation_growth_with_5pct_haircut_conditional,9095.689672756595,true,true
