experiment,T_report,n_buffer,terminal_rule,t,q_US,d_over_q_US,phi_US,phi_US_switch_b,Q_US,rebased_NFA,cond_1b
terminal_rule_selected_full_path,105,0,local_loglinear,1,1.0667190368697315,0.03505682266854772,0.9932766422755183,0.8765044881769308,1.0681534236050094,0.0,0.0
terminal_rule_selected_full_path,105,0,local_loglinear,2,1.083364371299011,0.034768048914073375,0.9850947192320787,0.8686076940042957,1.0880550532784021,-0.006302320371681243,0.8809449773838521
terminal_rule_selected_full_path,105,0,local_loglinear,3,1.10050617573145,0.03448801604974626,0.9771604547428103,0.8610175653061776,1.1103198549605557,-0.012094331771392769,0.8815266747310999
terminal_rule_selected_full_path,105,0,local_loglinear,4,1.1180545029724822,0.034218051916325314,0.9695114709625504,0.8536770496694269,1.1349030306302932,-0.01733796428497446,0.8817370608346887
terminal_rule_selected_full_path,105,0,local_loglinear,5,1.1359354436448321,0.03395902344500268,0.9621723309417423,0.8465381279099533,1.1617768929211354,-0.022008478241864807,0.881494735318605
terminal_rule_selected_full_path,105,0,local_loglinear,6,1.1540886322725397,0.03371143494370142,0.9551573234048734,0.8395593582998874,1.1909289976239965,-0.02609250519345634,0.8807531034085896
terminal_rule_selected_full_path,105,0,local_loglinear,7,1.1724653386413668,0.03347550553787406,0.9484726569064315,0.8327043468245483,1.2223608253321285,-0.029586335056806076,0.8794884891456433
terminal_rule_selected_full_path,105,0,local_loglinear,8,1.191026930560612,0.033251231333434855,0.9421182211139875,0.8259407634807623,1.256086828825368,-0.0324943777467525,0.8776925934991658
terminal_rule_selected_full_path,105,0,local_loglinear,9,1.2097435708927469,0.033038436082099165,0.9360890223261428,0.8192396872645391,1.29213372214904,-0.034827760859745975,0.875367563558471
terminal_rule_selected_full_path,105,0,local_loglinear,10,1.2285931173481655,0.03283681214421879,0.9303763440861988,0.8125751570992101,1.3305399913488538,-0.036603066765561895,0.872522685509881
terminal_rule_selected_full_path,105,0,local_loglinear,11,1.2475601331158161,0.03264595429083372,0.924968704906955,0.8059238613837181,1.371355531939532,-0.03784118321309789,0.8691721670246786
terminal_rule_selected_full_path,105,0,local_loglinear,12,1.266635055301397,0.03246538658309778,0.9198526198544367,0.7992649161471128,1.4146414710588162,-0.03856629523442235,0.8653335968925322
terminal_rule_selected_full_path,105,0,local_loglinear,13,1.2858134266369892,0.032294584595435126,0.9150132302039949,0.7925797004913839,1.4604700710926992,-0.03880498309141053,0.8610269021426943
terminal_rule_selected_full_path,105,0,local_loglinear,14,1.3050952441989985,0.03213299288192153,0.9104347983211097,0.7858517321644333,1.50892477865686,-0.03858544944944287,0.8562736153641347
terminal_rule_selected_full_path,105,0,local_loglinear,15,1.324484376346682,0.03198003902447971,0.9061011056935916,0.7790665642825655,1.5601003679205998,-0.03793685316766103,0.8510963575763674
terminal_rule_selected_full_path,105,0,local_loglinear,16,1.3439880478893949,0.031835144755571414,0.901995768074523,0.7722116956878456,1.6141031810536475,-0.03688874597562325,0.8455184663124165
terminal_rule_selected_full_path,105,0,local_loglinear,17,1.3636163756207593,0.031697734813273926,0.8981024863760944,0.765276484695157,1.6710514471431148,-0.03547059981550845,0.839563728867997
terminal_rule_selected_full_path,105,0,local_loglinear,18,1.3833819911119194,0.03156724339820078,0.8944052296156885,0.7582520613538105,1.731075732792645,-0.03371143204643431,0.8332561458456139
terminal_rule_selected_full_path,105,0,local_loglinear,19,1.403299670440496,0.03144311958408565,0.8908883882157599,0.75113123719719,1.7943194285244453,-0.031639490921433984,0.8266197635153388
terminal_rule_selected_full_path,105,0,local_loglinear,20,1.4233860403525087,0.03132483099077923,0.8875368780720779,0.7439084066646706,1.8609393643512497,-0.029282021024047287,0.8196785075678549
terminal_rule_selected_full_path,105,0,local_loglinear,21,1.4436593157782858,0.03121186651651894,0.8843362179680363,0.7365794410898274,1.9311065067611777,-0.026665083924769496,0.8124560257006948
terminal_rule_selected_full_path,105,0,local_loglinear,22,1.464139073474095,0.031103738212509148,0.8812725826877591,0.7291415798476126,2.005006750229886,-0.023813429451280503,0.8049755587377878
terminal_rule_selected_full_path,105,0,local_loglinear,23,1.4848460489089577,0.030999982573874398,0.8783328395931076,0.721593310735686,2.0828417929870384,-0.02075040699084725,0.7972598007064938
terminal_rule_selected_full_path,105,0,local_loglinear,24,1.505801999279846,0.030900160849239168,0.8755045573951095,0.7139342535758209,2.1648301710326145,-0.017497925299600717,0.789330772316744
terminal_rule_selected_full_path,105,0,local_loglinear,25,1.5270295609378417,0.030803859308305773,0.87277601373533,0.7061650364389425,2.251208360498707,-0.014076430498811129,0.7812097073637572
terminal_rule_selected_full_path,105,0,local_loglinear,26,1.5485521548979542,0.03071068888969222,0.870136185207946,0.6982871773665055,2.3422320368572964,-0.010504916348810019,0.7729169522565332
terminal_rule_selected_full_path,105,0,local_loglinear,27,1.5703939174826163,0.0306202845661558,0.8675747293744143,0.6903029667390352,2.4381774755007126,-0.0068009541053974994,0.7644718736949763
terminal_rule_selected_full_path,105,0,local_loglinear,28,1.5925796546009194,0.030532304486234636,0.8650819604433143,0.682215357607132,2.5393431079782287,-0.0029807377923505947,0.755892784769687
terminal_rule_selected_full_path,105,0,local_loglinear,29,1.6151348065704794,0.030446429062483377,0.8626488234370288,0.6740278570408512,2.646051229272308,0.0009408621156207072,0.74719689974724
terminal_rule_selected_full_path,105,0,local_loglinear,30,1.6380854649655117,0.030362359597450227,0.8602668552610895,0.66574443040545,2.758649947448585,0.004950226921567066,0.7384002785435193
terminal_rule_selected_full_path,105,0,local_loglinear,31,1.6614583760738846,0.030279817170578815,0.8579281531663995,0.6573694127531623,2.877515290569723,0.009034922301195271,0.729517816133576
terminal_rule_selected_full_path,105,0,local_loglinear,32,1.6852809728044842,0.030198541344548583,0.8556253380955429,0.6489074215832428,3.0030535616445855,0.013183623746118343,0.7205632356673773
terminal_rule_selected_full_path,105,0,local_loglinear,33,1.7095814447016902,0.03011828863108014,0.8533515112139372,0.6403632939807669,3.135703994221786,0.017386034635596355,0.7115490896294185
terminal_rule_selected_full_path,105,0,local_loglinear,34,1.7343887862040472,0.030038831323733486,0.8511002208391152,0.6317420168267006,3.2759416290751555,0.021632814960086812,0.7024867867823438
terminal_rule_selected_full_path,105,0,local_loglinear,35,1.759732889043627,0.029959956042164036,0.8488654211946475,0.6230486729319973,3.4242805657396715,0.025915502767032656,0.693386619237372
terminal_rule_selected_full_path,105,0,local_loglinear,36,1.7856446280992395,0.02988146250007726,0.8466414375021888,0.6142883932767575,3.5812775341805145,0.030226443419751416,0.6842578054644899
terminal_rule_selected_full_path,105,0,local_loglinear,37,1.8121559781203904,0.029803162140094312,0.8444229273026719,0.6054663164702939,3.7475359021573658,0.03455871703153416,0.675108533421524
terminal_rule_selected_full_path,105,0,local_loglinear,38,1.8393001245226217,0.029724876988493996,0.8422048480073296,0.5965875545582788,3.9237100928653046,0.03890607418075133,0.6659460155030856
terminal_rule_selected_full_path,105,0,local_loglinear,39,1.867111605539185,0.029646438387986945,0.8399824209929634,0.5876571647182802,4.110510544730646,0.043262870596157535,0.6567765434809685
terminal_rule_selected_full_path,105,0,local_loglinear,40,1.895626445704042,0.02956768597676371,0.8377511026749717,0.5786801259517875,4.30870918915143,0.047624011024053337,0.6476055366075575
terminal_rule_selected_full_path,105,0,local_loglinear,41,1.9248823176668426,0.029488466583072172,0.8355065531870446,0.5696613203123194,4.519145595353499,0.05198489317750712,0.6384376179011454
